score_type,sys_group,human_group,sys_source,human_source,aggregation,n_common,threshold,n_positive,n_negative,auc
alignment_score,Sys_DiT_noexpert,Human_DiT,Sys_DiT_noexpert_1,User_DiT_1,individual,500,4.38,275,225,0.8432
alignment_score,Sys_DiT_noexpert,Human_DiT,Sys_DiT_noexpert_1,User_DiT_2,individual,500,4.38,277,223,0.8206
alignment_score,Sys_DiT_noexpert,Human_DiT,Sys_DiT_noexpert_1,User_DiT_3,individual,500,4.38,281,219,0.8179
alignment_score,Sys_DiT_noexpert,Human_DiT,Sys_DiT_noexpert_2,User_DiT_1,individual,500,4.38,275,225,0.8401
alignment_score,Sys_DiT_noexpert,Human_DiT,Sys_DiT_noexpert_2,User_DiT_2,individual,500,4.38,277,223,0.7987
alignment_score,Sys_DiT_noexpert,Human_DiT,Sys_DiT_noexpert_2,User_DiT_3,individual,500,4.38,281,219,0.7928
alignment_score,Sys_DiT_noexpert,Human_DiT,Sys_DiT_noexpert_3,User_DiT_1,individual,500,4.38,275,225,0.8263
alignment_score,Sys_DiT_noexpert,Human_DiT,Sys_DiT_noexpert_3,User_DiT_2,individual,500,4.38,277,223,0.8031
alignment_score,Sys_DiT_noexpert,Human_DiT,Sys_DiT_noexpert_3,User_DiT_3,individual,500,4.38,281,219,0.8099
artifact_score,Sys_DiT_noexpert,Human_DiT,Sys_DiT_noexpert_1,User_DiT_1,individual,500,3.0,331,169,0.8056
artifact_score,Sys_DiT_noexpert,Human_DiT,Sys_DiT_noexpert_1,User_DiT_2,individual,500,3.0,316,184,0.7998
artifact_score,Sys_DiT_noexpert,Human_DiT,Sys_DiT_noexpert_1,User_DiT_3,individual,500,3.0,330,170,0.7891
artifact_score,Sys_DiT_noexpert,Human_DiT,Sys_DiT_noexpert_2,User_DiT_1,individual,500,3.0,331,169,0.8166
artifact_score,Sys_DiT_noexpert,Human_DiT,Sys_DiT_noexpert_2,User_DiT_2,individual,500,3.0,316,184,0.813
artifact_score,Sys_DiT_noexpert,Human_DiT,Sys_DiT_noexpert_2,User_DiT_3,individual,500,3.0,330,170,0.8077
artifact_score,Sys_DiT_noexpert,Human_DiT,Sys_DiT_noexpert_3,User_DiT_1,individual,500,3.0,331,169,0.8099
artifact_score,Sys_DiT_noexpert,Human_DiT,Sys_DiT_noexpert_3,User_DiT_2,individual,500,3.0,316,184,0.8061
artifact_score,Sys_DiT_noexpert,Human_DiT,Sys_DiT_noexpert_3,User_DiT_3,individual,500,3.0,330,170,0.8207
alignment_score,Sys_DiT_noexpert,Human_DiT,Sys_DiT_noexpert (avg),Human_DiT (avg),group_avg,500,4.4,251,249,0.8443
artifact_score,Sys_DiT_noexpert,Human_DiT,Sys_DiT_noexpert (avg),Human_DiT (avg),group_avg,500,3.0,298,202,0.8522
