source,class_id,alignment_norm,artifact_norm,composite_product,composite_harmonic
Sys_DiT_noexpert_1,4,0.99,0.99,0.98,0.99
Sys_DiT_noexpert_1,7,0.88,0.89,0.79,0.88
Sys_DiT_noexpert_1,10,0.85,0.81,0.74,0.83
Sys_DiT_noexpert_1,25,0.8,0.78,0.66,0.79
Sys_DiT_noexpert_1,35,0.74,0.81,0.6,0.77
Sys_DiT_noexpert_1,39,0.77,0.79,0.66,0.78
Sys_DiT_noexpert_1,49,0.92,0.94,0.87,0.93
Sys_DiT_noexpert_1,51,0.84,0.88,0.81,0.86
Sys_DiT_noexpert_1,52,0.79,0.83,0.69,0.81
Sys_DiT_noexpert_1,64,0.65,0.81,0.54,0.71
Sys_DiT_noexpert_1,80,0.98,0.75,0.74,0.84
Sys_DiT_noexpert_1,97,0.95,0.93,0.9,0.94
Sys_DiT_noexpert_1,106,0.98,0.86,0.85,0.92
Sys_DiT_noexpert_1,116,1.0,1.0,1.0,1.0
Sys_DiT_noexpert_1,118,0.81,0.86,0.72,0.83
Sys_DiT_noexpert_1,129,0.82,0.81,0.66,0.81
Sys_DiT_noexpert_1,144,0.96,0.93,0.89,0.94
Sys_DiT_noexpert_1,147,0.94,0.86,0.81,0.89
Sys_DiT_noexpert_1,150,0.83,0.84,0.71,0.82
Sys_DiT_noexpert_1,156,0.99,0.92,0.91,0.95
Sys_DiT_noexpert_1,159,0.71,0.7,0.53,0.69
Sys_DiT_noexpert_1,281,0.96,0.94,0.91,0.95
Sys_DiT_noexpert_1,300,0.97,0.99,0.96,0.98
Sys_DiT_noexpert_1,322,0.93,0.95,0.9,0.94
Sys_DiT_noexpert_1,330,0.87,0.92,0.81,0.9
Sys_DiT_noexpert_1,333,0.96,0.83,0.8,0.88
Sys_DiT_noexpert_1,339,0.86,0.76,0.66,0.8
Sys_DiT_noexpert_1,347,0.98,0.91,0.89,0.94
Sys_DiT_noexpert_1,356,0.88,0.8,0.71,0.83
Sys_DiT_noexpert_1,365,0.96,0.97,0.93,0.96
Sys_DiT_noexpert_1,370,0.87,0.85,0.76,0.86
Sys_DiT_noexpert_1,389,0.24,0.71,0.17,0.35
Sys_DiT_noexpert_1,392,0.75,0.8,0.62,0.76
Sys_DiT_noexpert_1,394,0.78,0.61,0.51,0.68
Sys_DiT_noexpert_1,396,0.96,0.87,0.83,0.9
Sys_DiT_noexpert_1,400,0.87,0.69,0.64,0.76
Sys_DiT_noexpert_1,405,0.82,0.63,0.56,0.71
Sys_DiT_noexpert_1,406,0.99,0.93,0.93,0.96
Sys_DiT_noexpert_1,413,0.68,0.64,0.47,0.65
Sys_DiT_noexpert_1,415,0.65,0.66,0.5,0.62
Sys_DiT_noexpert_1,419,0.55,0.58,0.36,0.53
Sys_DiT_noexpert_1,421,0.87,0.63,0.57,0.72
Sys_DiT_noexpert_1,426,0.65,0.48,0.33,0.55
Sys_DiT_noexpert_1,429,0.95,0.89,0.87,0.91
Sys_DiT_noexpert_1,432,0.9,0.62,0.59,0.71
Sys_DiT_noexpert_1,443,0.93,0.85,0.8,0.89
Sys_DiT_noexpert_1,446,0.71,0.55,0.37,0.57
Sys_DiT_noexpert_1,453,0.81,0.64,0.55,0.71
Sys_DiT_noexpert_1,461,0.92,0.89,0.83,0.91
Sys_DiT_noexpert_1,477,0.34,0.6,0.19,0.34
Sys_DiT_noexpert_1,479,0.58,0.65,0.48,0.6
Sys_DiT_noexpert_1,481,0.49,0.41,0.25,0.41
Sys_DiT_noexpert_1,488,0.81,0.78,0.68,0.8
Sys_DiT_noexpert_1,499,0.82,0.58,0.48,0.64
Sys_DiT_noexpert_1,529,0.82,0.51,0.45,0.61
Sys_DiT_noexpert_1,535,0.79,0.74,0.59,0.76
Sys_DiT_noexpert_1,554,0.8,0.72,0.67,0.73
Sys_DiT_noexpert_1,567,0.95,0.7,0.66,0.8
Sys_DiT_noexpert_1,575,0.89,0.69,0.62,0.78
Sys_DiT_noexpert_1,585,0.32,0.47,0.12,0.28
Sys_DiT_noexpert_1,590,0.83,0.65,0.56,0.73
Sys_DiT_noexpert_1,605,0.5,0.47,0.22,0.41
Sys_DiT_noexpert_1,606,0.76,0.67,0.55,0.7
Sys_DiT_noexpert_1,626,0.78,0.63,0.56,0.69
Sys_DiT_noexpert_1,632,0.73,0.68,0.54,0.7
Sys_DiT_noexpert_1,633,0.87,0.69,0.6,0.76
Sys_DiT_noexpert_1,634,0.35,0.6,0.19,0.38
Sys_DiT_noexpert_1,645,0.99,0.61,0.61,0.73
Sys_DiT_noexpert_1,654,0.96,0.72,0.7,0.82
Sys_DiT_noexpert_1,679,0.84,0.7,0.59,0.75
Sys_DiT_noexpert_1,687,0.98,0.88,0.87,0.93
Sys_DiT_noexpert_1,730,0.68,0.66,0.48,0.64
Sys_DiT_noexpert_1,743,0.56,0.82,0.51,0.63
Sys_DiT_noexpert_1,746,0.5,0.56,0.3,0.46
Sys_DiT_noexpert_1,755,0.84,0.83,0.77,0.83
Sys_DiT_noexpert_1,756,0.72,0.75,0.56,0.73
Sys_DiT_noexpert_1,806,0.99,1.0,0.99,0.99
Sys_DiT_noexpert_1,810,0.59,0.71,0.44,0.64
