score_type,source_1,source_2,n_common_images,pearson_r,pearson_p,spearman_r,spearman_p,icc_2_1_absolute_agreement,icc_3_1_consistency
alignment_score,Sys_DiT_noexpert_1,Sys_DiT_noexpert_2,500,0.8732,0.0,0.847,0.0,0.8731,0.873
alignment_score,Sys_DiT_noexpert_1,Sys_DiT_noexpert_3,500,0.8556,0.0,0.8389,0.0,0.8541,0.8548
alignment_score,Sys_DiT_noexpert_1,User_DiT_1,500,0.6731,0.0,0.648,0.0,0.6629,0.6646
alignment_score,Sys_DiT_noexpert_1,User_DiT_2,500,0.6497,0.0,0.6043,0.0,0.6436,0.6437
alignment_score,Sys_DiT_noexpert_1,User_DiT_3,500,0.6614,0.0,0.6015,0.0,0.6504,0.6514
alignment_score,Sys_DiT_noexpert_2,Sys_DiT_noexpert_3,500,0.8614,0.0,0.8374,0.0,0.8611,0.8612
alignment_score,Sys_DiT_noexpert_2,User_DiT_1,500,0.6732,0.0,0.6493,0.0,0.6596,0.6623
alignment_score,Sys_DiT_noexpert_2,User_DiT_2,500,0.6512,0.0,0.5895,0.0,0.6424,0.6431
alignment_score,Sys_DiT_noexpert_2,User_DiT_3,500,0.6313,0.0,0.5716,0.0,0.6176,0.6193
alignment_score,Sys_DiT_noexpert_3,User_DiT_1,500,0.6356,0.0,0.6131,0.0,0.6184,0.6227
alignment_score,Sys_DiT_noexpert_3,User_DiT_2,500,0.625,0.0,0.5819,0.0,0.6132,0.6151
alignment_score,Sys_DiT_noexpert_3,User_DiT_3,500,0.6175,0.0,0.5788,0.0,0.5999,0.6031
alignment_score,User_DiT_1,User_DiT_2,500,0.7946,0.0,0.7987,0.0,0.7942,0.7943
alignment_score,User_DiT_1,User_DiT_3,500,0.8342,0.0,0.8129,0.0,0.8343,0.8341
alignment_score,User_DiT_2,User_DiT_3,500,0.8074,0.0,0.8114,0.0,0.8069,0.8068
authenticity_score,Sys_DiT_noexpert_1,Sys_DiT_noexpert_2,500,0.8753,0.0,0.8544,0.0,0.8746,0.8746
authenticity_score,Sys_DiT_noexpert_1,Sys_DiT_noexpert_3,500,0.8452,0.0,0.8273,0.0,0.8382,0.843
authenticity_score,Sys_DiT_noexpert_1,User_DiT_1,500,0.6405,0.0,0.6277,0.0,0.568,0.6401
authenticity_score,Sys_DiT_noexpert_1,User_DiT_2,500,0.6298,0.0,0.6054,0.0,0.5399,0.6298
authenticity_score,Sys_DiT_noexpert_1,User_DiT_3,500,0.6297,0.0,0.6137,0.0,0.5565,0.6297
authenticity_score,Sys_DiT_noexpert_2,Sys_DiT_noexpert_3,500,0.8721,0.0,0.8467,0.0,0.8681,0.8716
authenticity_score,Sys_DiT_noexpert_2,User_DiT_1,500,0.6484,0.0,0.6396,0.0,0.5665,0.6466
authenticity_score,Sys_DiT_noexpert_2,User_DiT_2,500,0.6216,0.0,0.6092,0.0,0.5246,0.6211
authenticity_score,Sys_DiT_noexpert_2,User_DiT_3,500,0.6424,0.0,0.6241,0.0,0.5598,0.6419
authenticity_score,Sys_DiT_noexpert_3,User_DiT_1,500,0.6506,0.0,0.6297,0.0,0.54,0.6468
authenticity_score,Sys_DiT_noexpert_3,User_DiT_2,500,0.6323,0.0,0.6172,0.0,0.5045,0.6306
authenticity_score,Sys_DiT_noexpert_3,User_DiT_3,500,0.6597,0.0,0.6449,0.0,0.5458,0.6579
authenticity_score,User_DiT_1,User_DiT_2,500,0.7576,0.0,0.7471,0.0,0.7561,0.7572
authenticity_score,User_DiT_1,User_DiT_3,500,0.7706,0.0,0.7599,0.0,0.7705,0.7701
authenticity_score,User_DiT_2,User_DiT_3,500,0.7429,0.0,0.7323,0.0,0.7418,0.7429
