source,alignment_norm,authenticity_norm,composite_product,composite_harmonic,alignment_norm_std,alignment_norm_se,alignment_norm_ci_low,alignment_norm_ci_high,authenticity_norm_std,authenticity_norm_se,authenticity_norm_ci_low,authenticity_norm_ci_high,composite_product_std,composite_product_se,composite_product_ci_low,composite_product_ci_high,composite_harmonic_std,composite_harmonic_se,composite_harmonic_ci_low,composite_harmonic_ci_high,composite_product_x_vendi_ratio,composite_product_x_vendi_ratio_std,composite_product_x_vendi_ratio_se,composite_product_x_vendi_ratio_ci_low,composite_product_x_vendi_ratio_ci_high,composite_product_x_vendi_ratio_train,composite_product_x_vendi_ratio_train_std,composite_product_x_vendi_ratio_train_se,composite_product_x_vendi_ratio_train_ci_low,composite_product_x_vendi_ratio_train_ci_high,composite_harmonic_x_vendi_ratio,composite_harmonic_x_vendi_ratio_std,composite_harmonic_x_vendi_ratio_se,composite_harmonic_x_vendi_ratio_ci_low,composite_harmonic_x_vendi_ratio_ci_high,composite_harmonic_x_vendi_ratio_train,composite_harmonic_x_vendi_ratio_train_std,composite_harmonic_x_vendi_ratio_train_se,composite_harmonic_x_vendi_ratio_train_ci_low,composite_harmonic_x_vendi_ratio_train_ci_high,composite_product_x_MEAN_VENDI_RATIO,composite_harmonic_x_MEAN_VENDI_RATIO,composite_product_x_MEAN_VENDI_RATIO_TRAIN,composite_harmonic_x_MEAN_VENDI_RATIO_TRAIN
Sys_DiT_noexpert_1,0.7916,0.7425,0.6276,0.7452,0.1872,0.0187,0.7545,0.8287,0.1592,0.0159,0.7109,0.7741,0.2261,0.0226,0.5827,0.6725,0.1817,0.0182,0.7092,0.7812,0.642,0.4927,0.0493,0.5442,0.7398,0.5236,0.2135,0.0213,0.4812,0.566,0.7737,0.5619,0.0562,0.6622,0.8852,0.6231,0.1967,0.0197,0.5841,0.6621,0.6738,0.8001,0.5261,0.6247
Sys_DiT_noexpert_2,0.7962,0.7467,0.6291,0.7492,0.1846,0.0185,0.7596,0.8328,0.1516,0.0152,0.7166,0.7768,0.2209,0.0221,0.5853,0.6729,0.177,0.0177,0.7141,0.7843,0.6425,0.4826,0.0483,0.5467,0.7383,0.5254,0.2054,0.0205,0.4846,0.5662,0.7781,0.5637,0.0564,0.6662,0.89,0.6264,0.192,0.0192,0.5883,0.6645,0.6754,0.8044,0.5274,0.6281
Sys_DiT_noexpert_3,0.8039,0.7671,0.651,0.7657,0.1858,0.0186,0.767,0.8408,0.1507,0.0151,0.7372,0.797,0.2216,0.0222,0.607,0.695,0.1766,0.0177,0.7307,0.8007,0.6673,0.5096,0.051,0.5662,0.7684,0.5457,0.2192,0.0219,0.5022,0.5892,0.7984,0.5818,0.0582,0.683,0.9138,0.6424,0.2016,0.0202,0.6024,0.6824,0.6989,0.8221,0.5458,0.6419
User_DiT_1,0.769,0.6204,0.5087,0.6409,0.2136,0.0214,0.7266,0.8114,0.1678,0.0168,0.5871,0.6537,0.2197,0.022,0.4651,0.5523,0.1979,0.0198,0.6016,0.6802,0.5216,0.409,0.0409,0.4404,0.6028,0.424,0.1952,0.0195,0.3853,0.4627,0.6695,0.5039,0.0504,0.5695,0.7695,0.5355,0.1935,0.0193,0.4971,0.5739,0.5462,0.6881,0.4265,0.5373
User_DiT_2,0.7798,0.6052,0.5039,0.6407,0.2164,0.0216,0.7369,0.8227,0.1554,0.0155,0.5744,0.636,0.2075,0.0208,0.4627,0.5451,0.1902,0.019,0.603,0.6784,0.5216,0.4089,0.0409,0.4405,0.6027,0.4207,0.1861,0.0186,0.3838,0.4576,0.6734,0.5012,0.0501,0.574,0.7728,0.5356,0.1874,0.0187,0.4984,0.5728,0.541,0.6879,0.4224,0.5371
User_DiT_3,0.7727,0.6204,0.5116,0.6432,0.2175,0.0218,0.7295,0.8159,0.1624,0.0162,0.5882,0.6526,0.2142,0.0214,0.4691,0.5541,0.1981,0.0198,0.6039,0.6825,0.532,0.4251,0.0425,0.4477,0.6163,0.4296,0.1918,0.0192,0.3915,0.4677,0.6776,0.5212,0.0521,0.5742,0.781,0.5408,0.1973,0.0197,0.5016,0.58,0.5493,0.6906,0.4289,0.5392
Sys_DiT_noexpert_AVG_STATS,0.7972,0.7521,0.6359,0.7534,0.1859,0.0186,0.7604,0.8341,0.1538,0.0154,0.7216,0.7826,0.2229,0.0223,0.5917,0.6801,0.1784,0.0179,0.718,0.7887,0.6506,0.495,0.0495,0.5524,0.7488,0.5316,0.2127,0.0212,0.4893,0.5738,0.7834,0.5691,0.0569,0.6705,0.8963,0.6306,0.1968,0.0197,0.5916,0.6697,0.6827,0.8089,0.5331,0.6316
Sys_DiT_noexpert_AVG_PERCLASS,0.7972,0.7521,0.6359,0.7534,0.1833,0.0183,0.7609,0.8336,0.1508,0.0151,0.7222,0.782,0.2196,0.022,0.5923,0.6795,0.1761,0.0176,0.7184,0.7883,0.6506,0.4928,0.0493,0.5528,0.7484,0.5316,0.2099,0.021,0.4899,0.5732,0.7834,0.5679,0.0568,0.6707,0.8961,0.6306,0.1951,0.0195,0.5919,0.6693,0.6827,0.8089,0.5331,0.6316
Human_DiT_500_AVG_STATS,0.7738,0.6153,0.5081,0.6416,0.2158,0.0216,0.731,0.8167,0.1619,0.0162,0.5832,0.6474,0.2138,0.0214,0.4656,0.5505,0.1954,0.0195,0.6028,0.6804,0.5251,0.4143,0.0414,0.4429,0.6073,0.4248,0.191,0.0191,0.3869,0.4627,0.6735,0.5088,0.0509,0.5726,0.7744,0.5373,0.1927,0.0192,0.499,0.5756,0.5455,0.6889,0.4259,0.5379
Human_DiT_500_AVG_PERCLASS,0.7738,0.6153,0.5081,0.6416,0.2104,0.021,0.7321,0.8156,0.1565,0.0157,0.5843,0.6464,0.2089,0.0209,0.4666,0.5495,0.1905,0.0191,0.6038,0.6794,0.5251,0.4107,0.0411,0.4436,0.6066,0.4248,0.187,0.0187,0.3877,0.4619,0.6735,0.5061,0.0506,0.5731,0.7739,0.5373,0.1891,0.0189,0.4998,0.5748,0.5455,0.6889,0.4259,0.5379
