group,alignment_threshold,authenticity_threshold,probability
Sys_DiT_noexpert,0.0,0.0,1.0
Sys_DiT_noexpert,0.0,0.02,1.0
Sys_DiT_noexpert,0.0,0.04,1.0
Sys_DiT_noexpert,0.0,0.06,1.0
Sys_DiT_noexpert,0.0,0.08,1.0
Sys_DiT_noexpert,0.0,0.1,0.998
Sys_DiT_noexpert,0.0,0.12,0.998
Sys_DiT_noexpert,0.0,0.14,0.998
Sys_DiT_noexpert,0.0,0.16,0.996
Sys_DiT_noexpert,0.0,0.18,0.9939999999999999
Sys_DiT_noexpert,0.0,0.2,0.9939999999999999
Sys_DiT_noexpert,0.0,0.22,0.9919999999999999
Sys_DiT_noexpert,0.0,0.24,0.9919999999999999
Sys_DiT_noexpert,0.0,0.26,0.9819999999999998
Sys_DiT_noexpert,0.0,0.28,0.9659999999999995
Sys_DiT_noexpert,0.0,0.3,0.9579999999999994
Sys_DiT_noexpert,0.0,0.32,0.9519999999999995
Sys_DiT_noexpert,0.0,0.34,0.9359999999999996
Sys_DiT_noexpert,0.0,0.36,0.9299999999999996
Sys_DiT_noexpert,0.0,0.38,0.9139999999999994
Sys_DiT_noexpert,0.0,0.4,0.9039999999999996
Sys_DiT_noexpert,0.0,0.42,0.8919999999999996
Sys_DiT_noexpert,0.0,0.44,0.8679999999999995
Sys_DiT_noexpert,0.0,0.46,0.8619999999999997
Sys_DiT_noexpert,0.0,0.48,0.8459999999999996
Sys_DiT_noexpert,0.0,0.5,0.8399999999999995
Sys_DiT_noexpert,0.0,0.52,0.8219999999999996
Sys_DiT_noexpert,0.0,0.54,0.8039999999999996
Sys_DiT_noexpert,0.0,0.56,0.7959999999999997
Sys_DiT_noexpert,0.0,0.58,0.7779999999999996
Sys_DiT_noexpert,0.0,0.6,0.7679999999999996
Sys_DiT_noexpert,0.0,0.62,0.7519999999999996
Sys_DiT_noexpert,0.0,0.64,0.7339999999999998
Sys_DiT_noexpert,0.0,0.66,0.7199999999999998
