source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
Sys_DiT_noexpert_1,4,0.99,0.99,0.98,0.99,0.87,0.78,0.85,0.76,0.86,0.77
Sys_DiT_noexpert_1,7,0.88,0.89,0.79,0.88,0.49,0.71,0.38,0.56,0.43,0.63
Sys_DiT_noexpert_1,10,0.85,0.81,0.74,0.83,0.83,0.9,0.62,0.66,0.69,0.74
Sys_DiT_noexpert_1,25,0.8,0.78,0.66,0.79,1.11,0.83,0.73,0.54,0.87,0.65
Sys_DiT_noexpert_1,35,0.74,0.81,0.6,0.77,1.0,0.83,0.6,0.5,0.76,0.63
Sys_DiT_noexpert_1,39,0.77,0.79,0.66,0.78,0.77,0.89,0.5,0.59,0.6,0.7
Sys_DiT_noexpert_1,49,0.92,0.94,0.87,0.93,1.17,1.16,1.02,1.01,1.09,1.08
Sys_DiT_noexpert_1,51,0.84,0.88,0.81,0.86,0.83,0.91,0.67,0.73,0.71,0.78
Sys_DiT_noexpert_1,52,0.79,0.83,0.69,0.81,2.47,1.04,1.69,0.72,1.99,0.84
Sys_DiT_noexpert_1,64,0.65,0.81,0.54,0.71,1.14,0.91,0.62,0.49,0.81,0.65
Sys_DiT_noexpert_1,80,0.98,0.75,0.74,0.84,0.29,0.47,0.21,0.34,0.24,0.39
Sys_DiT_noexpert_1,97,0.95,0.93,0.9,0.94,1.41,0.84,1.26,0.75,1.32,0.79
Sys_DiT_noexpert_1,106,0.98,0.86,0.85,0.92,2.51,0.76,2.13,0.65,2.3,0.7
Sys_DiT_noexpert_1,116,1.0,1.0,1.0,1.0,0.43,0.71,0.43,0.71,0.43,0.71
Sys_DiT_noexpert_1,118,0.81,0.86,0.72,0.83,1.12,0.82,0.8,0.58,0.94,0.68
Sys_DiT_noexpert_1,129,0.82,0.81,0.66,0.81,0.68,1.04,0.45,0.69,0.55,0.84
Sys_DiT_noexpert_1,144,0.96,0.93,0.89,0.94,1.13,1.01,1.01,0.9,1.07,0.95
Sys_DiT_noexpert_1,147,0.94,0.86,0.81,0.89,0.83,0.75,0.68,0.61,0.74,0.67
Sys_DiT_noexpert_1,150,0.83,0.84,0.71,0.82,1.51,1.03,1.08,0.73,1.24,0.84
Sys_DiT_noexpert_1,156,0.99,0.92,0.91,0.95,0.47,0.8,0.43,0.73,0.45,0.76
Sys_DiT_noexpert_1,159,0.71,0.7,0.53,0.69,1.13,1.04,0.6,0.55,0.78,0.72
Sys_DiT_noexpert_1,281,0.96,0.94,0.91,0.95,1.83,1.05,1.66,0.95,1.74,1.0
Sys_DiT_noexpert_1,300,0.97,0.99,0.96,0.98,0.47,0.8,0.45,0.77,0.46,0.78
Sys_DiT_noexpert_1,322,0.93,0.95,0.9,0.94,0.62,0.69,0.56,0.62,0.58,0.65
Sys_DiT_noexpert_1,330,0.87,0.92,0.81,0.9,0.35,0.95,0.29,0.77,0.32,0.85
Sys_DiT_noexpert_1,333,0.96,0.83,0.8,0.88,0.9,0.82,0.73,0.66,0.8,0.72
Sys_DiT_noexpert_1,339,0.86,0.76,0.66,0.8,1.31,0.76,0.87,0.51,1.04,0.61
Sys_DiT_noexpert_1,347,0.98,0.91,0.89,0.94,0.45,0.72,0.4,0.65,0.42,0.68
Sys_DiT_noexpert_1,356,0.88,0.8,0.71,0.83,2.05,1.34,1.45,0.95,1.71,1.12
Sys_DiT_noexpert_1,365,0.96,0.97,0.93,0.96,0.72,0.68,0.67,0.63,0.7,0.66
Sys_DiT_noexpert_1,370,0.87,0.85,0.76,0.86,0.76,0.84,0.58,0.64,0.66,0.72
Sys_DiT_noexpert_1,389,0.24,0.71,0.17,0.35,1.52,0.62,0.26,0.11,0.54,0.22
Sys_DiT_noexpert_1,392,0.75,0.8,0.62,0.76,0.23,0.57,0.14,0.35,0.18,0.43
Sys_DiT_noexpert_1,394,0.78,0.61,0.51,0.68,2.01,0.95,1.03,0.48,1.36,0.64
Sys_DiT_noexpert_1,396,0.96,0.87,0.83,0.9,0.16,0.65,0.13,0.54,0.14,0.59
Sys_DiT_noexpert_1,400,0.87,0.69,0.64,0.76,0.21,0.65,0.13,0.42,0.16,0.5
Sys_DiT_noexpert_1,405,0.82,0.63,0.56,0.71,0.39,0.7,0.22,0.39,0.27,0.49
Sys_DiT_noexpert_1,406,0.99,0.93,0.93,0.96,1.11,0.66,1.03,0.61,1.06,0.64
Sys_DiT_noexpert_1,413,0.68,0.64,0.47,0.65,0.47,1.06,0.22,0.5,0.3,0.69
Sys_DiT_noexpert_1,415,0.65,0.66,0.5,0.62,0.78,0.7,0.39,0.35,0.48,0.43
Sys_DiT_noexpert_1,419,0.55,0.58,0.36,0.53,1.49,1.08,0.54,0.39,0.79,0.57
Sys_DiT_noexpert_1,421,0.87,0.63,0.57,0.72,2.03,0.88,1.16,0.5,1.45,0.63
Sys_DiT_noexpert_1,426,0.65,0.48,0.33,0.55,0.96,0.67,0.32,0.22,0.53,0.36
Sys_DiT_noexpert_1,429,0.95,0.89,0.87,0.91,0.35,0.74,0.3,0.64,0.32,0.68
Sys_DiT_noexpert_1,432,0.9,0.62,0.59,0.71,1.58,1.36,0.93,0.8,1.13,0.97
Sys_DiT_noexpert_1,443,0.93,0.85,0.8,0.89,0.25,0.75,0.2,0.6,0.22,0.67
Sys_DiT_noexpert_1,446,0.71,0.55,0.37,0.57,1.4,0.94,0.52,0.35,0.79,0.54
Sys_DiT_noexpert_1,453,0.81,0.64,0.55,0.71,0.43,0.6,0.24,0.33,0.31,0.43
Sys_DiT_noexpert_1,461,0.92,0.89,0.83,0.91,0.3,0.53,0.24,0.44,0.27,0.48
Sys_DiT_noexpert_1,477,0.34,0.6,0.19,0.34,2.11,0.68,0.4,0.13,0.73,0.23
Sys_DiT_noexpert_1,479,0.58,0.65,0.48,0.6,0.47,0.73,0.23,0.35,0.28,0.44
Sys_DiT_noexpert_1,481,0.49,0.41,0.25,0.41,0.83,1.42,0.21,0.35,0.34,0.58
Sys_DiT_noexpert_1,488,0.81,0.78,0.68,0.8,1.07,1.02,0.73,0.7,0.85,0.82
