image_id,source,alignment_score,authenticity_score,class_id,alignment_norm,authenticity_norm,composite_product_perimage,composite_harmonic_perimage
0,User_DiT_1,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
0,User_DiT_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
0,User_DiT_3,5.0,5.0,4,1.0,1.0,1.0,1.0
0,Sys_DiT_noexpert_1,5.0,5.0,4,1.0,1.0,1.0,1.0
0,Sys_DiT_noexpert_2,5.0,5.0,4,1.0,1.0,1.0,1.0
0,Sys_DiT_noexpert_3,5.0,5.0,4,1.0,1.0,1.0,1.0
1,User_DiT_1,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
1,User_DiT_2,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
1,User_DiT_3,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
1,Sys_DiT_noexpert_1,4.92,4.65,4,0.984,0.93,0.91512,0.9562382445141066
1,Sys_DiT_noexpert_2,4.85,3.92,4,0.97,0.784,0.76048,0.8671379703534778
1,Sys_DiT_noexpert_3,4.85,3.65,4,0.97,0.73,0.7081,0.8330588235294117
2,User_DiT_1,5.0,5.0,4,1.0,1.0,1.0,1.0
2,User_DiT_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
2,User_DiT_3,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
2,Sys_DiT_noexpert_1,5.0,5.0,4,1.0,1.0,1.0,1.0
2,Sys_DiT_noexpert_2,5.0,5.0,4,1.0,1.0,1.0,1.0
2,Sys_DiT_noexpert_3,5.0,5.0,4,1.0,1.0,1.0,1.0
3,User_DiT_1,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
3,User_DiT_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
3,User_DiT_3,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
3,Sys_DiT_noexpert_1,4.85,5.0,4,0.97,1.0,0.97,0.9847715736040609
3,Sys_DiT_noexpert_2,4.85,5.0,4,0.97,1.0,0.97,0.9847715736040609
3,Sys_DiT_noexpert_3,4.85,3.92,4,0.97,0.784,0.76048,0.8671379703534778
4,User_DiT_1,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
4,User_DiT_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
4,User_DiT_3,4.38,3.0,4,0.876,0.6,0.5256,0.7121951219512195
4,Sys_DiT_noexpert_1,5.0,5.0,4,1.0,1.0,1.0,1.0
4,Sys_DiT_noexpert_2,5.0,5.0,4,1.0,1.0,1.0,1.0
4,Sys_DiT_noexpert_3,5.0,5.0,4,1.0,1.0,1.0,1.0
5,User_DiT_1,4.44,4.0,7,0.8880000000000001,0.8,0.7104000000000001,0.8417061611374408
5,User_DiT_2,4.38,2.0,7,0.876,0.4,0.35040000000000004,0.5492163009404389
5,User_DiT_3,4.38,4.0,7,0.876,0.8,0.7008000000000001,0.8362768496420048
