image_id,source,alignment_score,artifact_score,class_id,alignment_norm,artifact_norm,composite_product,composite_harmonic
0,User_DiT_1,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
0,User_DiT_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
0,User_DiT_3,5.0,5.0,4,1.0,1.0,1.0,1.0
0,Sys_DiT_noref_1,4.85,2.15,4,0.97,0.43,0.41709999999999997,0.5958571428571429
0,Sys_DiT_noref_2,4.65,3.85,4,0.93,0.77,0.7161000000000001,0.8424705882352941
0,Sys_DiT_noref_3,4.85,4.72,4,0.97,0.944,0.9156799999999999,0.9568234064785789
1,User_DiT_1,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
1,User_DiT_2,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
1,User_DiT_3,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
1,Sys_DiT_noref_1,4.85,3.2,4,0.97,0.64,0.6208,0.7711801242236026
1,Sys_DiT_noref_2,4.85,4.2,4,0.97,0.8400000000000001,0.8148000000000001,0.9003314917127072
1,Sys_DiT_noref_3,4.12,2.85,4,0.8240000000000001,0.5700000000000001,0.4696800000000001,0.6738593974175037
2,User_DiT_1,5.0,5.0,4,1.0,1.0,1.0,1.0
2,User_DiT_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
2,User_DiT_3,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
2,Sys_DiT_noref_1,4.68,3.85,4,0.9359999999999999,0.77,0.72072,0.8449237983587339
2,Sys_DiT_noref_2,4.65,3.85,4,0.93,0.77,0.7161000000000001,0.8424705882352941
2,Sys_DiT_noref_3,4.85,4.62,4,0.97,0.924,0.89628,0.9464413938753959
3,User_DiT_1,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
3,User_DiT_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
3,User_DiT_3,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
3,Sys_DiT_noref_1,4.85,4.72,4,0.97,0.944,0.9156799999999999,0.9568234064785789
3,Sys_DiT_noref_2,4.85,3.2,4,0.97,0.64,0.6208,0.7711801242236026
3,Sys_DiT_noref_3,4.12,3.85,4,0.8240000000000001,0.77,0.63448,0.7960853199498118
4,User_DiT_1,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
4,User_DiT_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
4,User_DiT_3,4.38,3.0,4,0.876,0.6,0.5256,0.7121951219512195
4,Sys_DiT_noref_1,4.68,3.85,4,0.9359999999999999,0.77,0.72072,0.8449237983587339
4,Sys_DiT_noref_2,4.65,3.85,4,0.93,0.77,0.7161000000000001,0.8424705882352941
4,Sys_DiT_noref_3,4.65,3.85,4,0.93,0.77,0.7161000000000001,0.8424705882352941
5,User_DiT_1,4.44,4.0,7,0.8880000000000001,0.8,0.7104000000000001,0.8417061611374408
5,User_DiT_2,4.38,2.0,7,0.876,0.4,0.35040000000000004,0.5492163009404389
