image_id,source,alignment_score,authenticity_score,class_id
0,User_DiT_1,5.0,4.0,4
0,User_DiT_2,5.0,4.0,4
0,User_DiT_3,5.0,5.0,4
0,Sys_DiT_noref_1,4.85,2.15,4
0,Sys_DiT_noref_2,4.65,3.85,4
0,Sys_DiT_noref_3,4.85,4.72,4
1,User_DiT_1,5.0,4.0,4
1,User_DiT_2,5.0,3.0,4
1,User_DiT_3,5.0,4.0,4
1,Sys_DiT_noref_1,4.85,3.2,4
1,Sys_DiT_noref_2,4.85,4.2,4
1,Sys_DiT_noref_3,4.12,2.85,4
2,User_DiT_1,5.0,5.0,4
2,User_DiT_2,5.0,4.0,4
2,User_DiT_3,5.0,4.0,4
2,Sys_DiT_noref_1,4.68,3.85,4
2,Sys_DiT_noref_2,4.65,3.85,4
2,Sys_DiT_noref_3,4.85,4.62,4
3,User_DiT_1,5.0,4.0,4
3,User_DiT_2,5.0,4.0,4
3,User_DiT_3,5.0,4.0,4
3,Sys_DiT_noref_1,4.85,4.72,4
3,Sys_DiT_noref_2,4.85,3.2,4
3,Sys_DiT_noref_3,4.12,3.85,4
4,User_DiT_1,5.0,3.0,4
4,User_DiT_2,5.0,4.0,4
4,User_DiT_3,4.38,3.0,4
4,Sys_DiT_noref_1,4.68,3.85,4
4,Sys_DiT_noref_2,4.65,3.85,4
4,Sys_DiT_noref_3,4.65,3.85,4
5,User_DiT_1,4.44,4.0,7
5,User_DiT_2,4.38,2.0,7
5,User_DiT_3,4.38,4.0,7
5,Sys_DiT_noref_1,4.65,3.85,7
5,Sys_DiT_noref_2,4.62,3.85,7
5,Sys_DiT_noref_3,4.65,3.85,7
6,User_DiT_1,5.0,2.0,7
6,User_DiT_2,5.0,5.0,7
6,User_DiT_3,5.0,5.0,7
6,Sys_DiT_noref_1,4.85,3.2,7
6,Sys_DiT_noref_2,4.12,3.65,7
6,Sys_DiT_noref_3,4.92,4.65,7
7,User_DiT_1,4.44,4.0,7
7,User_DiT_2,4.44,4.0,7
7,User_DiT_3,4.44,4.0,7
7,Sys_DiT_noref_1,4.65,3.85,7
7,Sys_DiT_noref_2,4.12,3.85,7
7,Sys_DiT_noref_3,4.65,3.85,7
8,User_DiT_1,4.17,4.0,7
8,User_DiT_2,4.17,4.0,7
8,User_DiT_3,4.17,3.0,7
8,Sys_DiT_noref_1,4.85,3.2,7
8,Sys_DiT_noref_2,4.85,3.72,7
8,Sys_DiT_noref_3,4.85,4.62,7
9,User_DiT_1,5.0,3.0,7
9,User_DiT_2,5.0,3.0,7
9,User_DiT_3,5.0,3.0,7
9,Sys_DiT_noref_1,4.62,3.15,7
9,Sys_DiT_noref_2,4.62,3.85,7
9,Sys_DiT_noref_3,4.62,3.85,7
10,User_DiT_1,3.89,4.0,10
10,User_DiT_2,3.89,4.0,10
10,User_DiT_3,3.89,4.0,10
10,Sys_DiT_noref_1,4.85,3.72,10
10,Sys_DiT_noref_2,2.85,3.4,10
10,Sys_DiT_noref_3,4.85,3.92,10
11,User_DiT_1,4.0,5.0,10
11,User_DiT_2,4.0,5.0,10
11,User_DiT_3,4.0,5.0,10
11,Sys_DiT_noref_1,4.92,4.98,10
11,Sys_DiT_noref_2,4.92,4.98,10
11,Sys_DiT_noref_3,4.85,3.2,10
12,User_DiT_1,0.56,3.0,10
12,User_DiT_2,3.57,3.0,10
12,User_DiT_3,0.56,2.0,10
12,Sys_DiT_noref_1,3.82,1.47,10
12,Sys_DiT_noref_2,3.42,2.85,10
12,Sys_DiT_noref_3,4.72,4.15,10
13,User_DiT_1,4.0,3.0,10
13,User_DiT_2,5.0,3.0,10
13,User_DiT_3,4.0,2.0,10
13,Sys_DiT_noref_1,4.85,3.65,10
13,Sys_DiT_noref_2,4.65,3.85,10
13,Sys_DiT_noref_3,4.85,4.9,10
14,User_DiT_1,4.0,5.0,10
14,User_DiT_2,4.0,5.0,10
14,User_DiT_3,3.89,5.0,10
14,Sys_DiT_noref_1,5.0,5.0,10
14,Sys_DiT_noref_2,4.95,4.98,10
14,Sys_DiT_noref_3,5.0,5.0,10
15,User_DiT_1,5.0,4.0,25
15,User_DiT_2,5.0,5.0,25
15,User_DiT_3,5.0,2.0,25
15,Sys_DiT_noref_1,4.65,3.85,25
15,Sys_DiT_noref_2,4.85,4.72,25
15,Sys_DiT_noref_3,4.65,4.12,25
16,User_DiT_1,5.0,5.0,25
16,User_DiT_2,5.0,4.0,25
16,User_DiT_3,5.0,5.0,25
16,Sys_DiT_noref_1,4.85,4.12,25
16,Sys_DiT_noref_2,4.92,4.98,25
16,Sys_DiT_noref_3,4.85,4.92,25
17,User_DiT_1,5.0,4.0,25
17,User_DiT_2,5.0,3.0,25
17,User_DiT_3,4.17,4.0,25
17,Sys_DiT_noref_1,3.65,2.85,25
17,Sys_DiT_noref_2,4.12,2.65,25
17,Sys_DiT_noref_3,4.12,3.85,25
18,User_DiT_1,5.0,4.0,25
18,User_DiT_2,5.0,4.0,25
18,User_DiT_3,5.0,4.0,25
18,Sys_DiT_noref_1,4.85,3.65,25
18,Sys_DiT_noref_2,4.15,3.85,25
18,Sys_DiT_noref_3,4.12,2.85,25
19,User_DiT_1,3.33,2.0,25
19,User_DiT_2,4.29,3.0,25
19,User_DiT_3,3.33,3.0,25
19,Sys_DiT_noref_1,4.65,4.2,25
19,Sys_DiT_noref_2,4.12,3.85,25
19,Sys_DiT_noref_3,4.35,3.85,25
20,User_DiT_1,5.0,4.0,35
20,User_DiT_2,5.0,4.0,35
20,User_DiT_3,5.0,4.0,35
20,Sys_DiT_noref_1,4.85,3.92,35
20,Sys_DiT_noref_2,4.85,4.92,35
20,Sys_DiT_noref_3,4.85,3.72,35
21,User_DiT_1,4.0,4.0,35
21,User_DiT_2,3.0,3.0,35
21,User_DiT_3,4.0,3.0,35
21,Sys_DiT_noref_1,3.42,3.85,35
21,Sys_DiT_noref_2,3.42,2.85,35
21,Sys_DiT_noref_3,3.42,2.18,35
22,User_DiT_1,5.0,4.0,35
22,User_DiT_2,4.0,4.0,35
22,User_DiT_3,4.0,5.0,35
22,Sys_DiT_noref_1,4.12,3.85,35
22,Sys_DiT_noref_2,4.72,4.15,35
22,Sys_DiT_noref_3,4.65,4.12,35
23,User_DiT_1,5.0,4.0,35
23,User_DiT_2,5.0,4.0,35
23,User_DiT_3,5.0,4.0,35
23,Sys_DiT_noref_1,3.42,2.15,35
23,Sys_DiT_noref_2,3.65,2.85,35
23,Sys_DiT_noref_3,4.12,3.85,35
24,User_DiT_1,4.0,3.0,35
24,User_DiT_2,4.0,3.0,35
24,User_DiT_3,4.0,4.0,35
24,Sys_DiT_noref_1,4.65,3.85,35
24,Sys_DiT_noref_2,3.15,3.85,35
24,Sys_DiT_noref_3,4.65,3.85,35
25,User_DiT_1,5.0,4.0,39
25,User_DiT_2,5.0,3.0,39
25,User_DiT_3,5.0,4.0,39
25,Sys_DiT_noref_1,4.85,4.92,39
25,Sys_DiT_noref_2,4.72,3.85,39
25,Sys_DiT_noref_3,4.85,4.92,39
26,User_DiT_1,3.75,3.0,39
26,User_DiT_2,3.89,2.0,39
26,User_DiT_3,3.89,2.0,39
26,Sys_DiT_noref_1,2.15,2.85,39
26,Sys_DiT_noref_2,2.15,2.85,39
26,Sys_DiT_noref_3,3.42,2.85,39
27,User_DiT_1,5.0,5.0,39
27,User_DiT_2,3.57,3.0,39
27,User_DiT_3,3.57,2.0,39
27,Sys_DiT_noref_1,3.85,4.62,39
