score_type,sys_group,human_group,sys_source,human_source,aggregation,n_common,threshold,n_positive,n_negative,auc
alignment_score,Sys_DiT_noref,Human_DiT_500,Sys_DiT_noref_1,User_DiT_1,individual,500,4.38,275,225,0.8017
alignment_score,Sys_DiT_noref,Human_DiT_500,Sys_DiT_noref_1,User_DiT_2,individual,500,4.38,277,223,0.7989
alignment_score,Sys_DiT_noref,Human_DiT_500,Sys_DiT_noref_1,User_DiT_3,individual,500,4.38,281,219,0.8005
alignment_score,Sys_DiT_noref,Human_DiT_500,Sys_DiT_noref_2,User_DiT_1,individual,500,4.38,275,225,0.8072
alignment_score,Sys_DiT_noref,Human_DiT_500,Sys_DiT_noref_2,User_DiT_2,individual,500,4.38,277,223,0.7936
alignment_score,Sys_DiT_noref,Human_DiT_500,Sys_DiT_noref_2,User_DiT_3,individual,500,4.38,281,219,0.7963
alignment_score,Sys_DiT_noref,Human_DiT_500,Sys_DiT_noref_3,User_DiT_1,individual,500,4.38,275,225,0.7991
alignment_score,Sys_DiT_noref,Human_DiT_500,Sys_DiT_noref_3,User_DiT_2,individual,500,4.38,277,223,0.7908
alignment_score,Sys_DiT_noref,Human_DiT_500,Sys_DiT_noref_3,User_DiT_3,individual,500,4.38,281,219,0.7898
authenticity_score,Sys_DiT_noref,Human_DiT_500,Sys_DiT_noref_1,User_DiT_1,individual,500,3.0,331,169,0.8405
authenticity_score,Sys_DiT_noref,Human_DiT_500,Sys_DiT_noref_1,User_DiT_2,individual,500,3.0,316,184,0.8214
authenticity_score,Sys_DiT_noref,Human_DiT_500,Sys_DiT_noref_1,User_DiT_3,individual,500,3.0,330,170,0.8319
authenticity_score,Sys_DiT_noref,Human_DiT_500,Sys_DiT_noref_2,User_DiT_1,individual,500,3.0,331,169,0.8554
authenticity_score,Sys_DiT_noref,Human_DiT_500,Sys_DiT_noref_2,User_DiT_2,individual,500,3.0,316,184,0.8171
authenticity_score,Sys_DiT_noref,Human_DiT_500,Sys_DiT_noref_2,User_DiT_3,individual,500,3.0,330,170,0.8133
authenticity_score,Sys_DiT_noref,Human_DiT_500,Sys_DiT_noref_3,User_DiT_1,individual,500,3.0,331,169,0.8529
authenticity_score,Sys_DiT_noref,Human_DiT_500,Sys_DiT_noref_3,User_DiT_2,individual,500,3.0,316,184,0.826
authenticity_score,Sys_DiT_noref,Human_DiT_500,Sys_DiT_noref_3,User_DiT_3,individual,500,3.0,330,170,0.8247
alignment_score,Sys_DiT_noref,Human_DiT_500,Sys_DiT_noref (avg),Human_DiT_500 (avg),group_avg,500,4.4,251,249,0.8317
authenticity_score,Sys_DiT_noref,Human_DiT_500,Sys_DiT_noref (avg),Human_DiT_500 (avg),group_avg,500,3.0,298,202,0.8948
