score_type,source_1,source_2,n_common_images,pearson_r,pearson_p,spearman_r,spearman_p,icc_2_1_absolute_agreement,icc_3_1_consistency
alignment_score,Sys_DiT_noref_1,Sys_DiT_noref_2,500,0.8596,0.0,0.805,0.0,0.8598,0.8596
alignment_score,Sys_DiT_noref_1,Sys_DiT_noref_3,500,0.8171,0.0,0.781,0.0,0.8171,0.8169
alignment_score,Sys_DiT_noref_1,User_DiT_1,500,0.6364,0.0,0.5688,0.0,0.6265,0.6268
alignment_score,Sys_DiT_noref_1,User_DiT_2,500,0.65,0.0,0.5745,0.0,0.6405,0.6426
alignment_score,Sys_DiT_noref_1,User_DiT_3,500,0.6278,0.0,0.566,0.0,0.6159,0.6166
alignment_score,Sys_DiT_noref_2,Sys_DiT_noref_3,500,0.8336,0.0,0.7731,0.0,0.8333,0.8335
alignment_score,Sys_DiT_noref_2,User_DiT_1,500,0.6377,0.0,0.5835,0.0,0.6275,0.6283
alignment_score,Sys_DiT_noref_2,User_DiT_2,500,0.6394,0.0,0.5609,0.0,0.6295,0.6324
alignment_score,Sys_DiT_noref_2,User_DiT_3,500,0.6285,0.0,0.5595,0.0,0.6162,0.6176
alignment_score,Sys_DiT_noref_3,User_DiT_1,500,0.6086,0.0,0.5682,0.0,0.5975,0.5974
alignment_score,Sys_DiT_noref_3,User_DiT_2,500,0.647,0.0,0.5654,0.0,0.6364,0.6378
alignment_score,Sys_DiT_noref_3,User_DiT_3,500,0.6023,0.0,0.5406,0.0,0.5892,0.5895
alignment_score,User_DiT_1,User_DiT_2,500,0.7946,0.0,0.7987,0.0,0.7942,0.7943
alignment_score,User_DiT_1,User_DiT_3,500,0.8342,0.0,0.8129,0.0,0.8343,0.8341
alignment_score,User_DiT_2,User_DiT_3,500,0.8074,0.0,0.8114,0.0,0.8069,0.8068
authenticity_score,Sys_DiT_noref_1,Sys_DiT_noref_2,500,0.7437,0.0,0.7291,0.0,0.7437,0.7437
authenticity_score,Sys_DiT_noref_1,Sys_DiT_noref_3,500,0.701,0.0,0.7044,0.0,0.7002,0.701
authenticity_score,Sys_DiT_noref_1,User_DiT_1,500,0.7043,0.0,0.6912,0.0,0.7021,0.7043
authenticity_score,Sys_DiT_noref_1,User_DiT_2,500,0.6826,0.0,0.6709,0.0,0.6823,0.682
authenticity_score,Sys_DiT_noref_1,User_DiT_3,500,0.706,0.0,0.6972,0.0,0.7031,0.7054
authenticity_score,Sys_DiT_noref_2,Sys_DiT_noref_3,500,0.7022,0.0,0.7016,0.0,0.7024,0.7022
authenticity_score,Sys_DiT_noref_2,User_DiT_1,500,0.6986,0.0,0.682,0.0,0.6939,0.6986
authenticity_score,Sys_DiT_noref_2,User_DiT_2,500,0.6438,0.0,0.6252,0.0,0.6427,0.6434
authenticity_score,Sys_DiT_noref_2,User_DiT_3,500,0.6709,0.0,0.6563,0.0,0.6658,0.6705
authenticity_score,Sys_DiT_noref_3,User_DiT_1,500,0.7016,0.0,0.7006,0.0,0.6946,0.7015
authenticity_score,Sys_DiT_noref_3,User_DiT_2,500,0.6515,0.0,0.6434,0.0,0.6488,0.6507
authenticity_score,Sys_DiT_noref_3,User_DiT_3,500,0.6682,0.0,0.6629,0.0,0.6606,0.6674
authenticity_score,User_DiT_1,User_DiT_2,500,0.7576,0.0,0.7471,0.0,0.7561,0.7572
authenticity_score,User_DiT_1,User_DiT_3,500,0.7706,0.0,0.7599,0.0,0.7705,0.7701
authenticity_score,User_DiT_2,User_DiT_3,500,0.7429,0.0,0.7323,0.0,0.7418,0.7429
