source,alignment_norm,authenticity_norm,composite_product,composite_harmonic,alignment_norm_std,alignment_norm_se,alignment_norm_ci_low,alignment_norm_ci_high,authenticity_norm_std,authenticity_norm_se,authenticity_norm_ci_low,authenticity_norm_ci_high,composite_product_std,composite_product_se,composite_product_ci_low,composite_product_ci_high,composite_harmonic_std,composite_harmonic_se,composite_harmonic_ci_low,composite_harmonic_ci_high,composite_product_x_vendi_ratio,composite_product_x_vendi_ratio_std,composite_product_x_vendi_ratio_se,composite_product_x_vendi_ratio_ci_low,composite_product_x_vendi_ratio_ci_high,composite_product_x_vendi_ratio_train,composite_product_x_vendi_ratio_train_std,composite_product_x_vendi_ratio_train_se,composite_product_x_vendi_ratio_train_ci_low,composite_product_x_vendi_ratio_train_ci_high,composite_harmonic_x_vendi_ratio,composite_harmonic_x_vendi_ratio_std,composite_harmonic_x_vendi_ratio_se,composite_harmonic_x_vendi_ratio_ci_low,composite_harmonic_x_vendi_ratio_ci_high,composite_harmonic_x_vendi_ratio_train,composite_harmonic_x_vendi_ratio_train_std,composite_harmonic_x_vendi_ratio_train_se,composite_harmonic_x_vendi_ratio_train_ci_low,composite_harmonic_x_vendi_ratio_train_ci_high,composite_product_x_MEAN_VENDI_RATIO,composite_harmonic_x_MEAN_VENDI_RATIO,composite_product_x_MEAN_VENDI_RATIO_TRAIN,composite_harmonic_x_MEAN_VENDI_RATIO_TRAIN
Sys_DiT_noref_1,0.7552,0.5986,0.4931,0.6453,0.1782,0.0178,0.7198,0.7906,0.1767,0.0177,0.5635,0.6337,0.2133,0.0213,0.4508,0.5354,0.1827,0.0183,0.609,0.6816,0.4907,0.3639,0.0364,0.4185,0.5629,0.41,0.1851,0.0185,0.3733,0.4467,0.6656,0.4828,0.0483,0.5698,0.7614,0.5389,0.1789,0.0179,0.5034,0.5744,0.5294,0.6928,0.4134,0.541
Sys_DiT_noref_2,0.7507,0.5903,0.4839,0.6391,0.1842,0.0184,0.7141,0.7873,0.177,0.0177,0.5552,0.6254,0.2071,0.0207,0.4428,0.525,0.1825,0.0183,0.6029,0.6753,0.4877,0.3929,0.0393,0.4097,0.5657,0.4011,0.182,0.0182,0.365,0.4372,0.6603,0.4893,0.0489,0.5632,0.7574,0.531,0.1767,0.0177,0.4959,0.5661,0.5195,0.6862,0.4057,0.5358
Sys_DiT_noref_3,0.7585,0.5838,0.4804,0.6347,0.1775,0.0177,0.7233,0.7937,0.1792,0.0179,0.5482,0.6194,0.2089,0.0209,0.439,0.5218,0.1803,0.018,0.5989,0.6705,0.4821,0.3703,0.037,0.4086,0.5556,0.3989,0.1811,0.0181,0.363,0.4348,0.6542,0.4727,0.0473,0.5604,0.748,0.5297,0.1771,0.0177,0.4946,0.5648,0.5158,0.6814,0.4027,0.5321
User_DiT_1,0.769,0.6204,0.5087,0.6409,0.2136,0.0214,0.7266,0.8114,0.1678,0.0168,0.5871,0.6537,0.2197,0.022,0.4651,0.5523,0.1979,0.0198,0.6016,0.6802,0.5216,0.409,0.0409,0.4404,0.6028,0.424,0.1952,0.0195,0.3853,0.4627,0.6695,0.5039,0.0504,0.5695,0.7695,0.5355,0.1935,0.0193,0.4971,0.5739,0.5462,0.6881,0.4265,0.5373
User_DiT_2,0.7798,0.6052,0.5039,0.6407,0.2164,0.0216,0.7369,0.8227,0.1554,0.0155,0.5744,0.636,0.2075,0.0208,0.4627,0.5451,0.1902,0.019,0.603,0.6784,0.5216,0.4089,0.0409,0.4405,0.6027,0.4207,0.1861,0.0186,0.3838,0.4576,0.6734,0.5012,0.0501,0.574,0.7728,0.5356,0.1874,0.0187,0.4984,0.5728,0.541,0.6879,0.4224,0.5371
User_DiT_3,0.7727,0.6204,0.5116,0.6432,0.2175,0.0218,0.7295,0.8159,0.1624,0.0162,0.5882,0.6526,0.2142,0.0214,0.4691,0.5541,0.1981,0.0198,0.6039,0.6825,0.532,0.4251,0.0425,0.4477,0.6163,0.4296,0.1918,0.0192,0.3915,0.4677,0.6776,0.5212,0.0521,0.5742,0.781,0.5408,0.1973,0.0197,0.5016,0.58,0.5493,0.6906,0.4289,0.5392
Sys_DiT_noref_AVG_STATS,0.7548,0.5909,0.4858,0.6397,0.18,0.018,0.7191,0.7905,0.1776,0.0178,0.5556,0.6262,0.2098,0.021,0.4442,0.5274,0.1818,0.0182,0.6036,0.6758,0.4868,0.3757,0.0376,0.4123,0.5614,0.4033,0.1827,0.0183,0.3671,0.4396,0.66,0.4816,0.0482,0.5645,0.7556,0.5332,0.1776,0.0178,0.498,0.5684,0.5216,0.6868,0.4073,0.5363
Sys_DiT_noref_AVG_PERCLASS,0.7548,0.5909,0.4858,0.6397,0.1747,0.0175,0.7201,0.7895,0.1702,0.017,0.5571,0.6247,0.2043,0.0204,0.4453,0.5263,0.1771,0.0177,0.6046,0.6748,0.4868,0.3692,0.0369,0.4136,0.5601,0.4033,0.1778,0.0178,0.3681,0.4386,0.66,0.4774,0.0477,0.5653,0.7548,0.5332,0.1738,0.0174,0.4987,0.5677,0.5216,0.6868,0.4073,0.5363
Human_DiT_500_AVG_STATS,0.7738,0.6153,0.5081,0.6416,0.2158,0.0216,0.731,0.8167,0.1619,0.0162,0.5832,0.6474,0.2138,0.0214,0.4656,0.5505,0.1954,0.0195,0.6028,0.6804,0.5251,0.4143,0.0414,0.4429,0.6073,0.4248,0.191,0.0191,0.3869,0.4627,0.6735,0.5088,0.0509,0.5726,0.7744,0.5373,0.1927,0.0192,0.499,0.5756,0.5455,0.6889,0.4259,0.5379
Human_DiT_500_AVG_PERCLASS,0.7738,0.6153,0.5081,0.6416,0.2104,0.021,0.7321,0.8156,0.1565,0.0157,0.5843,0.6464,0.2089,0.0209,0.4666,0.5495,0.1905,0.0191,0.6038,0.6794,0.5251,0.4107,0.0411,0.4436,0.6066,0.4248,0.187,0.0187,0.3877,0.4619,0.6735,0.5061,0.0506,0.5731,0.7739,0.5373,0.1891,0.0189,0.4998,0.5748,0.5455,0.6889,0.4259,0.5379
