image_id,source,alignment_score,authenticity_score,class_id
0,Sys_DiT_ref_1,4.85,3.2,4
0,Sys_DiT_ref_2,4.85,3.2,4
0,Sys_DiT_ref_3,4.12,3.85,4
0,User_DiT_1,5.0,4.0,4
0,User_DiT_2,5.0,4.0,4
0,User_DiT_3,5.0,5.0,4
1,Sys_DiT_ref_1,4.65,3.85,4
1,Sys_DiT_ref_2,4.65,3.85,4
1,Sys_DiT_ref_3,4.85,3.2,4
1,User_DiT_1,5.0,4.0,4
1,User_DiT_2,5.0,3.0,4
1,User_DiT_3,5.0,4.0,4
2,Sys_DiT_ref_1,4.85,4.92,4
2,Sys_DiT_ref_2,4.85,3.65,4
2,Sys_DiT_ref_3,4.85,3.92,4
2,User_DiT_1,5.0,5.0,4
2,User_DiT_2,5.0,4.0,4
2,User_DiT_3,5.0,4.0,4
3,Sys_DiT_ref_1,4.15,3.25,4
3,Sys_DiT_ref_2,4.15,2.3,4
3,Sys_DiT_ref_3,4.85,3.92,4
3,User_DiT_1,5.0,4.0,4
3,User_DiT_2,5.0,4.0,4
3,User_DiT_3,5.0,4.0,4
4,Sys_DiT_ref_1,4.65,3.85,4
4,Sys_DiT_ref_2,4.35,3.85,4
4,Sys_DiT_ref_3,4.35,3.85,4
4,User_DiT_1,5.0,3.0,4
4,User_DiT_2,5.0,4.0,4
4,User_DiT_3,4.38,3.0,4
5,Sys_DiT_ref_1,3.85,2.0,7
5,Sys_DiT_ref_2,3.85,2.0,7
5,Sys_DiT_ref_3,4.35,2.0,7
5,User_DiT_1,4.44,4.0,7
5,User_DiT_2,4.38,2.0,7
5,User_DiT_3,4.38,4.0,7
6,Sys_DiT_ref_1,4.85,1.5,7
6,Sys_DiT_ref_2,5.0,1.5,7
6,Sys_DiT_ref_3,5.0,5.0,7
6,User_DiT_1,5.0,2.0,7
6,User_DiT_2,5.0,5.0,7
6,User_DiT_3,5.0,5.0,7
7,Sys_DiT_ref_1,4.15,3.65,7
7,Sys_DiT_ref_2,4.68,3.85,7
7,Sys_DiT_ref_3,4.15,3.62,7
7,User_DiT_1,4.44,4.0,7
7,User_DiT_2,4.44,4.0,7
7,User_DiT_3,4.44,4.0,7
8,Sys_DiT_ref_1,4.15,3.85,7
8,Sys_DiT_ref_2,4.12,2.35,7
8,Sys_DiT_ref_3,3.85,2.75,7
8,User_DiT_1,4.17,4.0,7
8,User_DiT_2,4.17,4.0,7
8,User_DiT_3,4.17,3.0,7
9,Sys_DiT_ref_1,4.62,2.85,7
9,Sys_DiT_ref_2,4.62,2.85,7
9,Sys_DiT_ref_3,4.65,3.85,7
9,User_DiT_1,5.0,3.0,7
9,User_DiT_2,5.0,3.0,7
9,User_DiT_3,5.0,3.0,7
10,Sys_DiT_ref_1,4.85,1.5,10
10,Sys_DiT_ref_2,4.82,1.5,10
10,Sys_DiT_ref_3,3.45,3.82,10
10,User_DiT_1,3.89,4.0,10
10,User_DiT_2,3.89,4.0,10
10,User_DiT_3,3.89,4.0,10
11,Sys_DiT_ref_1,4.85,4.92,10
11,Sys_DiT_ref_2,4.62,1.5,10
11,Sys_DiT_ref_3,4.82,3.85,10
11,User_DiT_1,4.0,5.0,10
11,User_DiT_2,4.0,5.0,10
11,User_DiT_3,4.0,5.0,10
12,Sys_DiT_ref_1,3.15,1.5,10
12,Sys_DiT_ref_2,4.15,3.25,10
12,Sys_DiT_ref_3,1.85,1.2,10
12,User_DiT_1,0.56,3.0,10
12,User_DiT_2,3.57,3.0,10
12,User_DiT_3,0.56,2.0,10
13,Sys_DiT_ref_1,4.85,1.5,10
13,Sys_DiT_ref_2,4.85,4.92,10
13,Sys_DiT_ref_3,4.82,1.5,10
13,User_DiT_1,4.0,3.0,10
13,User_DiT_2,5.0,3.0,10
13,User_DiT_3,4.0,2.0,10
14,Sys_DiT_ref_1,4.85,4.92,10
14,Sys_DiT_ref_2,4.92,4.95,10
14,Sys_DiT_ref_3,4.85,4.92,10
14,User_DiT_1,4.0,5.0,10
14,User_DiT_2,4.0,5.0,10
14,User_DiT_3,3.89,5.0,10
15,Sys_DiT_ref_1,4.15,2.85,25
15,Sys_DiT_ref_2,4.72,2.0,25
15,Sys_DiT_ref_3,4.15,2.0,25
