score_type,sys_group,human_group,sys_source,human_source,aggregation,n_common,threshold,n_positive,n_negative,auc
alignment_score,Sys_DiT_ref_500,Human_DiT_500,Sys_DiT_ref_1,User_DiT_1,individual,500,4.38,275,225,0.8251
alignment_score,Sys_DiT_ref_500,Human_DiT_500,Sys_DiT_ref_1,User_DiT_2,individual,500,4.38,277,223,0.8173
alignment_score,Sys_DiT_ref_500,Human_DiT_500,Sys_DiT_ref_1,User_DiT_3,individual,500,4.38,281,219,0.8153
alignment_score,Sys_DiT_ref_500,Human_DiT_500,Sys_DiT_ref_2,User_DiT_1,individual,500,4.38,275,225,0.8171
alignment_score,Sys_DiT_ref_500,Human_DiT_500,Sys_DiT_ref_2,User_DiT_2,individual,500,4.38,277,223,0.8198
alignment_score,Sys_DiT_ref_500,Human_DiT_500,Sys_DiT_ref_2,User_DiT_3,individual,500,4.38,281,219,0.8212
alignment_score,Sys_DiT_ref_500,Human_DiT_500,Sys_DiT_ref_3,User_DiT_1,individual,500,4.38,275,225,0.8289
alignment_score,Sys_DiT_ref_500,Human_DiT_500,Sys_DiT_ref_3,User_DiT_2,individual,500,4.38,277,223,0.8253
alignment_score,Sys_DiT_ref_500,Human_DiT_500,Sys_DiT_ref_3,User_DiT_3,individual,500,4.38,281,219,0.8283
authenticity_score,Sys_DiT_ref_500,Human_DiT_500,Sys_DiT_ref_1,User_DiT_1,individual,500,3.0,331,169,0.8684
authenticity_score,Sys_DiT_ref_500,Human_DiT_500,Sys_DiT_ref_1,User_DiT_2,individual,500,3.0,316,184,0.869
authenticity_score,Sys_DiT_ref_500,Human_DiT_500,Sys_DiT_ref_1,User_DiT_3,individual,500,3.0,330,170,0.867
authenticity_score,Sys_DiT_ref_500,Human_DiT_500,Sys_DiT_ref_2,User_DiT_1,individual,500,3.0,331,169,0.8653
authenticity_score,Sys_DiT_ref_500,Human_DiT_500,Sys_DiT_ref_2,User_DiT_2,individual,500,3.0,316,184,0.8461
authenticity_score,Sys_DiT_ref_500,Human_DiT_500,Sys_DiT_ref_2,User_DiT_3,individual,500,3.0,330,170,0.8604
authenticity_score,Sys_DiT_ref_500,Human_DiT_500,Sys_DiT_ref_3,User_DiT_1,individual,500,3.0,331,169,0.8746
authenticity_score,Sys_DiT_ref_500,Human_DiT_500,Sys_DiT_ref_3,User_DiT_2,individual,500,3.0,316,184,0.8671
authenticity_score,Sys_DiT_ref_500,Human_DiT_500,Sys_DiT_ref_3,User_DiT_3,individual,500,3.0,330,170,0.8831
alignment_score,Sys_DiT_ref_500,Human_DiT_500,Sys_DiT_ref_500 (avg),Human_DiT_500 (avg),group_avg,500,4.4,251,249,0.8689
authenticity_score,Sys_DiT_ref_500,Human_DiT_500,Sys_DiT_ref_500 (avg),Human_DiT_500 (avg),group_avg,500,3.0,298,202,0.933
