score_type,source_1,source_2,n_common_images,pearson_r,pearson_p,spearman_r,spearman_p,icc_2_1_absolute_agreement,icc_3_1_consistency
alignment_score,Sys_DiT_ref_1,Sys_DiT_ref_2,500,0.8244,0.0,0.7829,0.0,0.8241,0.8244
alignment_score,Sys_DiT_ref_1,Sys_DiT_ref_3,500,0.8374,0.0,0.775,0.0,0.8363,0.8369
alignment_score,Sys_DiT_ref_1,User_DiT_1,500,0.6863,0.0,0.6245,0.0,0.6789,0.6787
alignment_score,Sys_DiT_ref_1,User_DiT_2,500,0.6867,0.0,0.6086,0.0,0.6802,0.6812
alignment_score,Sys_DiT_ref_1,User_DiT_3,500,0.6656,0.0,0.6028,0.0,0.6566,0.6567
alignment_score,Sys_DiT_ref_2,Sys_DiT_ref_3,500,0.8485,0.0,0.7606,0.0,0.8484,0.8482
alignment_score,Sys_DiT_ref_2,User_DiT_1,500,0.6732,0.0,0.6022,0.0,0.666,0.6668
alignment_score,Sys_DiT_ref_2,User_DiT_2,500,0.6998,0.0,0.6086,0.0,0.6921,0.6952
alignment_score,Sys_DiT_ref_2,User_DiT_3,500,0.6746,0.0,0.6071,0.0,0.6653,0.6667
alignment_score,Sys_DiT_ref_3,User_DiT_1,500,0.6789,0.0,0.6263,0.0,0.6734,0.6746
alignment_score,Sys_DiT_ref_3,User_DiT_2,500,0.7107,0.0,0.6322,0.0,0.7042,0.7079
alignment_score,Sys_DiT_ref_3,User_DiT_3,500,0.6961,0.0,0.6249,0.0,0.6884,0.6903
alignment_score,User_DiT_1,User_DiT_2,500,0.7946,0.0,0.7987,0.0,0.7942,0.7943
alignment_score,User_DiT_1,User_DiT_3,500,0.8342,0.0,0.8129,0.0,0.8343,0.8341
alignment_score,User_DiT_2,User_DiT_3,500,0.8074,0.0,0.8114,0.0,0.8069,0.8068
authenticity_score,Sys_DiT_ref_1,Sys_DiT_ref_2,500,0.7616,0.0,0.7571,0.0,0.7612,0.7616
authenticity_score,Sys_DiT_ref_1,Sys_DiT_ref_3,500,0.76,0.0,0.7508,0.0,0.759,0.76
authenticity_score,Sys_DiT_ref_1,User_DiT_1,500,0.733,0.0,0.7228,0.0,0.7211,0.7322
authenticity_score,Sys_DiT_ref_1,User_DiT_2,500,0.7213,0.0,0.7151,0.0,0.7167,0.7213
authenticity_score,Sys_DiT_ref_1,User_DiT_3,500,0.71,0.0,0.7008,0.0,0.6989,0.71
authenticity_score,Sys_DiT_ref_2,Sys_DiT_ref_3,500,0.7429,0.0,0.7327,0.0,0.7432,0.7429
authenticity_score,Sys_DiT_ref_2,User_DiT_1,500,0.6953,0.0,0.6848,0.0,0.6778,0.6944
authenticity_score,Sys_DiT_ref_2,User_DiT_2,500,0.6678,0.0,0.6571,0.0,0.6593,0.6677
authenticity_score,Sys_DiT_ref_2,User_DiT_3,500,0.6854,0.0,0.6821,0.0,0.6684,0.6853
authenticity_score,Sys_DiT_ref_3,User_DiT_1,500,0.7241,0.0,0.7161,0.0,0.7035,0.7229
authenticity_score,Sys_DiT_ref_3,User_DiT_2,500,0.7295,0.0,0.7247,0.0,0.7185,0.7293
authenticity_score,Sys_DiT_ref_3,User_DiT_3,500,0.7424,0.0,0.7394,0.0,0.7215,0.7422
authenticity_score,User_DiT_1,User_DiT_2,500,0.7576,0.0,0.7471,0.0,0.7561,0.7572
authenticity_score,User_DiT_1,User_DiT_3,500,0.7706,0.0,0.7599,0.0,0.7705,0.7701
authenticity_score,User_DiT_2,User_DiT_3,500,0.7429,0.0,0.7323,0.0,0.7418,0.7429
