source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
Sys_DiT_ref_1,4,0.93,0.76,0.71,0.83,0.87,0.78,0.62,0.55,0.73,0.65
Sys_DiT_ref_1,7,0.86,0.55,0.47,0.65,0.49,0.71,0.23,0.34,0.32,0.47
Sys_DiT_ref_1,10,0.9,0.57,0.54,0.66,0.83,0.9,0.45,0.48,0.54,0.59
Sys_DiT_ref_1,25,0.89,0.69,0.62,0.77,1.11,0.83,0.69,0.52,0.85,0.64
Sys_DiT_ref_1,35,0.75,0.72,0.55,0.73,1.0,0.83,0.54,0.45,0.73,0.6
Sys_DiT_ref_1,39,0.76,0.69,0.57,0.72,0.77,0.89,0.44,0.51,0.55,0.64
Sys_DiT_ref_1,49,0.81,0.81,0.68,0.8,1.17,1.16,0.79,0.79,0.94,0.94
Sys_DiT_ref_1,51,0.83,0.84,0.79,0.83,0.83,0.91,0.66,0.72,0.69,0.75
Sys_DiT_ref_1,52,0.8,0.8,0.71,0.8,2.47,1.04,1.74,0.74,1.97,0.83
Sys_DiT_ref_1,64,0.79,0.75,0.61,0.76,1.14,0.91,0.69,0.55,0.87,0.69
Sys_DiT_ref_1,80,0.84,0.52,0.45,0.63,0.29,0.47,0.13,0.21,0.18,0.29
Sys_DiT_ref_1,97,0.97,0.81,0.79,0.85,1.41,0.84,1.11,0.66,1.2,0.71
Sys_DiT_ref_1,106,0.85,0.58,0.49,0.67,2.51,0.76,1.22,0.37,1.69,0.51
Sys_DiT_ref_1,116,0.83,0.77,0.65,0.8,0.43,0.71,0.28,0.46,0.34,0.57
Sys_DiT_ref_1,118,0.58,0.54,0.35,0.55,1.12,0.82,0.39,0.28,0.62,0.45
Sys_DiT_ref_1,129,0.87,0.44,0.4,0.57,0.68,1.04,0.27,0.42,0.39,0.6
Sys_DiT_ref_1,144,0.91,0.39,0.36,0.53,1.13,1.01,0.41,0.36,0.6,0.53
Sys_DiT_ref_1,147,0.85,0.7,0.61,0.76,0.83,0.75,0.5,0.45,0.63,0.57
Sys_DiT_ref_1,150,0.88,0.51,0.45,0.63,1.51,1.03,0.68,0.46,0.95,0.65
Sys_DiT_ref_1,156,0.95,0.54,0.51,0.67,0.47,0.8,0.24,0.41,0.31,0.53
Sys_DiT_ref_1,159,0.49,0.37,0.2,0.41,1.13,1.04,0.23,0.21,0.47,0.43
Sys_DiT_ref_1,281,0.89,0.39,0.33,0.51,1.83,1.05,0.61,0.35,0.93,0.53
Sys_DiT_ref_1,300,0.93,0.88,0.82,0.9,0.47,0.8,0.39,0.66,0.42,0.72
Sys_DiT_ref_1,322,0.91,0.83,0.78,0.87,0.62,0.69,0.48,0.54,0.53,0.59
Sys_DiT_ref_1,330,0.85,0.69,0.62,0.75,0.35,0.95,0.22,0.58,0.27,0.71
Sys_DiT_ref_1,333,0.89,0.4,0.37,0.54,0.9,0.82,0.33,0.3,0.49,0.45
Sys_DiT_ref_1,339,0.98,0.72,0.71,0.81,1.31,0.76,0.93,0.54,1.06,0.62
Sys_DiT_ref_1,347,0.94,0.67,0.64,0.77,0.45,0.72,0.29,0.47,0.34,0.56
Sys_DiT_ref_1,356,0.82,0.34,0.28,0.47,2.05,1.34,0.57,0.37,0.97,0.63
Sys_DiT_ref_1,365,0.91,0.37,0.34,0.52,0.72,0.68,0.24,0.23,0.37,0.35
Sys_DiT_ref_1,370,0.87,0.32,0.28,0.46,0.76,0.84,0.21,0.24,0.35,0.39
Sys_DiT_ref_1,389,0.32,0.4,0.13,0.35,1.52,0.62,0.2,0.08,0.53,0.22
Sys_DiT_ref_1,392,0.87,0.76,0.66,0.8,0.23,0.57,0.15,0.38,0.19,0.46
