image_id,source,alignment_score,artifact_score
0,Sys_DiT_ref_1,4.85,3.2
0,Sys_DiT_ref_2,4.85,3.2
0,Sys_DiT_ref_3,4.12,3.85
0,User_DiT_1,5.0,4.0
0,User_DiT_2,5.0,4.0
0,User_DiT_3,5.0,5.0
1,Sys_DiT_ref_1,4.65,3.85
1,Sys_DiT_ref_2,4.65,3.85
1,Sys_DiT_ref_3,4.85,3.2
1,User_DiT_1,5.0,4.0
1,User_DiT_2,5.0,3.0
1,User_DiT_3,5.0,4.0
2,Sys_DiT_ref_1,4.85,4.92
2,Sys_DiT_ref_2,4.85,3.65
2,Sys_DiT_ref_3,4.85,3.92
2,User_DiT_1,5.0,5.0
2,User_DiT_2,5.0,4.0
2,User_DiT_3,5.0,4.0
3,Sys_DiT_ref_1,4.15,3.25
3,Sys_DiT_ref_2,4.15,2.3
3,Sys_DiT_ref_3,4.85,3.92
3,User_DiT_1,5.0,4.0
3,User_DiT_2,5.0,4.0
3,User_DiT_3,5.0,4.0
4,Sys_DiT_ref_1,4.65,3.85
4,Sys_DiT_ref_2,4.35,3.85
4,Sys_DiT_ref_3,4.35,3.85
4,User_DiT_1,5.0,3.0
4,User_DiT_2,5.0,4.0
4,User_DiT_3,4.38,3.0
5,Sys_DiT_ref_1,3.85,2.0
5,Sys_DiT_ref_2,3.85,2.0
5,Sys_DiT_ref_3,4.35,2.0
5,User_DiT_1,4.44,4.0
5,User_DiT_2,4.38,2.0
5,User_DiT_3,4.38,4.0
6,Sys_DiT_ref_1,4.85,1.5
6,Sys_DiT_ref_2,5.0,1.5
6,Sys_DiT_ref_3,5.0,5.0
6,User_DiT_1,5.0,2.0
6,User_DiT_2,5.0,5.0
6,User_DiT_3,5.0,5.0
7,Sys_DiT_ref_1,4.15,3.65
7,Sys_DiT_ref_2,4.68,3.85
7,Sys_DiT_ref_3,4.15,3.62
7,User_DiT_1,4.44,4.0
7,User_DiT_2,4.44,4.0
7,User_DiT_3,4.44,4.0
8,Sys_DiT_ref_1,4.15,3.85
8,Sys_DiT_ref_2,4.12,2.35
8,Sys_DiT_ref_3,3.85,2.75
8,User_DiT_1,4.17,4.0
8,User_DiT_2,4.17,4.0
8,User_DiT_3,4.17,3.0
9,Sys_DiT_ref_1,4.62,2.85
9,Sys_DiT_ref_2,4.62,2.85
9,Sys_DiT_ref_3,4.65,3.85
9,User_DiT_1,5.0,3.0
9,User_DiT_2,5.0,3.0
9,User_DiT_3,5.0,3.0
10,Sys_DiT_ref_1,4.85,1.5
10,Sys_DiT_ref_2,4.82,1.5
10,Sys_DiT_ref_3,3.45,3.82
10,User_DiT_1,3.89,4.0
10,User_DiT_2,3.89,4.0
10,User_DiT_3,3.89,4.0
11,Sys_DiT_ref_1,4.85,4.92
11,Sys_DiT_ref_2,4.62,1.5
11,Sys_DiT_ref_3,4.82,3.85
11,User_DiT_1,4.0,5.0
11,User_DiT_2,4.0,5.0
11,User_DiT_3,4.0,5.0
12,Sys_DiT_ref_1,3.15,1.5
12,Sys_DiT_ref_2,4.15,3.25
12,Sys_DiT_ref_3,1.85,1.2
12,User_DiT_1,0.56,3.0
12,User_DiT_2,3.57,3.0
12,User_DiT_3,0.56,2.0
13,Sys_DiT_ref_1,4.85,1.5
13,Sys_DiT_ref_2,4.85,4.92
13,Sys_DiT_ref_3,4.82,1.5
13,User_DiT_1,4.0,3.0
13,User_DiT_2,5.0,3.0
13,User_DiT_3,4.0,2.0
14,Sys_DiT_ref_1,4.85,4.92
14,Sys_DiT_ref_2,4.92,4.95
14,Sys_DiT_ref_3,4.85,4.92
14,User_DiT_1,4.0,5.0
14,User_DiT_2,4.0,5.0
14,User_DiT_3,3.89,5.0
15,Sys_DiT_ref_1,4.15,2.85
15,Sys_DiT_ref_2,4.72,2.0
15,Sys_DiT_ref_3,4.15,2.0
15,User_DiT_1,5.0,4.0
