score_type,source_1,source_2,n_common_images,pearson_r,pearson_p,spearman_r,spearman_p,icc_2_1_absolute_agreement,icc_3_1_consistency
alignment_score,Sys_DiT_ref_1,Sys_DiT_ref_2,499,0.8348,0.0,0.746,0.0,0.835,0.8348
alignment_score,Sys_DiT_ref_1,Sys_DiT_ref_3,499,0.8376,0.0,0.7845,0.0,0.8377,0.8375
alignment_score,Sys_DiT_ref_1,User_DiT_1,450,0.72,0.0,0.6278,0.0,0.7168,0.7183
alignment_score,Sys_DiT_ref_1,User_DiT_2,449,0.7788,0.0,0.6463,0.0,0.7773,0.7775
alignment_score,Sys_DiT_ref_1,User_DiT_3,488,0.7487,0.0,0.6153,0.0,0.7427,0.7479
alignment_score,Sys_DiT_ref_2,Sys_DiT_ref_3,499,0.8404,0.0,0.7726,0.0,0.8406,0.8403
alignment_score,Sys_DiT_ref_2,User_DiT_1,450,0.7234,0.0,0.6244,0.0,0.7186,0.7209
alignment_score,Sys_DiT_ref_2,User_DiT_2,449,0.8279,0.0,0.6918,0.0,0.8254,0.8264
alignment_score,Sys_DiT_ref_2,User_DiT_3,488,0.7661,0.0,0.6198,0.0,0.7615,0.7655
alignment_score,Sys_DiT_ref_3,User_DiT_1,450,0.7211,0.0,0.6258,0.0,0.7176,0.7197
alignment_score,Sys_DiT_ref_3,User_DiT_2,449,0.8151,0.0,0.6893,0.0,0.8131,0.8145
alignment_score,Sys_DiT_ref_3,User_DiT_3,488,0.758,0.0,0.6596,0.0,0.7534,0.7567
alignment_score,User_DiT_1,User_DiT_2,406,0.8694,0.0,0.8517,0.0,0.869,0.8693
alignment_score,User_DiT_1,User_DiT_3,447,0.9008,0.0,0.8173,0.0,0.8807,0.8949
alignment_score,User_DiT_2,User_DiT_3,443,0.9049,0.0,0.8569,0.0,0.8901,0.9003
artifact_score,Sys_DiT_ref_1,Sys_DiT_ref_2,499,0.7232,0.0,0.7294,0.0,0.7217,0.7222
artifact_score,Sys_DiT_ref_1,Sys_DiT_ref_3,499,0.7373,0.0,0.7535,0.0,0.7376,0.7372
artifact_score,Sys_DiT_ref_1,User_DiT_1,450,0.6727,0.0,0.6626,0.0,0.6664,0.6666
artifact_score,Sys_DiT_ref_1,User_DiT_2,449,0.7372,0.0,0.7294,0.0,0.7252,0.7367
artifact_score,Sys_DiT_ref_1,User_DiT_3,488,0.7203,0.0,0.7189,0.0,0.7169,0.7189
artifact_score,Sys_DiT_ref_2,Sys_DiT_ref_3,499,0.7604,0.0,0.7623,0.0,0.7593,0.7599
artifact_score,Sys_DiT_ref_2,User_DiT_1,450,0.6996,0.0,0.697,0.0,0.6968,0.6964
artifact_score,Sys_DiT_ref_2,User_DiT_2,449,0.7128,0.0,0.7172,0.0,0.7079,0.7123
artifact_score,Sys_DiT_ref_2,User_DiT_3,488,0.727,0.0,0.7286,0.0,0.7159,0.7223
artifact_score,Sys_DiT_ref_3,User_DiT_1,450,0.6751,0.0,0.6753,0.0,0.6692,0.6695
artifact_score,Sys_DiT_ref_3,User_DiT_2,449,0.7708,0.0,0.7696,0.0,0.7566,0.7707
artifact_score,Sys_DiT_ref_3,User_DiT_3,488,0.7441,0.0,0.7414,0.0,0.7396,0.742
artifact_score,User_DiT_1,User_DiT_2,406,0.7956,0.0,0.7912,0.0,0.7831,0.7892
artifact_score,User_DiT_1,User_DiT_3,447,0.8279,0.0,0.8413,0.0,0.8063,0.8122
artifact_score,User_DiT_2,User_DiT_3,443,0.8378,0.0,0.8426,0.0,0.8041,0.8347
