source,alignment_norm,artifact_norm,composite_product,composite_harmonic,alignment_norm_std,alignment_norm_se,alignment_norm_ci_low,alignment_norm_ci_high,artifact_norm_std,artifact_norm_se,artifact_norm_ci_low,artifact_norm_ci_high,composite_product_std,composite_product_se,composite_product_ci_low,composite_product_ci_high,composite_harmonic_std,composite_harmonic_se,composite_harmonic_ci_low,composite_harmonic_ci_high,composite_product_x_vendi_ratio,composite_product_x_vendi_ratio_std,composite_product_x_vendi_ratio_se,composite_product_x_vendi_ratio_ci_low,composite_product_x_vendi_ratio_ci_high,composite_product_x_vendi_ratio_train,composite_product_x_vendi_ratio_train_std,composite_product_x_vendi_ratio_train_se,composite_product_x_vendi_ratio_train_ci_low,composite_product_x_vendi_ratio_train_ci_high,composite_harmonic_x_vendi_ratio,composite_harmonic_x_vendi_ratio_std,composite_harmonic_x_vendi_ratio_se,composite_harmonic_x_vendi_ratio_ci_low,composite_harmonic_x_vendi_ratio_ci_high,composite_harmonic_x_vendi_ratio_train,composite_harmonic_x_vendi_ratio_train_std,composite_harmonic_x_vendi_ratio_train_se,composite_harmonic_x_vendi_ratio_train_ci_low,composite_harmonic_x_vendi_ratio_train_ci_high,composite_product_x_MEAN_VENDI_RATIO,composite_harmonic_x_MEAN_VENDI_RATIO,composite_product_x_MEAN_VENDI_RATIO_TRAIN,composite_harmonic_x_MEAN_VENDI_RATIO_TRAIN
Sys_DiT_ref_1,0.76,0.58,0.47,0.63,0.18,0.02,0.73,0.8,0.17,0.02,0.54,0.61,0.2,0.02,0.43,0.51,0.17,0.02,0.6,0.66,0.48,0.38,0.04,0.41,0.56,0.39,0.17,0.02,0.36,0.43,0.66,0.49,0.05,0.56,0.75,0.52,0.17,0.02,0.49,0.56,0.51,0.68,0.4,0.53
Sys_DiT_ref_2,0.75,0.57,0.46,0.62,0.18,0.02,0.71,0.79,0.17,0.02,0.53,0.6,0.2,0.02,0.42,0.5,0.18,0.02,0.58,0.65,0.47,0.36,0.04,0.4,0.54,0.38,0.17,0.02,0.35,0.41,0.64,0.47,0.05,0.55,0.73,0.51,0.17,0.02,0.48,0.55,0.49,0.66,0.39,0.52
Sys_DiT_ref_3,0.75,0.56,0.46,0.62,0.19,0.02,0.71,0.79,0.17,0.02,0.53,0.6,0.2,0.02,0.42,0.5,0.18,0.02,0.58,0.65,0.46,0.35,0.03,0.39,0.53,0.38,0.16,0.02,0.35,0.41,0.64,0.46,0.05,0.54,0.73,0.51,0.16,0.02,0.48,0.54,0.49,0.66,0.38,0.52
User_DiT_1,0.77,0.62,0.51,0.64,0.21,0.02,0.73,0.81,0.17,0.02,0.59,0.65,0.22,0.02,0.47,0.55,0.2,0.02,0.6,0.68,0.52,0.41,0.04,0.44,0.6,0.42,0.2,0.02,0.39,0.46,0.67,0.5,0.05,0.57,0.77,0.54,0.19,0.02,0.5,0.57,0.55,0.69,0.43,0.54
User_DiT_2,0.78,0.61,0.5,0.64,0.22,0.02,0.74,0.82,0.16,0.02,0.57,0.64,0.21,0.02,0.46,0.55,0.19,0.02,0.6,0.68,0.52,0.41,0.04,0.44,0.6,0.42,0.19,0.02,0.38,0.46,0.67,0.5,0.05,0.57,0.77,0.54,0.19,0.02,0.5,0.57,0.54,0.69,0.42,0.54
User_DiT_3,0.77,0.62,0.51,0.64,0.22,0.02,0.73,0.82,0.16,0.02,0.59,0.65,0.21,0.02,0.47,0.55,0.2,0.02,0.6,0.68,0.53,0.43,0.04,0.45,0.62,0.43,0.19,0.02,0.39,0.47,0.68,0.52,0.05,0.57,0.78,0.54,0.2,0.02,0.5,0.58,0.55,0.69,0.43,0.54
Sys_DiT_ref_AVG_STATS,0.75,0.57,0.46,0.62,0.18,0.02,0.72,0.79,0.17,0.02,0.53,0.6,0.2,0.02,0.42,0.5,0.18,0.02,0.59,0.65,0.47,0.36,0.04,0.4,0.54,0.38,0.17,0.02,0.35,0.42,0.65,0.47,0.05,0.55,0.74,0.51,0.17,0.02,0.48,0.55,0.5,0.67,0.39,0.52
Sys_DiT_ref_AVG_PERCLASS,0.75,0.57,0.46,0.62,0.18,0.02,0.72,0.79,0.16,0.02,0.54,0.6,0.19,0.02,0.42,0.5,0.17,0.02,0.59,0.65,0.47,0.36,0.04,0.4,0.54,0.38,0.17,0.02,0.35,0.42,0.64,0.47,0.05,0.55,0.74,0.52,0.16,0.02,0.48,0.55,0.5,0.67,0.39,0.52
Human_DiT_AVG_STATS,0.77,0.62,0.51,0.64,0.22,0.02,0.73,0.82,0.16,0.02,0.58,0.65,0.21,0.02,0.47,0.55,0.2,0.02,0.6,0.68,0.52,0.42,0.04,0.44,0.61,0.42,0.19,0.02,0.39,0.46,0.67,0.51,0.05,0.57,0.77,0.54,0.19,0.02,0.5,0.57,0.55,0.69,0.43,0.54
Human_DiT_AVG_PERCLASS,0.77,0.62,0.51,0.64,0.21,0.02,0.73,0.82,0.16,0.02,0.58,0.65,0.21,0.02,0.47,0.55,0.19,0.02,0.6,0.68,0.53,0.41,0.04,0.44,0.61,0.42,0.19,0.02,0.39,0.46,0.67,0.51,0.05,0.57,0.77,0.54,0.19,0.02,0.5,0.57,0.55,0.69,0.43,0.54
