source,class_id,alignment_norm,artifact_norm,composite_product,composite_harmonic
Sys_DiT_ref_1,4,0.93,0.76,0.71,0.83
Sys_DiT_ref_1,7,0.86,0.55,0.47,0.65
Sys_DiT_ref_1,10,0.9,0.57,0.54,0.66
Sys_DiT_ref_1,25,0.89,0.69,0.62,0.77
Sys_DiT_ref_1,35,0.75,0.72,0.55,0.73
Sys_DiT_ref_1,39,0.76,0.69,0.57,0.72
Sys_DiT_ref_1,49,0.81,0.81,0.68,0.8
Sys_DiT_ref_1,51,0.83,0.84,0.79,0.83
Sys_DiT_ref_1,52,0.8,0.8,0.71,0.8
Sys_DiT_ref_1,64,0.79,0.75,0.61,0.76
Sys_DiT_ref_1,80,0.84,0.52,0.45,0.63
Sys_DiT_ref_1,97,0.97,0.81,0.79,0.85
Sys_DiT_ref_1,106,0.85,0.58,0.49,0.67
Sys_DiT_ref_1,116,0.83,0.77,0.65,0.8
Sys_DiT_ref_1,118,0.58,0.54,0.35,0.55
Sys_DiT_ref_1,129,0.87,0.44,0.4,0.57
Sys_DiT_ref_1,144,0.91,0.39,0.36,0.53
Sys_DiT_ref_1,147,0.85,0.7,0.61,0.76
Sys_DiT_ref_1,150,0.88,0.51,0.45,0.63
Sys_DiT_ref_1,156,0.95,0.54,0.51,0.67
Sys_DiT_ref_1,159,0.49,0.37,0.2,0.41
Sys_DiT_ref_1,281,0.89,0.39,0.33,0.51
Sys_DiT_ref_1,300,0.93,0.88,0.82,0.9
Sys_DiT_ref_1,322,0.91,0.83,0.78,0.87
Sys_DiT_ref_1,330,0.85,0.69,0.62,0.75
Sys_DiT_ref_1,333,0.89,0.4,0.37,0.54
Sys_DiT_ref_1,339,0.98,0.72,0.71,0.81
Sys_DiT_ref_1,347,0.94,0.67,0.64,0.77
Sys_DiT_ref_1,356,0.82,0.34,0.28,0.47
Sys_DiT_ref_1,365,0.91,0.37,0.34,0.52
Sys_DiT_ref_1,370,0.87,0.32,0.28,0.46
Sys_DiT_ref_1,389,0.32,0.4,0.13,0.35
Sys_DiT_ref_1,392,0.87,0.76,0.66,0.8
Sys_DiT_ref_1,394,0.76,0.56,0.47,0.64
Sys_DiT_ref_1,396,0.95,0.84,0.8,0.89
Sys_DiT_ref_1,400,0.82,0.46,0.41,0.57
Sys_DiT_ref_1,405,0.7,0.5,0.36,0.57
Sys_DiT_ref_1,406,0.93,0.74,0.69,0.82
Sys_DiT_ref_1,413,0.58,0.44,0.28,0.46
Sys_DiT_ref_1,415,0.65,0.52,0.34,0.56
Sys_DiT_ref_1,419,0.72,0.4,0.3,0.48
Sys_DiT_ref_1,421,0.89,0.49,0.45,0.62
Sys_DiT_ref_1,426,0.57,0.43,0.25,0.49
Sys_DiT_ref_1,429,0.98,0.88,0.86,0.92
Sys_DiT_ref_1,432,0.68,0.34,0.21,0.4
Sys_DiT_ref_1,443,0.84,0.75,0.7,0.79
Sys_DiT_ref_1,446,0.65,0.51,0.34,0.51
Sys_DiT_ref_1,453,0.73,0.55,0.44,0.61
Sys_DiT_ref_1,461,0.96,0.85,0.82,0.9
Sys_DiT_ref_1,477,0.38,0.5,0.19,0.38
Sys_DiT_ref_1,479,0.57,0.55,0.41,0.54
Sys_DiT_ref_1,481,0.43,0.29,0.18,0.34
Sys_DiT_ref_1,488,0.94,0.85,0.81,0.89
Sys_DiT_ref_1,499,0.85,0.54,0.46,0.65
Sys_DiT_ref_1,529,0.76,0.45,0.38,0.55
Sys_DiT_ref_1,535,0.76,0.59,0.45,0.65
Sys_DiT_ref_1,554,0.86,0.41,0.36,0.53
Sys_DiT_ref_1,567,0.86,0.64,0.57,0.73
Sys_DiT_ref_1,575,0.7,0.37,0.27,0.48
Sys_DiT_ref_1,585,0.43,0.38,0.2,0.36
Sys_DiT_ref_1,590,0.81,0.5,0.43,0.62
Sys_DiT_ref_1,605,0.49,0.37,0.19,0.4
Sys_DiT_ref_1,606,0.56,0.48,0.29,0.48
Sys_DiT_ref_1,626,0.74,0.6,0.48,0.62
Sys_DiT_ref_1,632,0.67,0.55,0.41,0.56
Sys_DiT_ref_1,633,0.88,0.63,0.55,0.72
Sys_DiT_ref_1,634,0.32,0.56,0.19,0.29
Sys_DiT_ref_1,645,0.89,0.41,0.38,0.55
Sys_DiT_ref_1,654,0.93,0.53,0.5,0.67
Sys_DiT_ref_1,679,0.84,0.61,0.51,0.7
Sys_DiT_ref_1,687,0.96,0.86,0.83,0.91
Sys_DiT_ref_1,730,0.78,0.6,0.5,0.67
Sys_DiT_ref_1,743,0.7,0.67,0.53,0.65
Sys_DiT_ref_1,746,0.62,0.48,0.3,0.47
Sys_DiT_ref_1,755,0.65,0.63,0.52,0.62
Sys_DiT_ref_1,756,0.83,0.7,0.58,0.75
Sys_DiT_ref_1,806,0.96,0.84,0.8,0.89
Sys_DiT_ref_1,810,0.71,0.63,0.45,0.65
Sys_DiT_ref_1,819,0.78,0.51,0.41,0.6
Sys_DiT_ref_1,836,0.11,0.29,0.03,0.1
Sys_DiT_ref_1,903,0.59,0.56,0.38,0.56
Sys_DiT_ref_1,917,0.78,0.46,0.37,0.58
Sys_DiT_ref_1,919,0.38,0.27,0.11,0.32
Sys_DiT_ref_1,920,0.64,0.48,0.37,0.55
Sys_DiT_ref_1,922,0.29,0.23,0.07,0.22
Sys_DiT_ref_1,928,0.74,0.64,0.48,0.68
Sys_DiT_ref_1,931,0.8,0.68,0.57,0.73
Sys_DiT_ref_1,943,0.83,0.68,0.57,0.73
Sys_DiT_ref_1,952,0.98,0.94,0.93,0.96
Sys_DiT_ref_1,960,0.84,0.64,0.56,0.73
Sys_DiT_ref_1,962,0.9,0.73,0.66,0.8
Sys_DiT_ref_1,968,0.85,0.64,0.55,0.72
Sys_DiT_ref_1,971,0.84,0.58,0.5,0.67
Sys_DiT_ref_1,972,0.5,0.53,0.27,0.46
Sys_DiT_ref_1,981,0.61,0.3,0.19,0.4
Sys_DiT_ref_1,982,0.53,0.27,0.15,0.36
Sys_DiT_ref_1,983,0.92,0.62,0.56,0.73
Sys_DiT_ref_1,985,0.75,0.77,0.61,0.74
Sys_DiT_ref_1,991,0.88,0.7,0.63,0.78
Sys_DiT_ref_1,999,0.74,0.57,0.45,0.6
Sys_DiT_ref_2,4,0.91,0.67,0.62,0.77
