image_id,source,alignment_score,authenticity_score,class_id
0,User_DiT_1,5.0,4.0,4
0,User_DiT_2,5.0,4.0,4
0,User_DiT_3,5.0,5.0,4
0,Sys_DiT_ref_class1000,4.85,2.0,0
1,User_DiT_1,5.0,4.0,4
1,User_DiT_2,5.0,3.0,4
1,User_DiT_3,5.0,4.0,4
1,Sys_DiT_ref_class1000,2.85,4.92,0
2,User_DiT_1,5.0,5.0,4
2,User_DiT_2,5.0,4.0,4
2,User_DiT_3,5.0,4.0,4
2,Sys_DiT_ref_class1000,4.12,3.68,0
3,User_DiT_1,5.0,4.0,4
3,User_DiT_2,5.0,4.0,4
3,User_DiT_3,5.0,4.0,4
3,Sys_DiT_ref_class1000,4.12,1.5,0
4,User_DiT_1,5.0,3.0,4
4,User_DiT_2,5.0,4.0,4
4,User_DiT_3,4.38,3.0,4
4,Sys_DiT_ref_class1000,3.65,4.12,0
5,User_DiT_1,4.44,4.0,7
5,User_DiT_2,4.38,2.0,7
5,User_DiT_3,4.38,4.0,7
5,Sys_DiT_ref_class1000,4.85,4.2,1
6,User_DiT_1,5.0,2.0,7
6,User_DiT_2,5.0,5.0,7
6,User_DiT_3,5.0,5.0,7
6,Sys_DiT_ref_class1000,3.85,2.15,1
7,User_DiT_1,4.44,4.0,7
7,User_DiT_2,4.44,4.0,7
7,User_DiT_3,4.44,4.0,7
7,Sys_DiT_ref_class1000,4.65,3.85,1
8,User_DiT_1,4.17,4.0,7
8,User_DiT_2,4.17,4.0,7
8,User_DiT_3,4.17,3.0,7
8,Sys_DiT_ref_class1000,4.62,3.15,1
9,User_DiT_1,5.0,3.0,7
9,User_DiT_2,5.0,3.0,7
9,User_DiT_3,5.0,3.0,7
9,Sys_DiT_ref_class1000,4.85,3.72,1
10,User_DiT_1,3.89,4.0,10
10,User_DiT_2,3.89,4.0,10
10,User_DiT_3,3.89,4.0,10
10,Sys_DiT_ref_class1000,5.0,5.0,2
11,User_DiT_1,4.0,5.0,10
11,User_DiT_2,4.0,5.0,10
11,User_DiT_3,4.0,5.0,10
11,Sys_DiT_ref_class1000,4.65,3.85,2
12,User_DiT_1,0.56,3.0,10
12,User_DiT_2,3.57,3.0,10
12,User_DiT_3,0.56,2.0,10
12,Sys_DiT_ref_class1000,4.12,3.68,2
13,User_DiT_1,4.0,3.0,10
13,User_DiT_2,5.0,3.0,10
13,User_DiT_3,4.0,2.0,10
13,Sys_DiT_ref_class1000,4.92,4.85,2
14,User_DiT_1,4.0,5.0,10
14,User_DiT_2,4.0,5.0,10
14,User_DiT_3,3.89,5.0,10
14,Sys_DiT_ref_class1000,4.65,3.85,2
15,User_DiT_1,5.0,4.0,25
15,User_DiT_2,5.0,5.0,25
15,User_DiT_3,5.0,2.0,25
15,Sys_DiT_ref_class1000,4.95,4.92,3
16,User_DiT_1,5.0,5.0,25
16,User_DiT_2,5.0,4.0,25
16,User_DiT_3,5.0,5.0,25
16,Sys_DiT_ref_class1000,3.85,2.15,3
17,User_DiT_1,5.0,4.0,25
17,User_DiT_2,5.0,3.0,25
17,User_DiT_3,4.17,4.0,25
17,Sys_DiT_ref_class1000,4.62,3.85,3
18,User_DiT_1,5.0,4.0,25
18,User_DiT_2,5.0,4.0,25
18,User_DiT_3,5.0,4.0,25
18,Sys_DiT_ref_class1000,4.85,4.92,3
19,User_DiT_1,3.33,2.0,25
19,User_DiT_2,4.29,3.0,25
19,User_DiT_3,3.33,3.0,25
19,Sys_DiT_ref_class1000,4.12,2.85,3
20,User_DiT_1,5.0,4.0,35
20,User_DiT_2,5.0,4.0,35
20,User_DiT_3,5.0,4.0,35
20,Sys_DiT_ref_class1000,4.82,3.65,4
21,User_DiT_1,4.0,4.0,35
21,User_DiT_2,3.0,3.0,35
21,User_DiT_3,4.0,3.0,35
21,Sys_DiT_ref_class1000,4.35,2.85,4
22,User_DiT_1,5.0,4.0,35
22,User_DiT_2,4.0,4.0,35
22,User_DiT_3,4.0,5.0,35
22,Sys_DiT_ref_class1000,4.65,3.85,4
23,User_DiT_1,5.0,4.0,35
23,User_DiT_2,5.0,4.0,35
23,User_DiT_3,5.0,4.0,35
23,Sys_DiT_ref_class1000,4.65,2.85,4
24,User_DiT_1,4.0,3.0,35
24,User_DiT_2,4.0,3.0,35
24,User_DiT_3,4.0,4.0,35
24,Sys_DiT_ref_class1000,4.65,3.85,4
25,User_DiT_1,5.0,4.0,39
25,User_DiT_2,5.0,3.0,39
25,User_DiT_3,5.0,4.0,39
25,Sys_DiT_ref_class1000,4.35,3.85,5
26,User_DiT_1,3.75,3.0,39
26,User_DiT_2,3.89,2.0,39
26,User_DiT_3,3.89,2.0,39
26,Sys_DiT_ref_class1000,0.15,4.25,5
27,User_DiT_1,5.0,5.0,39
27,User_DiT_2,3.57,3.0,39
27,User_DiT_3,3.57,2.0,39
27,Sys_DiT_ref_class1000,1.85,3.62,5
28,User_DiT_1,5.0,3.0,39
28,User_DiT_2,4.17,2.0,39
28,User_DiT_3,5.0,3.0,39
28,Sys_DiT_ref_class1000,3.42,2.85,5
29,User_DiT_1,5.0,4.0,39
29,User_DiT_2,5.0,4.0,39
29,User_DiT_3,5.0,4.0,39
29,Sys_DiT_ref_class1000,2.15,3.85,5
30,User_DiT_1,5.0,4.0,49
30,User_DiT_2,5.0,4.0,49
30,User_DiT_3,5.0,4.0,49
30,Sys_DiT_ref_class1000,4.15,2.85,6
31,User_DiT_1,5.0,5.0,49
31,User_DiT_2,5.0,5.0,49
31,User_DiT_3,5.0,5.0,49
31,Sys_DiT_ref_class1000,4.12,3.85,6
32,User_DiT_1,5.0,5.0,49
32,User_DiT_2,5.0,5.0,49
32,User_DiT_3,5.0,4.0,49
32,Sys_DiT_ref_class1000,3.85,3.62,6
33,User_DiT_1,5.0,3.0,49
33,User_DiT_2,5.0,3.0,49
33,User_DiT_3,5.0,3.0,49
33,Sys_DiT_ref_class1000,3.82,3.65,6
34,User_DiT_1,5.0,4.0,49
34,User_DiT_2,4.38,4.0,49
34,User_DiT_3,4.38,4.0,49
34,Sys_DiT_ref_class1000,4.85,4.92,6
35,User_DiT_1,5.0,5.0,51
35,User_DiT_2,5.0,5.0,51
35,User_DiT_3,5.0,5.0,51
35,Sys_DiT_ref_class1000,4.85,3.62,7
36,User_DiT_1,0.0,1.0,51
36,User_DiT_2,0.0,1.0,51
36,User_DiT_3,0.0,1.0,51
36,Sys_DiT_ref_class1000,4.92,1.5,7
37,User_DiT_1,5.0,4.0,51
37,User_DiT_2,5.0,4.0,51
37,User_DiT_3,5.0,5.0,51
37,Sys_DiT_ref_class1000,3.85,2.0,7
38,User_DiT_1,5.0,5.0,51
38,User_DiT_2,5.0,5.0,51
38,User_DiT_3,5.0,5.0,51
38,Sys_DiT_ref_class1000,3.82,1.5,7
39,User_DiT_1,5.0,5.0,51
39,User_DiT_2,5.0,4.0,51
39,User_DiT_3,5.0,5.0,51
39,Sys_DiT_ref_class1000,3.42,1.5,7
40,User_DiT_1,5.0,5.0,52
40,User_DiT_2,5.0,4.0,52
40,User_DiT_3,5.0,4.0,52
40,Sys_DiT_ref_class1000,4.62,1.5,8
41,User_DiT_1,5.0,4.0,52
41,User_DiT_2,4.17,5.0,52
41,User_DiT_3,4.17,5.0,52
41,Sys_DiT_ref_class1000,4.15,1.5,8
42,User_DiT_1,5.0,5.0,52
42,User_DiT_2,5.0,5.0,52
42,User_DiT_3,5.0,5.0,52
