score_type,source_1,source_2,n_common_images,pearson_r,pearson_p,spearman_r,spearman_p,icc_2_1_absolute_agreement,icc_3_1_consistency
alignment_score,Sys_DiT_ref_class1000,User_DiT_1,500,0.0504,0.260886,0.0654,0.143988,0.0467,0.0467
alignment_score,Sys_DiT_ref_class1000,User_DiT_2,500,0.006,0.892935,0.0514,0.25095,0.0056,0.0056
alignment_score,Sys_DiT_ref_class1000,User_DiT_3,500,-0.0052,0.907991,0.0115,0.797724,-0.0048,-0.0048
alignment_score,User_DiT_1,User_DiT_2,500,0.7946,0.0,0.7987,0.0,0.7942,0.7943
alignment_score,User_DiT_1,User_DiT_3,500,0.8342,0.0,0.8129,0.0,0.8343,0.8341
alignment_score,User_DiT_2,User_DiT_3,500,0.8074,0.0,0.8114,0.0,0.8069,0.8068
authenticity_score,Sys_DiT_ref_class1000,User_DiT_1,500,0.0552,0.217762,0.0491,0.272995,0.0552,0.0552
authenticity_score,Sys_DiT_ref_class1000,User_DiT_2,500,0.0616,0.168898,0.053,0.236465,0.0613,0.0616
authenticity_score,Sys_DiT_ref_class1000,User_DiT_3,500,0.0261,0.560355,0.0124,0.781396,0.0261,0.0261
authenticity_score,User_DiT_1,User_DiT_2,500,0.7576,0.0,0.7471,0.0,0.7561,0.7572
authenticity_score,User_DiT_1,User_DiT_3,500,0.7706,0.0,0.7599,0.0,0.7705,0.7701
authenticity_score,User_DiT_2,User_DiT_3,500,0.7429,0.0,0.7323,0.0,0.7418,0.7429
