group,alignment_threshold,artifact_threshold,probability
Sys_DiT_ref_cls_1k,0.0,0.0,1.0
Sys_DiT_ref_cls_1k,0.0,0.02,0.9973999999999996
Sys_DiT_ref_cls_1k,0.0,0.04,0.9969999999999997
Sys_DiT_ref_cls_1k,0.0,0.06,0.9969999999999997
Sys_DiT_ref_cls_1k,0.0,0.08,0.9969999999999997
Sys_DiT_ref_cls_1k,0.0,0.1,0.9959999999999996
Sys_DiT_ref_cls_1k,0.0,0.12,0.9955999999999995
Sys_DiT_ref_cls_1k,0.0,0.14,0.9949999999999993
Sys_DiT_ref_cls_1k,0.0,0.16,0.9949999999999993
Sys_DiT_ref_cls_1k,0.0,0.18,0.9807999999999986
Sys_DiT_ref_cls_1k,0.0,0.2,0.9769999999999983
Sys_DiT_ref_cls_1k,0.0,0.22,0.9765999999999984
Sys_DiT_ref_cls_1k,0.0,0.24,0.9713999999999982
Sys_DiT_ref_cls_1k,0.0,0.26,0.9247499999999971
Sys_DiT_ref_cls_1k,0.0,0.28,0.923749999999997
Sys_DiT_ref_cls_1k,0.0,0.3,0.9115499999999971
Sys_DiT_ref_cls_1k,0.0,0.32,0.7662999999999984
Sys_DiT_ref_cls_1k,0.0,0.34,0.7562999999999986
Sys_DiT_ref_cls_1k,0.0,0.36,0.7552999999999985
Sys_DiT_ref_cls_1k,0.0,0.38,0.7124999999999995
Sys_DiT_ref_cls_1k,0.0,0.4,0.6924999999999993
Sys_DiT_ref_cls_1k,0.0,0.42,0.6578999999999997
Sys_DiT_ref_cls_1k,0.0,0.44,0.5963000000000003
Sys_DiT_ref_cls_1k,0.0,0.46,0.5951000000000003
Sys_DiT_ref_cls_1k,0.0,0.48,0.5905000000000001
Sys_DiT_ref_cls_1k,0.0,0.5,0.5733000000000004
Sys_DiT_ref_cls_1k,0.0,0.52,0.5733000000000004
Sys_DiT_ref_cls_1k,0.0,0.54,0.5537000000000007
Sys_DiT_ref_cls_1k,0.0,0.56,0.5419000000000008
Sys_DiT_ref_cls_1k,0.0,0.58,0.43270000000000003
Sys_DiT_ref_cls_1k,0.0,0.6,0.42529999999999996
Sys_DiT_ref_cls_1k,0.0,0.62,0.4056499999999999
Sys_DiT_ref_cls_1k,0.0,0.64,0.40024999999999983
Sys_DiT_ref_cls_1k,0.0,0.66,0.38084999999999963
Sys_DiT_ref_cls_1k,0.0,0.68,0.3802499999999996
Sys_DiT_ref_cls_1k,0.0,0.7,0.3662499999999994
Sys_DiT_ref_cls_1k,0.0,0.72,0.3662499999999994
Sys_DiT_ref_cls_1k,0.0,0.74,0.2675999999999993
Sys_DiT_ref_cls_1k,0.0,0.76,0.22679999999999953
Sys_DiT_ref_cls_1k,0.0,0.78,0.1262000000000007
Sys_DiT_ref_cls_1k,0.0,0.8,0.12080000000000067
Sys_DiT_ref_cls_1k,0.0,0.82,0.12060000000000067
Sys_DiT_ref_cls_1k,0.0,0.84,0.10540000000000051
Sys_DiT_ref_cls_1k,0.0,0.86,0.09320000000000042
Sys_DiT_ref_cls_1k,0.0,0.88,0.09120000000000039
Sys_DiT_ref_cls_1k,0.0,0.9,0.09120000000000039
Sys_DiT_ref_cls_1k,0.0,0.92,0.08920000000000036
Sys_DiT_ref_cls_1k,0.0,0.94,0.07680000000000033
Sys_DiT_ref_cls_1k,0.0,0.96,0.06920000000000026
Sys_DiT_ref_cls_1k,0.0,0.98,0.05040000000000007
Sys_DiT_ref_cls_1k,0.0,1.0,0.011399999999999993
Sys_DiT_ref_cls_1k,0.02,0.0,0.9849999999999984
Sys_DiT_ref_cls_1k,0.02,0.02,0.9847999999999985
Sys_DiT_ref_cls_1k,0.02,0.04,0.9843999999999985
Sys_DiT_ref_cls_1k,0.02,0.06,0.9843999999999985
Sys_DiT_ref_cls_1k,0.02,0.08,0.9843999999999985
Sys_DiT_ref_cls_1k,0.02,0.1,0.9833999999999983
Sys_DiT_ref_cls_1k,0.02,0.12,0.9833999999999983
Sys_DiT_ref_cls_1k,0.02,0.14,0.9827999999999981
Sys_DiT_ref_cls_1k,0.02,0.16,0.9827999999999981
Sys_DiT_ref_cls_1k,0.02,0.18,0.9699999999999978
Sys_DiT_ref_cls_1k,0.02,0.2,0.9661999999999975
Sys_DiT_ref_cls_1k,0.02,0.22,0.9661999999999975
Sys_DiT_ref_cls_1k,0.02,0.24,0.9609999999999973
Sys_DiT_ref_cls_1k,0.02,0.26,0.9169499999999967
Sys_DiT_ref_cls_1k,0.02,0.28,0.9159499999999966
Sys_DiT_ref_cls_1k,0.02,0.3,0.9041499999999968
Sys_DiT_ref_cls_1k,0.02,0.32,0.7600999999999987
Sys_DiT_ref_cls_1k,0.02,0.34,0.7500999999999988
Sys_DiT_ref_cls_1k,0.02,0.36,0.7490999999999987
Sys_DiT_ref_cls_1k,0.02,0.38,0.7078999999999995
Sys_DiT_ref_cls_1k,0.02,0.4,0.6878999999999993
Sys_DiT_ref_cls_1k,0.02,0.42,0.6535
Sys_DiT_ref_cls_1k,0.02,0.44,0.5919000000000004
Sys_DiT_ref_cls_1k,0.02,0.46,0.5907000000000002
Sys_DiT_ref_cls_1k,0.02,0.48,0.5861000000000003
Sys_DiT_ref_cls_1k,0.02,0.5,0.5689000000000006
Sys_DiT_ref_cls_1k,0.02,0.52,0.5689000000000006
Sys_DiT_ref_cls_1k,0.02,0.54,0.5493000000000008
Sys_DiT_ref_cls_1k,0.02,0.56,0.5377000000000007
Sys_DiT_ref_cls_1k,0.02,0.58,0.4299
Sys_DiT_ref_cls_1k,0.02,0.6,0.4224999999999998
Sys_DiT_ref_cls_1k,0.02,0.62,0.4032499999999998
Sys_DiT_ref_cls_1k,0.02,0.64,0.39784999999999976
Sys_DiT_ref_cls_1k,0.02,0.66,0.3784499999999994
Sys_DiT_ref_cls_1k,0.02,0.68,0.37784999999999946
Sys_DiT_ref_cls_1k,0.02,0.7,0.36384999999999934
Sys_DiT_ref_cls_1k,0.02,0.72,0.36384999999999934
Sys_DiT_ref_cls_1k,0.02,0.74,0.26519999999999927
Sys_DiT_ref_cls_1k,0.02,0.76,0.22439999999999952
Sys_DiT_ref_cls_1k,0.02,0.78,0.12480000000000069
Sys_DiT_ref_cls_1k,0.02,0.8,0.11940000000000067
Sys_DiT_ref_cls_1k,0.02,0.82,0.11920000000000067
Sys_DiT_ref_cls_1k,0.02,0.84,0.1040000000000005
Sys_DiT_ref_cls_1k,0.02,0.86,0.09180000000000041
Sys_DiT_ref_cls_1k,0.02,0.88,0.08980000000000038
Sys_DiT_ref_cls_1k,0.02,0.9,0.08980000000000038
Sys_DiT_ref_cls_1k,0.02,0.92,0.08780000000000036
Sys_DiT_ref_cls_1k,0.02,0.94,0.0754000000000003
Sys_DiT_ref_cls_1k,0.02,0.96,0.06780000000000024
Sys_DiT_ref_cls_1k,0.02,0.98,0.04980000000000007
Sys_DiT_ref_cls_1k,0.02,1.0,0.010799999999999994
Sys_DiT_ref_cls_1k,0.04,0.0,0.964399999999998
Sys_DiT_ref_cls_1k,0.04,0.02,0.964399999999998
Sys_DiT_ref_cls_1k,0.04,0.04,0.963999999999998
Sys_DiT_ref_cls_1k,0.04,0.06,0.963999999999998
Sys_DiT_ref_cls_1k,0.04,0.08,0.963999999999998
Sys_DiT_ref_cls_1k,0.04,0.1,0.9631999999999977
Sys_DiT_ref_cls_1k,0.04,0.12,0.9631999999999977
Sys_DiT_ref_cls_1k,0.04,0.14,0.9625999999999978
Sys_DiT_ref_cls_1k,0.04,0.16,0.9625999999999978
Sys_DiT_ref_cls_1k,0.04,0.18,0.9579999999999977
Sys_DiT_ref_cls_1k,0.04,0.2,0.9541999999999974
