source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean
Sys_DiT_ref_class1000,0,0.78,0.65,0.48,0.66
Sys_DiT_ref_class1000,1,0.91,0.68,0.63,0.78
Sys_DiT_ref_class1000,2,0.93,0.85,0.8,0.89
Sys_DiT_ref_class1000,3,0.9,0.75,0.69,0.81
Sys_DiT_ref_class1000,4,0.92,0.68,0.63,0.78
Sys_DiT_ref_class1000,5,0.48,0.74,0.34,0.51
Sys_DiT_ref_class1000,6,0.83,0.76,0.64,0.79
Sys_DiT_ref_class1000,7,0.83,0.4,0.35,0.53
Sys_DiT_ref_class1000,8,0.72,0.43,0.3,0.49
Sys_DiT_ref_class1000,9,0.79,0.6,0.52,0.66
Sys_DiT_ref_class1000,10,0.75,0.7,0.58,0.72
Sys_DiT_ref_class1000,11,0.43,0.62,0.24,0.44
Sys_DiT_ref_class1000,12,0.84,0.64,0.55,0.72
Sys_DiT_ref_class1000,13,0.94,0.85,0.82,0.87
Sys_DiT_ref_class1000,14,0.93,0.65,0.6,0.75
Sys_DiT_ref_class1000,15,0.63,0.44,0.29,0.51
Sys_DiT_ref_class1000,16,0.97,0.66,0.64,0.75
Sys_DiT_ref_class1000,17,0.91,0.43,0.4,0.55
Sys_DiT_ref_class1000,18,0.63,0.32,0.2,0.42
Sys_DiT_ref_class1000,19,0.99,0.98,0.97,0.99
Sys_DiT_ref_class1000,20,0.77,0.4,0.3,0.51
Sys_DiT_ref_class1000,21,0.94,0.34,0.32,0.5
Sys_DiT_ref_class1000,22,0.81,0.64,0.53,0.69
Sys_DiT_ref_class1000,23,0.68,0.64,0.44,0.58
Sys_DiT_ref_class1000,24,0.97,0.93,0.91,0.95
Sys_DiT_ref_class1000,25,0.84,0.44,0.37,0.56
Sys_DiT_ref_class1000,26,0.76,0.56,0.4,0.58
Sys_DiT_ref_class1000,27,0.74,0.62,0.48,0.65
Sys_DiT_ref_class1000,28,0.71,0.57,0.41,0.62
Sys_DiT_ref_class1000,29,0.81,0.41,0.35,0.53
Sys_DiT_ref_class1000,30,0.8,0.66,0.56,0.72
Sys_DiT_ref_class1000,31,0.77,0.71,0.54,0.72
Sys_DiT_ref_class1000,32,0.54,0.53,0.35,0.5
Sys_DiT_ref_class1000,33,0.79,0.71,0.58,0.75
Sys_DiT_ref_class1000,34,0.91,0.79,0.73,0.84
Sys_DiT_ref_class1000,35,0.72,0.55,0.42,0.62
Sys_DiT_ref_class1000,36,0.74,0.54,0.41,0.6
Sys_DiT_ref_class1000,37,0.91,0.75,0.69,0.82
Sys_DiT_ref_class1000,38,0.36,0.32,0.14,0.32
Sys_DiT_ref_class1000,39,0.84,0.7,0.61,0.76
Sys_DiT_ref_class1000,40,0.8,0.62,0.51,0.69
Sys_DiT_ref_class1000,41,0.85,0.51,0.44,0.61
Sys_DiT_ref_class1000,42,0.77,0.7,0.61,0.73
Sys_DiT_ref_class1000,43,0.82,0.63,0.51,0.69
Sys_DiT_ref_class1000,44,0.58,0.72,0.43,0.62
Sys_DiT_ref_class1000,45,0.75,0.65,0.5,0.7
Sys_DiT_ref_class1000,46,0.43,0.54,0.22,0.38
Sys_DiT_ref_class1000,47,0.96,0.8,0.77,0.87
Sys_DiT_ref_class1000,48,0.76,0.75,0.58,0.72
Sys_DiT_ref_class1000,49,0.77,0.82,0.64,0.78
Sys_DiT_ref_class1000,50,0.71,0.6,0.45,0.64
Sys_DiT_ref_class1000,51,0.81,0.72,0.61,0.76
Sys_DiT_ref_class1000,52,0.76,0.76,0.6,0.74
Sys_DiT_ref_class1000,53,0.71,0.7,0.53,0.7
Sys_DiT_ref_class1000,54,0.64,0.57,0.42,0.59
Sys_DiT_ref_class1000,55,0.3,0.59,0.17,0.37
Sys_DiT_ref_class1000,56,0.91,0.82,0.76,0.86
Sys_DiT_ref_class1000,57,0.8,0.67,0.55,0.72
Sys_DiT_ref_class1000,58,0.77,0.74,0.57,0.75
Sys_DiT_ref_class1000,59,0.89,0.72,0.64,0.79
Sys_DiT_ref_class1000,60,0.7,0.6,0.43,0.63
Sys_DiT_ref_class1000,61,0.86,0.78,0.68,0.81
Sys_DiT_ref_class1000,62,0.8,0.63,0.53,0.68
Sys_DiT_ref_class1000,63,0.95,0.8,0.76,0.87
Sys_DiT_ref_class1000,64,0.64,0.72,0.46,0.64
Sys_DiT_ref_class1000,65,0.81,0.73,0.6,0.75
Sys_DiT_ref_class1000,66,0.88,0.77,0.73,0.81
Sys_DiT_ref_class1000,67,0.63,0.72,0.45,0.65
Sys_DiT_ref_class1000,68,0.8,0.67,0.58,0.72
Sys_DiT_ref_class1000,69,0.82,0.71,0.59,0.75
Sys_DiT_ref_class1000,70,0.69,0.68,0.5,0.68
Sys_DiT_ref_class1000,71,0.94,0.79,0.75,0.85
Sys_DiT_ref_class1000,72,0.86,0.77,0.67,0.8
Sys_DiT_ref_class1000,73,0.63,0.57,0.39,0.59
Sys_DiT_ref_class1000,74,0.72,0.93,0.68,0.8
Sys_DiT_ref_class1000,75,0.84,0.8,0.68,0.81
Sys_DiT_ref_class1000,76,0.89,0.76,0.68,0.82
Sys_DiT_ref_class1000,77,0.66,0.63,0.43,0.64
Sys_DiT_ref_class1000,78,0.76,0.48,0.38,0.58
Sys_DiT_ref_class1000,79,0.95,0.79,0.76,0.84
