image_id,source,alignment_score,artifact_score,class_id,alignment_norm,artifact_norm,composite_product_perimage,composite_harmonic_perimage
0,User_DiT_1,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
0,User_DiT_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
0,User_DiT_3,5.0,5.0,4,1.0,1.0,1.0,1.0
0,Sys_DiT_ref_class1000,4.85,2.0,0,0.97,0.4,0.388,0.5664233576642336
1,User_DiT_1,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
1,User_DiT_2,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
1,User_DiT_3,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
1,Sys_DiT_ref_class1000,2.85,4.92,0,0.5700000000000001,0.984,0.56088,0.7218532818532819
2,User_DiT_1,5.0,5.0,4,1.0,1.0,1.0,1.0
2,User_DiT_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
2,User_DiT_3,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
2,Sys_DiT_ref_class1000,4.12,3.68,0,0.8240000000000001,0.736,0.606464,0.7775179487179487
3,User_DiT_1,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
3,User_DiT_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
3,User_DiT_3,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
3,Sys_DiT_ref_class1000,4.12,1.5,0,0.8240000000000001,0.3,0.2472,0.43985765124555154
4,User_DiT_1,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
4,User_DiT_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
4,User_DiT_3,4.38,3.0,4,0.876,0.6,0.5256,0.7121951219512195
4,Sys_DiT_ref_class1000,3.65,4.12,0,0.73,0.8240000000000001,0.60152,0.7741570141570142
5,User_DiT_1,4.44,4.0,7,0.8880000000000001,0.8,0.7104000000000001,0.8417061611374408
5,User_DiT_2,4.38,2.0,7,0.876,0.4,0.35040000000000004,0.5492163009404389
5,User_DiT_3,4.38,4.0,7,0.876,0.8,0.7008000000000001,0.8362768496420048
5,Sys_DiT_ref_class1000,4.85,4.2,1,0.97,0.8400000000000001,0.8148000000000001,0.9003314917127072
6,User_DiT_1,5.0,2.0,7,1.0,0.4,0.4,0.5714285714285715
6,User_DiT_2,5.0,5.0,7,1.0,1.0,1.0,1.0
6,User_DiT_3,5.0,5.0,7,1.0,1.0,1.0,1.0
6,Sys_DiT_ref_class1000,3.85,2.15,1,0.77,0.43,0.3311,0.5518333333333334
7,User_DiT_1,4.44,4.0,7,0.8880000000000001,0.8,0.7104000000000001,0.8417061611374408
7,User_DiT_2,4.44,4.0,7,0.8880000000000001,0.8,0.7104000000000001,0.8417061611374408
7,User_DiT_3,4.44,4.0,7,0.8880000000000001,0.8,0.7104000000000001,0.8417061611374408
7,Sys_DiT_ref_class1000,4.65,3.85,1,0.93,0.77,0.7161000000000001,0.8424705882352941
8,User_DiT_1,4.17,4.0,7,0.834,0.8,0.6672,0.8166462668298654
