group,alignment_threshold,authenticity_threshold,probability
Sys_DiT_ref_randcls_100_1,0.0,0.0,1.0
Sys_DiT_ref_randcls_100_1,0.0,0.02,1.0
Sys_DiT_ref_randcls_100_1,0.0,0.04,0.998
Sys_DiT_ref_randcls_100_1,0.0,0.06,0.998
Sys_DiT_ref_randcls_100_1,0.0,0.08,0.998
Sys_DiT_ref_randcls_100_1,0.0,0.1,0.996
Sys_DiT_ref_randcls_100_1,0.0,0.12,0.996
Sys_DiT_ref_randcls_100_1,0.0,0.14,0.996
Sys_DiT_ref_randcls_100_1,0.0,0.16,0.996
Sys_DiT_ref_randcls_100_1,0.0,0.18,0.9779999999999999
Sys_DiT_ref_randcls_100_1,0.0,0.2,0.9759999999999996
Sys_DiT_ref_randcls_100_1,0.0,0.22,0.9739999999999996
Sys_DiT_ref_randcls_100_1,0.0,0.24,0.9739999999999996
Sys_DiT_ref_randcls_100_1,0.0,0.26,0.9254999999999995
Sys_DiT_ref_randcls_100_1,0.0,0.28,0.9254999999999995
Sys_DiT_ref_randcls_100_1,0.0,0.3,0.9054999999999995
Sys_DiT_ref_randcls_100_1,0.0,0.32,0.7084999999999997
Sys_DiT_ref_randcls_100_1,0.0,0.34,0.6984999999999997
Sys_DiT_ref_randcls_100_1,0.0,0.36,0.6964999999999997
Sys_DiT_ref_randcls_100_1,0.0,0.38,0.6504999999999999
Sys_DiT_ref_randcls_100_1,0.0,0.4,0.6304999999999998
Sys_DiT_ref_randcls_100_1,0.0,0.42,0.5904999999999999
Sys_DiT_ref_randcls_100_1,0.0,0.44,0.5345
Sys_DiT_ref_randcls_100_1,0.0,0.46,0.5325
Sys_DiT_ref_randcls_100_1,0.0,0.48,0.5325
Sys_DiT_ref_randcls_100_1,0.0,0.5,0.5065000000000001
Sys_DiT_ref_randcls_100_1,0.0,0.52,0.5065000000000001
Sys_DiT_ref_randcls_100_1,0.0,0.54,0.48449999999999993
Sys_DiT_ref_randcls_100_1,0.0,0.56,0.4705
Sys_DiT_ref_randcls_100_1,0.0,0.58,0.36450000000000005
Sys_DiT_ref_randcls_100_1,0.0,0.6,0.35449999999999987
Sys_DiT_ref_randcls_100_1,0.0,0.62,0.3304999999999999
Sys_DiT_ref_randcls_100_1,0.0,0.64,0.32849999999999985
Sys_DiT_ref_randcls_100_1,0.0,0.66,0.3184999999999999
Sys_DiT_ref_randcls_100_1,0.0,0.68,0.3184999999999999
Sys_DiT_ref_randcls_100_1,0.0,0.7,0.3084999999999999
Sys_DiT_ref_randcls_100_1,0.0,0.72,0.3084999999999999
Sys_DiT_ref_randcls_100_1,0.0,0.74,0.21999999999999992
Sys_DiT_ref_randcls_100_1,0.0,0.76,0.19399999999999992
Sys_DiT_ref_randcls_100_1,0.0,0.78,0.11599999999999996
Sys_DiT_ref_randcls_100_1,0.0,0.8,0.11
Sys_DiT_ref_randcls_100_1,0.0,0.82,0.11
Sys_DiT_ref_randcls_100_1,0.0,0.84,0.09400000000000003
Sys_DiT_ref_randcls_100_1,0.0,0.86,0.08200000000000005
Sys_DiT_ref_randcls_100_1,0.0,0.88,0.08200000000000005
Sys_DiT_ref_randcls_100_1,0.0,0.9,0.08200000000000005
Sys_DiT_ref_randcls_100_1,0.0,0.92,0.07800000000000004
Sys_DiT_ref_randcls_100_1,0.0,0.94,0.06200000000000003
Sys_DiT_ref_randcls_100_1,0.0,0.96,0.05400000000000003
Sys_DiT_ref_randcls_100_1,0.0,0.98,0.03000000000000001
Sys_DiT_ref_randcls_100_1,0.0,1.0,0.002
Sys_DiT_ref_randcls_100_1,0.02,0.0,0.9759999999999998
Sys_DiT_ref_randcls_100_1,0.02,0.02,0.9759999999999998
Sys_DiT_ref_randcls_100_1,0.02,0.04,0.9739999999999998
Sys_DiT_ref_randcls_100_1,0.02,0.06,0.9739999999999998
Sys_DiT_ref_randcls_100_1,0.02,0.08,0.9739999999999998
Sys_DiT_ref_randcls_100_1,0.02,0.1,0.9719999999999998
Sys_DiT_ref_randcls_100_1,0.02,0.12,0.9719999999999998
Sys_DiT_ref_randcls_100_1,0.02,0.14,0.9719999999999998
Sys_DiT_ref_randcls_100_1,0.02,0.16,0.9719999999999998
Sys_DiT_ref_randcls_100_1,0.02,0.18,0.9599999999999997
Sys_DiT_ref_randcls_100_1,0.02,0.2,0.9579999999999997
Sys_DiT_ref_randcls_100_1,0.02,0.22,0.9579999999999997
Sys_DiT_ref_randcls_100_1,0.02,0.24,0.9579999999999997
Sys_DiT_ref_randcls_100_1,0.02,0.26,0.9114999999999996
Sys_DiT_ref_randcls_100_1,0.02,0.28,0.9114999999999996
Sys_DiT_ref_randcls_100_1,0.02,0.3,0.8914999999999996
Sys_DiT_ref_randcls_100_1,0.02,0.32,0.6944999999999998
Sys_DiT_ref_randcls_100_1,0.02,0.34,0.6844999999999998
Sys_DiT_ref_randcls_100_1,0.02,0.36,0.6824999999999996
Sys_DiT_ref_randcls_100_1,0.02,0.38,0.6404999999999998
Sys_DiT_ref_randcls_100_1,0.02,0.4,0.6204999999999998
Sys_DiT_ref_randcls_100_1,0.02,0.42,0.5804999999999998
Sys_DiT_ref_randcls_100_1,0.02,0.44,0.5245
Sys_DiT_ref_randcls_100_1,0.02,0.46,0.5225
Sys_DiT_ref_randcls_100_1,0.02,0.48,0.5225
Sys_DiT_ref_randcls_100_1,0.02,0.5,0.4965000000000001
Sys_DiT_ref_randcls_100_1,0.02,0.52,0.4965000000000001
Sys_DiT_ref_randcls_100_1,0.02,0.54,0.47450000000000003
Sys_DiT_ref_randcls_100_1,0.02,0.56,0.46049999999999996
Sys_DiT_ref_randcls_100_1,0.02,0.58,0.35849999999999993
Sys_DiT_ref_randcls_100_1,0.02,0.6,0.34849999999999987
Sys_DiT_ref_randcls_100_1,0.02,0.62,0.3244999999999999
Sys_DiT_ref_randcls_100_1,0.02,0.64,0.32249999999999984
Sys_DiT_ref_randcls_100_1,0.02,0.66,0.31249999999999983
Sys_DiT_ref_randcls_100_1,0.02,0.68,0.31249999999999983
Sys_DiT_ref_randcls_100_1,0.02,0.7,0.3024999999999999
Sys_DiT_ref_randcls_100_1,0.02,0.72,0.3024999999999999
Sys_DiT_ref_randcls_100_1,0.02,0.74,0.21399999999999994
Sys_DiT_ref_randcls_100_1,0.02,0.76,0.1879999999999999
Sys_DiT_ref_randcls_100_1,0.02,0.78,0.10999999999999999
Sys_DiT_ref_randcls_100_1,0.02,0.8,0.10400000000000002
Sys_DiT_ref_randcls_100_1,0.02,0.82,0.10400000000000002
Sys_DiT_ref_randcls_100_1,0.02,0.84,0.08800000000000002
Sys_DiT_ref_randcls_100_1,0.02,0.86,0.07600000000000004
Sys_DiT_ref_randcls_100_1,0.02,0.88,0.07600000000000004
Sys_DiT_ref_randcls_100_1,0.02,0.9,0.07600000000000004
Sys_DiT_ref_randcls_100_1,0.02,0.92,0.07200000000000002
