score_type,source_1,source_2,n_common_images,pearson_r,pearson_p,spearman_r,spearman_p,icc_2_1_absolute_agreement,icc_3_1_consistency
alignment_score,Sys_DiT_ref_cls100_3,User_DiT_1,75,0.0613,0.601197,0.1214,0.299648,0.0581,0.0597
alignment_score,Sys_DiT_ref_cls100_3,User_DiT_2,75,0.0171,0.884247,0.0544,0.643046,0.0162,0.0165
alignment_score,Sys_DiT_ref_cls100_3,User_DiT_3,75,0.0469,0.689501,-0.0221,0.850397,0.0439,0.045
alignment_score,User_DiT_1,User_DiT_2,500,0.7946,0.0,0.7987,0.0,0.7942,0.7943
alignment_score,User_DiT_1,User_DiT_3,500,0.8342,0.0,0.8129,0.0,0.8343,0.8341
alignment_score,User_DiT_2,User_DiT_3,500,0.8074,0.0,0.8114,0.0,0.8069,0.8068
authenticity_score,Sys_DiT_ref_cls100_3,User_DiT_1,75,0.1674,0.151086,0.1863,0.10957,0.1616,0.1674
authenticity_score,Sys_DiT_ref_cls100_3,User_DiT_2,75,0.0755,0.519633,0.0922,0.431412,0.0737,0.0755
authenticity_score,Sys_DiT_ref_cls100_3,User_DiT_3,75,-0.0312,0.790148,-0.007,0.952664,-0.0303,-0.0312
authenticity_score,User_DiT_1,User_DiT_2,500,0.7576,0.0,0.7471,0.0,0.7561,0.7572
authenticity_score,User_DiT_1,User_DiT_3,500,0.7706,0.0,0.7599,0.0,0.7705,0.7701
authenticity_score,User_DiT_2,User_DiT_3,500,0.7429,0.0,0.7323,0.0,0.7418,0.7429
