source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean
Sys_DiT_ref_cls100_3,3,0.9,0.75,0.69,0.81
Sys_DiT_ref_cls100_3,7,0.83,0.4,0.35,0.53
Sys_DiT_ref_cls100_3,11,0.43,0.62,0.24,0.44
Sys_DiT_ref_cls100_3,21,0.94,0.34,0.32,0.5
Sys_DiT_ref_cls100_3,30,0.8,0.66,0.56,0.72
Sys_DiT_ref_cls100_3,43,0.82,0.63,0.51,0.69
Sys_DiT_ref_cls100_3,46,0.43,0.54,0.22,0.38
Sys_DiT_ref_cls100_3,53,0.71,0.7,0.53,0.7
Sys_DiT_ref_cls100_3,75,0.84,0.8,0.68,0.81
Sys_DiT_ref_cls100_3,76,0.89,0.76,0.68,0.82
Sys_DiT_ref_cls100_3,89,0.83,0.56,0.49,0.66
Sys_DiT_ref_cls100_3,92,0.8,0.44,0.37,0.56
Sys_DiT_ref_cls100_3,95,0.81,0.61,0.5,0.69
Sys_DiT_ref_cls100_3,96,0.8,0.41,0.35,0.52
Sys_DiT_ref_cls100_3,97,0.92,0.71,0.68,0.77
Sys_DiT_ref_cls100_3,102,0.67,0.41,0.3,0.49
Sys_DiT_ref_cls100_3,112,0.88,0.84,0.75,0.86
Sys_DiT_ref_cls100_3,116,0.85,0.77,0.68,0.8
Sys_DiT_ref_cls100_3,135,0.7,0.39,0.28,0.49
Sys_DiT_ref_cls100_3,137,0.96,0.57,0.55,0.66
Sys_DiT_ref_cls100_3,144,0.85,0.44,0.38,0.56
Sys_DiT_ref_cls100_3,146,0.95,0.76,0.72,0.82
Sys_DiT_ref_cls100_3,166,0.86,0.44,0.39,0.55
Sys_DiT_ref_cls100_3,183,0.69,0.61,0.47,0.64
Sys_DiT_ref_cls100_3,188,0.74,0.38,0.25,0.45
Sys_DiT_ref_cls100_3,195,0.86,0.3,0.26,0.45
Sys_DiT_ref_cls100_3,201,0.67,0.46,0.31,0.52
Sys_DiT_ref_cls100_3,213,0.62,0.3,0.19,0.4
Sys_DiT_ref_cls100_3,216,0.91,0.65,0.59,0.74
Sys_DiT_ref_cls100_3,219,0.91,0.38,0.35,0.53
Sys_DiT_ref_cls100_3,245,0.95,0.39,0.37,0.53
Sys_DiT_ref_cls100_3,257,0.83,0.45,0.39,0.57
Sys_DiT_ref_cls100_3,259,0.78,0.45,0.37,0.55
Sys_DiT_ref_cls100_3,264,0.2,0.5,0.12,0.15
Sys_DiT_ref_cls100_3,273,0.94,0.68,0.64,0.78
Sys_DiT_ref_cls100_3,278,0.54,0.51,0.32,0.49
Sys_DiT_ref_cls100_3,283,0.87,0.53,0.46,0.63
Sys_DiT_ref_cls100_3,303,0.86,0.7,0.62,0.77
Sys_DiT_ref_cls100_3,309,0.82,0.69,0.58,0.75
Sys_DiT_ref_cls100_3,314,0.9,0.63,0.57,0.73
Sys_DiT_ref_cls100_3,328,0.88,0.68,0.6,0.76
Sys_DiT_ref_cls100_3,340,0.96,0.59,0.57,0.7
Sys_DiT_ref_cls100_3,347,0.85,0.67,0.59,0.74
Sys_DiT_ref_cls100_3,356,0.81,0.38,0.32,0.51
Sys_DiT_ref_cls100_3,362,0.86,0.42,0.36,0.56
Sys_DiT_ref_cls100_3,396,0.95,0.71,0.68,0.81
Sys_DiT_ref_cls100_3,405,0.65,0.45,0.3,0.52
Sys_DiT_ref_cls100_3,415,0.79,0.59,0.48,0.67
Sys_DiT_ref_cls100_3,418,0.63,0.61,0.45,0.6
Sys_DiT_ref_cls100_3,428,0.44,0.48,0.28,0.38
Sys_DiT_ref_cls100_3,435,0.58,0.29,0.17,0.33
Sys_DiT_ref_cls100_3,439,0.48,0.52,0.29,0.41
Sys_DiT_ref_cls100_3,445,0.75,0.41,0.33,0.52
Sys_DiT_ref_cls100_3,447,0.59,0.47,0.35,0.5
Sys_DiT_ref_cls100_3,451,0.91,0.69,0.63,0.78
Sys_DiT_ref_cls100_3,468,0.88,0.62,0.55,0.72
Sys_DiT_ref_cls100_3,475,0.92,0.75,0.7,0.83
Sys_DiT_ref_cls100_3,491,0.66,0.55,0.38,0.59
Sys_DiT_ref_cls100_3,494,0.43,0.51,0.31,0.42
Sys_DiT_ref_cls100_3,518,0.68,0.52,0.44,0.58
Sys_DiT_ref_cls100_3,519,0.68,0.52,0.43,0.58
Sys_DiT_ref_cls100_3,530,0.55,0.47,0.28,0.48
Sys_DiT_ref_cls100_3,535,0.81,0.55,0.48,0.65
Sys_DiT_ref_cls100_3,544,0.9,0.68,0.62,0.78
Sys_DiT_ref_cls100_3,559,0.72,0.47,0.37,0.49
Sys_DiT_ref_cls100_3,560,0.67,0.58,0.39,0.53
Sys_DiT_ref_cls100_3,569,0.83,0.56,0.46,0.65
Sys_DiT_ref_cls100_3,599,0.59,0.46,0.31,0.46
Sys_DiT_ref_cls100_3,605,0.24,0.31,0.09,0.22
Sys_DiT_ref_cls100_3,611,0.77,0.43,0.34,0.55
Sys_DiT_ref_cls100_3,616,0.94,0.82,0.78,0.87
Sys_DiT_ref_cls100_3,671,0.49,0.34,0.19,0.35
Sys_DiT_ref_cls100_3,675,0.64,0.45,0.33,0.52
