image_id,source,alignment_score,authenticity_score,class_id
0,Sys_IMF_ref_1,4.65,3.2,4
0,Sys_IMF_ref_2,4.65,3.82,4
0,Sys_IMF_ref_3,4.65,3.85,4
0,User_IMF_1,5.0,3.0,4
0,User_IMF_2,5.0,4.0,4
0,User_IMF_3,5.0,4.0,4
1,Sys_IMF_ref_1,4.82,1.35,4
1,Sys_IMF_ref_2,4.65,1.85,4
1,Sys_IMF_ref_3,4.65,1.85,4
1,User_IMF_1,5.0,1.0,4
1,User_IMF_2,5.0,2.0,4
1,User_IMF_3,5.0,1.0,4
2,Sys_IMF_ref_1,4.15,2.35,4
2,Sys_IMF_ref_2,4.15,2.85,4
2,Sys_IMF_ref_3,4.82,2.35,4
2,User_IMF_1,4.38,2.0,4
2,User_IMF_2,4.38,2.0,4
2,User_IMF_3,4.38,3.0,4
3,Sys_IMF_ref_1,4.12,2.85,4
3,Sys_IMF_ref_2,3.85,2.15,4
3,Sys_IMF_ref_3,4.15,2.85,4
3,User_IMF_1,3.33,3.0,4
3,User_IMF_2,5.0,3.0,4
3,User_IMF_3,3.33,3.0,4
4,Sys_IMF_ref_1,4.65,2.85,4
4,Sys_IMF_ref_2,4.65,3.2,4
4,Sys_IMF_ref_3,4.65,2.85,4
4,User_IMF_1,5.0,3.0,4
4,User_IMF_2,5.0,4.0,4
4,User_IMF_3,5.0,3.0,4
5,Sys_IMF_ref_1,4.15,2.0,7
5,Sys_IMF_ref_2,4.12,2.0,7
5,Sys_IMF_ref_3,4.15,2.0,7
5,User_IMF_1,3.64,2.0,7
5,User_IMF_2,3.64,2.0,7
5,User_IMF_3,4.55,2.0,7
6,Sys_IMF_ref_1,4.65,3.85,7
6,Sys_IMF_ref_2,4.15,1.5,7
6,Sys_IMF_ref_3,4.15,2.85,7
6,User_IMF_1,4.44,4.0,7
6,User_IMF_2,4.44,3.0,7
6,User_IMF_3,4.44,3.0,7
7,Sys_IMF_ref_1,2.85,1.5,7
7,Sys_IMF_ref_2,3.15,1.5,7
7,Sys_IMF_ref_3,2.85,1.5,7
7,User_IMF_1,2.73,1.0,7
7,User_IMF_2,2.73,2.0,7
7,User_IMF_3,4.0,2.0,7
8,Sys_IMF_ref_1,3.82,1.5,7
8,Sys_IMF_ref_2,3.65,1.5,7
8,Sys_IMF_ref_3,4.15,1.5,7
8,User_IMF_1,4.09,2.0,7
8,User_IMF_2,4.09,2.0,7
8,User_IMF_3,4.09,2.0,7
9,Sys_IMF_ref_1,4.12,1.5,7
9,Sys_IMF_ref_2,3.85,1.5,7
9,Sys_IMF_ref_3,4.12,1.5,7
9,User_IMF_1,5.0,2.0,7
9,User_IMF_2,5.0,3.0,7
9,User_IMF_3,5.0,3.0,7
10,Sys_IMF_ref_1,4.85,1.5,10
10,Sys_IMF_ref_2,4.85,3.65,10
10,Sys_IMF_ref_3,4.85,4.92,10
10,User_IMF_1,5.0,2.0,10
10,User_IMF_2,5.0,4.0,10
10,User_IMF_3,3.89,4.0,10
11,Sys_IMF_ref_1,4.65,2.85,10
11,Sys_IMF_ref_2,4.12,3.45,10
11,Sys_IMF_ref_3,4.62,3.85,10
11,User_IMF_1,5.0,5.0,10
11,User_IMF_2,4.38,3.0,10
11,User_IMF_3,5.0,5.0,10
12,Sys_IMF_ref_1,4.82,4.91,10
12,Sys_IMF_ref_2,4.85,4.92,10
12,Sys_IMF_ref_3,4.82,4.15,10
12,User_IMF_1,4.44,4.0,10
12,User_IMF_2,3.89,4.0,10
12,User_IMF_3,3.89,3.0,10
13,Sys_IMF_ref_1,4.92,4.85,10
13,Sys_IMF_ref_2,4.85,4.92,10
13,Sys_IMF_ref_3,4.92,4.85,10
13,User_IMF_1,5.0,5.0,10
13,User_IMF_2,5.0,5.0,10
13,User_IMF_3,5.0,5.0,10
14,Sys_IMF_ref_1,4.82,4.15,10
14,Sys_IMF_ref_2,4.92,4.85,10
14,Sys_IMF_ref_3,4.85,4.92,10
14,User_IMF_1,5.0,4.0,10
14,User_IMF_2,5.0,5.0,10
14,User_IMF_3,5.0,4.0,10
15,Sys_IMF_ref_1,4.72,3.85,25
15,Sys_IMF_ref_2,4.72,3.85,25
15,Sys_IMF_ref_3,3.65,2.85,25
15,User_IMF_1,5.0,4.0,25
15,User_IMF_2,5.0,4.0,25
15,User_IMF_3,4.17,3.0,25
16,Sys_IMF_ref_1,3.65,1.5,25
16,Sys_IMF_ref_2,3.85,1.5,25
16,Sys_IMF_ref_3,4.12,1.5,25
16,User_IMF_1,3.57,2.0,25
16,User_IMF_2,4.17,2.0,25
16,User_IMF_3,3.57,2.0,25
17,Sys_IMF_ref_1,3.85,1.5,25
17,Sys_IMF_ref_2,3.42,1.5,25
17,Sys_IMF_ref_3,4.65,3.85,25
17,User_IMF_1,5.0,2.0,25
17,User_IMF_2,3.33,3.0,25
17,User_IMF_3,5.0,2.0,25
18,Sys_IMF_ref_1,4.12,1.5,25
18,Sys_IMF_ref_2,4.12,1.5,25
18,Sys_IMF_ref_3,4.72,1.5,25
18,User_IMF_1,3.33,5.0,25
18,User_IMF_2,3.33,5.0,25
18,User_IMF_3,3.33,5.0,25
19,Sys_IMF_ref_1,4.65,3.85,25
19,Sys_IMF_ref_2,4.85,4.6,25
19,Sys_IMF_ref_3,4.12,3.85,25
19,User_IMF_1,5.0,4.0,25
19,User_IMF_2,4.17,4.0,25
19,User_IMF_3,5.0,4.0,25
20,Sys_IMF_ref_1,2.15,2.3,35
20,Sys_IMF_ref_2,1.85,1.2,35
20,Sys_IMF_ref_3,1.65,1.2,35
20,User_IMF_1,2.5,2.0,35
20,User_IMF_2,1.67,2.0,35
20,User_IMF_3,2.5,2.0,35
21,Sys_IMF_ref_1,4.12,3.65,35
21,Sys_IMF_ref_2,3.65,3.85,35
21,Sys_IMF_ref_3,3.65,3.85,35
21,User_IMF_1,5.0,3.0,35
21,User_IMF_2,5.0,4.0,35
21,User_IMF_3,5.0,3.0,35
22,Sys_IMF_ref_1,1.85,3.72,35
22,Sys_IMF_ref_2,1.85,3.62,35
22,Sys_IMF_ref_3,1.85,3.42,35
22,User_IMF_1,3.0,4.0,35
22,User_IMF_2,1.0,2.0,35
22,User_IMF_3,2.0,3.0,35
23,Sys_IMF_ref_1,3.42,3.85,35
23,Sys_IMF_ref_2,3.85,3.6,35
23,Sys_IMF_ref_3,3.85,2.75,35
23,User_IMF_1,5.0,3.0,35
23,User_IMF_2,5.0,3.0,35
23,User_IMF_3,5.0,4.0,35
24,Sys_IMF_ref_1,4.15,2.85,35
24,Sys_IMF_ref_2,3.85,2.65,35
24,Sys_IMF_ref_3,4.12,3.65,35
24,User_IMF_1,4.0,3.0,35
24,User_IMF_2,4.0,3.0,35
24,User_IMF_3,5.0,4.0,35
25,Sys_IMF_ref_1,2.15,1.5,39
25,Sys_IMF_ref_2,3.82,1.5,39
25,Sys_IMF_ref_3,2.85,1.5,39
25,User_IMF_1,4.44,1.0,39
25,User_IMF_2,4.44,2.0,39
25,User_IMF_3,0.0,2.0,39
26,Sys_IMF_ref_1,3.85,3.2,39
26,Sys_IMF_ref_2,4.35,3.82,39
26,Sys_IMF_ref_3,3.85,3.62,39
26,User_IMF_1,5.0,3.0,39
26,User_IMF_2,5.0,4.0,39
26,User_IMF_3,5.0,4.0,39
27,Sys_IMF_ref_1,4.65,4.92,39
27,Sys_IMF_ref_2,4.85,4.92,39
27,Sys_IMF_ref_3,4.85,4.92,39
27,User_IMF_1,5.0,5.0,39
27,User_IMF_2,4.38,5.0,39
27,User_IMF_3,5.0,3.0,39
28,Sys_IMF_ref_1,4.35,3.0,39
28,Sys_IMF_ref_2,4.35,3.0,39
28,Sys_IMF_ref_3,4.35,3.0,39
28,User_IMF_1,4.38,3.0,39
28,User_IMF_2,4.38,4.0,39
28,User_IMF_3,4.38,2.0,39
29,Sys_IMF_ref_1,4.15,3.85,39
29,Sys_IMF_ref_2,5.0,5.0,39
29,Sys_IMF_ref_3,3.45,4.12,39
29,User_IMF_1,5.0,4.0,39
29,User_IMF_2,5.0,4.0,39
29,User_IMF_3,5.0,5.0,39
30,Sys_IMF_ref_1,4.12,2.85,49
30,Sys_IMF_ref_2,4.12,2.85,49
30,Sys_IMF_ref_3,3.82,2.65,49
30,User_IMF_1,4.29,3.0,49
30,User_IMF_2,3.75,4.0,49
30,User_IMF_3,4.29,2.0,49
31,Sys_IMF_ref_1,4.85,4.92,49
31,Sys_IMF_ref_2,4.65,4.2,49
31,Sys_IMF_ref_3,4.85,4.92,49
31,User_IMF_1,4.0,4.0,49
31,User_IMF_2,5.0,4.0,49
31,User_IMF_3,4.0,5.0,49
32,Sys_IMF_ref_1,4.82,3.65,49
32,Sys_IMF_ref_2,4.65,3.85,49
32,Sys_IMF_ref_3,4.12,3.85,49
32,User_IMF_1,5.0,4.0,49
32,User_IMF_2,5.0,4.0,49
32,User_IMF_3,5.0,4.0,49
33,Sys_IMF_ref_1,4.82,3.65,49
33,Sys_IMF_ref_2,4.62,3.85,49
33,Sys_IMF_ref_3,4.62,3.85,49
33,User_IMF_1,5.0,4.0,49
33,User_IMF_2,5.0,3.0,49
33,User_IMF_3,5.0,4.0,49
34,Sys_IMF_ref_1,4.12,3.68,49
34,Sys_IMF_ref_2,4.82,3.65,49
34,Sys_IMF_ref_3,4.12,3.65,49
34,User_IMF_1,5.0,4.0,49
34,User_IMF_2,5.0,4.0,49
34,User_IMF_3,5.0,4.0,49
35,Sys_IMF_ref_1,4.85,3.92,51
35,Sys_IMF_ref_2,4.85,2.65,51
35,Sys_IMF_ref_3,4.65,2.85,51
35,User_IMF_1,5.0,5.0,51
35,User_IMF_2,5.0,3.0,51
35,User_IMF_3,5.0,2.0,51
36,Sys_IMF_ref_1,4.85,3.82,51
36,Sys_IMF_ref_2,4.85,2.65,51
36,Sys_IMF_ref_3,4.85,2.3,51
36,User_IMF_1,5.0,4.0,51
36,User_IMF_2,5.0,5.0,51
36,User_IMF_3,5.0,4.0,51
37,Sys_IMF_ref_1,4.75,3.85,51
37,Sys_IMF_ref_2,4.85,4.72,51
37,Sys_IMF_ref_3,4.72,3.85,51
37,User_IMF_1,4.38,4.0,51
37,User_IMF_2,4.38,5.0,51
37,User_IMF_3,4.38,4.0,51
38,Sys_IMF_ref_1,5.0,5.0,51
38,Sys_IMF_ref_2,4.85,3.62,51
38,Sys_IMF_ref_3,4.85,2.65,51
38,User_IMF_1,5.0,4.0,51
38,User_IMF_2,5.0,4.0,51
38,User_IMF_3,5.0,5.0,51
39,Sys_IMF_ref_1,3.85,1.5,51
39,Sys_IMF_ref_2,4.12,1.5,51
39,Sys_IMF_ref_3,4.15,1.5,51
39,User_IMF_1,4.17,3.0,51
39,User_IMF_2,4.17,2.0,51
39,User_IMF_3,5.0,2.0,51
40,Sys_IMF_ref_1,3.65,4.12,52
40,Sys_IMF_ref_2,3.45,3.82,52
40,Sys_IMF_ref_3,3.65,4.12,52
40,User_IMF_1,4.29,3.0,52
40,User_IMF_2,4.29,4.0,52
40,User_IMF_3,4.29,4.0,52
41,Sys_IMF_ref_1,1.85,3.42,52
41,Sys_IMF_ref_2,1.85,3.42,52
41,Sys_IMF_ref_3,1.85,1.5,52
41,User_IMF_1,2.5,3.0,52
41,User_IMF_2,2.5,3.0,52
41,User_IMF_3,2.5,3.0,52
42,Sys_IMF_ref_1,2.85,3.65,52
42,Sys_IMF_ref_2,2.85,1.2,52
42,Sys_IMF_ref_3,1.85,0.92,52
42,User_IMF_1,2.14,1.0,52
42,User_IMF_2,2.14,4.0,52
42,User_IMF_3,2.14,1.0,52
43,Sys_IMF_ref_1,4.85,3.2,52
43,Sys_IMF_ref_2,4.85,2.3,52
43,Sys_IMF_ref_3,4.85,3.6,52
43,User_IMF_1,5.0,3.0,52
43,User_IMF_2,5.0,3.0,52
43,User_IMF_3,5.0,4.0,52
44,Sys_IMF_ref_1,4.65,3.85,52
44,Sys_IMF_ref_2,4.65,3.85,52
44,Sys_IMF_ref_3,4.85,3.6,52
44,User_IMF_1,5.0,5.0,52
44,User_IMF_2,5.0,4.0,52
44,User_IMF_3,5.0,4.0,52
45,Sys_IMF_ref_1,2.15,0.85,64
45,Sys_IMF_ref_2,4.65,3.85,64
45,Sys_IMF_ref_3,4.65,3.85,64
45,User_IMF_1,5.0,3.0,64
45,User_IMF_2,4.38,4.0,64
45,User_IMF_3,5.0,4.0,64
46,Sys_IMF_ref_1,4.85,3.6,64
46,Sys_IMF_ref_2,4.65,3.85,64
46,Sys_IMF_ref_3,4.85,3.62,64
46,User_IMF_1,5.0,4.0,64
46,User_IMF_2,5.0,4.0,64
46,User_IMF_3,5.0,4.0,64
47,Sys_IMF_ref_1,2.15,2.85,64
47,Sys_IMF_ref_2,2.85,3.6,64
47,Sys_IMF_ref_3,2.85,3.62,64
47,User_IMF_1,2.14,3.0,64
47,User_IMF_2,2.86,4.0,64
47,User_IMF_3,2.86,3.0,64
48,Sys_IMF_ref_1,2.85,2.4,64
48,Sys_IMF_ref_2,2.85,3.6,64
48,Sys_IMF_ref_3,2.85,2.6,64
48,User_IMF_1,2.14,2.0,64
48,User_IMF_2,4.0,2.0,64
48,User_IMF_3,2.14,4.0,64
49,Sys_IMF_ref_1,4.65,3.85,64
49,Sys_IMF_ref_2,4.65,3.85,64
49,Sys_IMF_ref_3,4.65,3.15,64
49,User_IMF_1,5.0,5.0,64
49,User_IMF_2,5.0,5.0,64
49,User_IMF_3,5.0,4.0,64
50,Sys_IMF_ref_1,4.82,1.5,80
50,Sys_IMF_ref_2,4.82,1.5,80
50,Sys_IMF_ref_3,4.85,1.5,80
50,User_IMF_1,5.0,4.0,80
50,User_IMF_2,4.29,4.0,80
50,User_IMF_3,5.0,4.0,80
51,Sys_IMF_ref_1,4.65,1.5,80
51,Sys_IMF_ref_2,4.65,1.5,80
51,Sys_IMF_ref_3,4.62,1.5,80
51,User_IMF_1,5.0,2.0,80
51,User_IMF_2,5.0,2.0,80
51,User_IMF_3,5.0,2.0,80
52,Sys_IMF_ref_1,3.85,3.2,80
52,Sys_IMF_ref_2,2.85,1.2,80
52,Sys_IMF_ref_3,4.15,3.85,80
52,User_IMF_1,3.0,3.0,80
52,User_IMF_2,3.33,4.0,80
52,User_IMF_3,3.0,2.0,80
53,Sys_IMF_ref_1,3.42,2.0,80
53,Sys_IMF_ref_2,3.45,2.0,80
53,Sys_IMF_ref_3,2.85,2.0,80
53,User_IMF_1,4.38,4.0,80
53,User_IMF_2,4.38,3.0,80
53,User_IMF_3,4.38,3.0,80
54,Sys_IMF_ref_1,4.12,1.5,80
54,Sys_IMF_ref_2,4.82,1.5,80
54,Sys_IMF_ref_3,4.62,1.5,80
54,User_IMF_1,5.0,2.0,80
54,User_IMF_2,5.0,4.0,80
54,User_IMF_3,5.0,2.0,80
55,Sys_IMF_ref_1,4.85,4.2,97
55,Sys_IMF_ref_2,4.85,3.65,97
55,Sys_IMF_ref_3,4.65,3.85,97
55,User_IMF_1,2.0,4.0,97
55,User_IMF_2,2.0,4.0,97
55,User_IMF_3,2.0,5.0,97
56,Sys_IMF_ref_1,4.92,4.95,97
56,Sys_IMF_ref_2,4.98,4.95,97
56,Sys_IMF_ref_3,5.0,4.98,97
56,User_IMF_1,5.0,5.0,97
56,User_IMF_2,5.0,5.0,97
56,User_IMF_3,5.0,5.0,97
57,Sys_IMF_ref_1,4.12,2.85,97
57,Sys_IMF_ref_2,4.98,4.95,97
57,Sys_IMF_ref_3,4.85,4.92,97
57,User_IMF_1,5.0,4.0,97
57,User_IMF_2,5.0,5.0,97
57,User_IMF_3,5.0,4.0,97
58,Sys_IMF_ref_1,4.15,3.2,97
58,Sys_IMF_ref_2,4.65,3.85,97
58,Sys_IMF_ref_3,4.65,3.82,97
58,User_IMF_1,5.0,4.0,97
58,User_IMF_2,5.0,4.0,97
58,User_IMF_3,5.0,3.0,97
59,Sys_IMF_ref_1,4.98,5.0,97
59,Sys_IMF_ref_2,4.85,1.5,97
59,Sys_IMF_ref_3,4.92,1.5,97
59,User_IMF_1,5.0,5.0,97
59,User_IMF_2,5.0,5.0,97
59,User_IMF_3,5.0,2.0,97
60,Sys_IMF_ref_1,4.15,1.5,106
60,Sys_IMF_ref_2,4.12,1.5,106
60,Sys_IMF_ref_3,3.65,1.5,106
60,User_IMF_1,4.44,3.0,106
60,User_IMF_2,4.44,3.0,106
60,User_IMF_3,4.44,3.0,106
61,Sys_IMF_ref_1,4.85,1.5,106
61,Sys_IMF_ref_2,4.65,1.5,106
61,Sys_IMF_ref_3,4.65,1.5,106
61,User_IMF_1,4.38,2.0,106
61,User_IMF_2,4.38,2.0,106
61,User_IMF_3,4.38,4.0,106
62,Sys_IMF_ref_1,4.12,1.5,106
62,Sys_IMF_ref_2,4.92,4.95,106
62,Sys_IMF_ref_3,4.92,4.95,106
62,User_IMF_1,5.0,5.0,106
62,User_IMF_2,5.0,5.0,106
62,User_IMF_3,5.0,5.0,106
63,Sys_IMF_ref_1,4.92,4.85,106
63,Sys_IMF_ref_2,4.62,3.85,106
63,Sys_IMF_ref_3,4.82,3.65,106
63,User_IMF_1,5.0,4.0,106
63,User_IMF_2,5.0,5.0,106
63,User_IMF_3,5.0,5.0,106
64,Sys_IMF_ref_1,4.62,3.0,106
64,Sys_IMF_ref_2,4.62,3.0,106
64,Sys_IMF_ref_3,4.85,3.0,106
64,User_IMF_1,5.0,3.0,106
64,User_IMF_2,5.0,3.0,106
64,User_IMF_3,5.0,3.0,106
65,Sys_IMF_ref_1,4.85,3.62,116
65,Sys_IMF_ref_2,4.85,3.65,116
65,Sys_IMF_ref_3,4.62,3.85,116
65,User_IMF_1,5.0,4.0,116
65,User_IMF_2,5.0,4.0,116
65,User_IMF_3,5.0,4.0,116
66,Sys_IMF_ref_1,4.85,3.65,116
66,Sys_IMF_ref_2,4.92,3.85,116
66,Sys_IMF_ref_3,4.92,4.15,116
66,User_IMF_1,5.0,4.0,116
66,User_IMF_2,5.0,4.0,116
66,User_IMF_3,5.0,3.0,116
67,Sys_IMF_ref_1,4.68,3.85,116
67,Sys_IMF_ref_2,4.85,3.65,116
67,Sys_IMF_ref_3,4.82,3.65,116
67,User_IMF_1,5.0,4.0,116
67,User_IMF_2,5.0,4.0,116
67,User_IMF_3,5.0,4.0,116
68,Sys_IMF_ref_1,4.65,3.82,116
68,Sys_IMF_ref_2,4.92,3.85,116
68,Sys_IMF_ref_3,4.92,4.65,116
68,User_IMF_1,5.0,5.0,116
68,User_IMF_2,5.0,4.0,116
68,User_IMF_3,5.0,5.0,116
69,Sys_IMF_ref_1,4.85,3.65,116
69,Sys_IMF_ref_2,4.82,3.65,116
69,Sys_IMF_ref_3,4.85,3.65,116
69,User_IMF_1,5.0,4.0,116
69,User_IMF_2,5.0,4.0,116
69,User_IMF_3,5.0,4.0,116
70,Sys_IMF_ref_1,4.65,3.82,118
70,Sys_IMF_ref_2,4.62,3.85,118
70,Sys_IMF_ref_3,4.15,3.2,118
70,User_IMF_1,5.0,4.0,118
70,User_IMF_2,4.17,4.0,118
70,User_IMF_3,4.17,4.0,118
71,Sys_IMF_ref_1,4.12,2.85,118
71,Sys_IMF_ref_2,4.35,3.82,118
71,Sys_IMF_ref_3,3.82,1.65,118
71,User_IMF_1,3.57,3.0,118
71,User_IMF_2,4.17,3.0,118
71,User_IMF_3,5.0,3.0,118
72,Sys_IMF_ref_1,3.85,2.65,118
72,Sys_IMF_ref_2,2.85,2.1,118
72,Sys_IMF_ref_3,3.42,2.15,118
72,User_IMF_1,2.5,3.0,118
72,User_IMF_2,2.5,2.0,118
72,User_IMF_3,2.5,2.0,118
73,Sys_IMF_ref_1,4.65,2.85,118
73,Sys_IMF_ref_2,3.85,2.4,118
73,Sys_IMF_ref_3,4.65,3.82,118
73,User_IMF_1,3.57,4.0,118
73,User_IMF_2,5.0,2.0,118
73,User_IMF_3,3.57,3.0,118
74,Sys_IMF_ref_1,4.62,2.85,118
74,Sys_IMF_ref_2,2.85,1.95,118
74,Sys_IMF_ref_3,4.85,4.2,118
74,User_IMF_1,3.12,3.0,118
74,User_IMF_2,5.0,3.0,118
74,User_IMF_3,5.0,4.0,118
75,Sys_IMF_ref_1,4.15,2.85,129
75,Sys_IMF_ref_2,4.12,2.85,129
75,Sys_IMF_ref_3,3.85,2.65,129
75,User_IMF_1,3.57,4.0,129
75,User_IMF_2,3.57,3.0,129
75,User_IMF_3,3.57,3.0,129
76,Sys_IMF_ref_1,4.15,1.5,129
76,Sys_IMF_ref_2,4.65,1.5,129
76,Sys_IMF_ref_3,4.65,1.5,129
76,User_IMF_1,3.33,4.0,129
76,User_IMF_2,4.17,3.0,129
76,User_IMF_3,4.17,2.0,129
77,Sys_IMF_ref_1,4.65,1.5,129
77,Sys_IMF_ref_2,4.85,1.5,129
77,Sys_IMF_ref_3,4.12,1.5,129
77,User_IMF_1,5.0,3.0,129
77,User_IMF_2,5.0,3.0,129
77,User_IMF_3,4.29,2.0,129
78,Sys_IMF_ref_1,4.15,1.5,129
78,Sys_IMF_ref_2,3.85,1.5,129
78,Sys_IMF_ref_3,3.85,1.5,129
78,User_IMF_1,3.57,2.0,129
78,User_IMF_2,4.29,2.0,129
78,User_IMF_3,4.29,2.0,129
79,Sys_IMF_ref_1,4.65,2.0,129
79,Sys_IMF_ref_2,4.15,2.0,129
79,Sys_IMF_ref_3,3.65,2.0,129
79,User_IMF_1,3.12,3.0,129
79,User_IMF_2,3.12,3.0,129
79,User_IMF_3,3.12,3.0,129
80,Sys_IMF_ref_1,4.85,3.62,144
80,Sys_IMF_ref_2,4.98,4.95,144
80,Sys_IMF_ref_3,4.85,3.75,144
80,User_IMF_1,5.0,5.0,144
80,User_IMF_2,5.0,4.0,144
80,User_IMF_3,5.0,4.0,144
81,Sys_IMF_ref_1,4.12,1.5,144
81,Sys_IMF_ref_2,4.35,1.5,144
81,Sys_IMF_ref_3,4.65,1.5,144
81,User_IMF_1,3.89,2.0,144
81,User_IMF_2,3.89,4.0,144
81,User_IMF_3,3.89,2.0,144
82,Sys_IMF_ref_1,4.12,1.5,144
82,Sys_IMF_ref_2,3.42,1.15,144
82,Sys_IMF_ref_3,3.85,1.2,144
82,User_IMF_1,4.38,1.0,144
82,User_IMF_2,3.57,1.0,144
82,User_IMF_3,4.38,1.0,144
83,Sys_IMF_ref_1,4.65,1.5,144
83,Sys_IMF_ref_2,3.85,1.5,144
83,Sys_IMF_ref_3,3.65,1.5,144
83,User_IMF_1,4.38,3.0,144
83,User_IMF_2,5.0,2.0,144
83,User_IMF_3,5.0,3.0,144
84,Sys_IMF_ref_1,0.85,0.42,144
84,Sys_IMF_ref_2,0.85,0.42,144
84,Sys_IMF_ref_3,1.85,0.92,144
84,User_IMF_1,1.88,1.0,144
84,User_IMF_2,0.62,0.0,144
84,User_IMF_3,0.62,0.0,144
85,Sys_IMF_ref_1,4.82,3.65,147
85,Sys_IMF_ref_2,4.82,3.65,147
85,Sys_IMF_ref_3,4.82,3.65,147
85,User_IMF_1,5.0,4.0,147
85,User_IMF_2,5.0,4.0,147
85,User_IMF_3,5.0,4.0,147
86,Sys_IMF_ref_1,2.45,2.8,147
86,Sys_IMF_ref_2,4.82,4.65,147
86,Sys_IMF_ref_3,2.15,2.8,147
86,User_IMF_1,4.0,1.0,147
86,User_IMF_2,5.0,4.0,147
86,User_IMF_3,5.0,3.0,147
87,Sys_IMF_ref_1,4.85,3.65,147
87,Sys_IMF_ref_2,4.85,3.62,147
87,Sys_IMF_ref_3,4.65,2.85,147
87,User_IMF_1,5.0,3.0,147
87,User_IMF_2,5.0,4.0,147
87,User_IMF_3,5.0,3.0,147
88,Sys_IMF_ref_1,4.65,2.85,147
88,Sys_IMF_ref_2,4.85,3.75,147
88,Sys_IMF_ref_3,4.12,2.35,147
88,User_IMF_1,5.0,2.0,147
88,User_IMF_2,5.0,3.0,147
88,User_IMF_3,5.0,3.0,147
89,Sys_IMF_ref_1,4.92,4.98,147
89,Sys_IMF_ref_2,4.82,3.65,147
89,Sys_IMF_ref_3,4.85,4.92,147
89,User_IMF_1,5.0,4.0,147
89,User_IMF_2,5.0,5.0,147
89,User_IMF_3,5.0,4.0,147
90,Sys_IMF_ref_1,3.45,3.82,150
90,Sys_IMF_ref_2,4.12,3.68,150
90,Sys_IMF_ref_3,4.12,1.5,150
90,User_IMF_1,3.33,2.0,150
90,User_IMF_2,2.14,2.0,150
90,User_IMF_3,3.33,4.0,150
91,Sys_IMF_ref_1,4.82,3.65,150
91,Sys_IMF_ref_2,4.85,3.65,150
91,Sys_IMF_ref_3,4.15,1.5,150
91,User_IMF_1,4.17,5.0,150
91,User_IMF_2,3.57,4.0,150
91,User_IMF_3,3.57,5.0,150
92,Sys_IMF_ref_1,3.42,2.85,150
92,Sys_IMF_ref_2,4.65,3.82,150
92,Sys_IMF_ref_3,4.65,3.85,150
92,User_IMF_1,3.89,3.0,150
92,User_IMF_2,2.78,4.0,150
92,User_IMF_3,3.89,4.0,150
93,Sys_IMF_ref_1,3.42,1.5,150
93,Sys_IMF_ref_2,2.85,1.5,150
93,Sys_IMF_ref_3,3.42,1.5,150
93,User_IMF_1,5.0,3.0,150
93,User_IMF_2,4.0,2.0,150
93,User_IMF_3,3.0,2.0,150
94,Sys_IMF_ref_1,4.12,1.5,150
94,Sys_IMF_ref_2,4.65,3.85,150
94,Sys_IMF_ref_3,4.12,1.5,150
94,User_IMF_1,5.0,3.0,150
94,User_IMF_2,3.57,4.0,150
94,User_IMF_3,3.57,3.0,150
95,Sys_IMF_ref_1,4.85,1.5,156
95,Sys_IMF_ref_2,4.12,1.5,156
95,Sys_IMF_ref_3,4.85,1.5,156
95,User_IMF_1,5.0,4.0,156
95,User_IMF_2,5.0,3.0,156
95,User_IMF_3,5.0,2.0,156
96,Sys_IMF_ref_1,4.85,1.5,156
96,Sys_IMF_ref_2,4.85,1.5,156
96,Sys_IMF_ref_3,4.82,1.5,156
96,User_IMF_1,5.0,2.0,156
96,User_IMF_2,5.0,5.0,156
96,User_IMF_3,5.0,5.0,156
97,Sys_IMF_ref_1,4.82,1.5,156
97,Sys_IMF_ref_2,4.82,1.5,156
97,Sys_IMF_ref_3,4.82,1.5,156
97,User_IMF_1,5.0,3.0,156
97,User_IMF_2,5.0,4.0,156
97,User_IMF_3,5.0,2.0,156
98,Sys_IMF_ref_1,4.68,1.5,156
98,Sys_IMF_ref_2,4.85,1.5,156
98,Sys_IMF_ref_3,2.15,1.25,156
98,User_IMF_1,5.0,3.0,156
98,User_IMF_2,5.0,4.0,156
98,User_IMF_3,0.0,3.0,156
99,Sys_IMF_ref_1,2.85,1.5,156
99,Sys_IMF_ref_2,4.35,1.5,156
99,Sys_IMF_ref_3,4.12,1.5,156
99,User_IMF_1,5.0,2.0,156
