score_type,source_1,source_2,n_common_images,pearson_r,pearson_p,spearman_r,spearman_p,icc_2_1_absolute_agreement,icc_3_1_consistency
alignment_score,Sys_IMF_ref_1,Sys_IMF_ref_2,496,0.8158,0.0,0.7392,0.0,0.816,0.8157
alignment_score,Sys_IMF_ref_1,Sys_IMF_ref_3,495,0.7976,0.0,0.7413,0.0,0.7971,0.7973
alignment_score,Sys_IMF_ref_1,User_IMF_1,497,0.6845,0.0,0.6168,0.0,0.6773,0.6786
alignment_score,Sys_IMF_ref_1,User_IMF_2,497,0.7069,0.0,0.5949,0.0,0.6993,0.701
alignment_score,Sys_IMF_ref_1,User_IMF_3,497,0.6939,0.0,0.6064,0.0,0.6849,0.6861
alignment_score,Sys_IMF_ref_2,Sys_IMF_ref_3,496,0.8476,0.0,0.783,0.0,0.8469,0.8475
alignment_score,Sys_IMF_ref_2,User_IMF_1,498,0.733,0.0,0.6617,0.0,0.7263,0.7272
alignment_score,Sys_IMF_ref_2,User_IMF_2,498,0.7312,0.0,0.6057,0.0,0.7245,0.7258
alignment_score,Sys_IMF_ref_2,User_IMF_3,498,0.7403,0.0,0.6465,0.0,0.7318,0.7326
alignment_score,Sys_IMF_ref_3,User_IMF_1,497,0.6749,0.0,0.6061,0.0,0.6681,0.6713
alignment_score,Sys_IMF_ref_3,User_IMF_2,497,0.685,0.0,0.5902,0.0,0.6777,0.6817
alignment_score,Sys_IMF_ref_3,User_IMF_3,497,0.6848,0.0,0.6028,0.0,0.6766,0.6796
alignment_score,User_IMF_1,User_IMF_2,499,0.7612,0.0,0.7684,0.0,0.7615,0.7611
alignment_score,User_IMF_1,User_IMF_3,499,0.8043,0.0,0.8147,0.0,0.8044,0.8041
alignment_score,User_IMF_2,User_IMF_3,499,0.7779,0.0,0.7786,0.0,0.778,0.7777
artifact_score,Sys_IMF_ref_1,Sys_IMF_ref_2,496,0.7093,0.0,0.6928,0.0,0.7085,0.709
artifact_score,Sys_IMF_ref_1,Sys_IMF_ref_3,495,0.7133,0.0,0.6953,0.0,0.7126,0.7123
artifact_score,Sys_IMF_ref_1,User_IMF_1,497,0.6695,0.0,0.6569,0.0,0.6518,0.6675
artifact_score,Sys_IMF_ref_1,User_IMF_2,497,0.6671,0.0,0.6543,0.0,0.6424,0.6643
artifact_score,Sys_IMF_ref_1,User_IMF_3,497,0.6464,0.0,0.6406,0.0,0.6272,0.6443
artifact_score,Sys_IMF_ref_2,Sys_IMF_ref_3,496,0.739,0.0,0.7274,0.0,0.7385,0.7387
artifact_score,Sys_IMF_ref_2,User_IMF_1,498,0.6504,0.0,0.6429,0.0,0.6408,0.6496
artifact_score,Sys_IMF_ref_2,User_IMF_2,498,0.6534,0.0,0.6409,0.0,0.638,0.6521
artifact_score,Sys_IMF_ref_2,User_IMF_3,498,0.6492,0.0,0.6389,0.0,0.6377,0.6483
artifact_score,Sys_IMF_ref_3,User_IMF_1,497,0.6644,0.0,0.6609,0.0,0.6511,0.6642
artifact_score,Sys_IMF_ref_3,User_IMF_2,497,0.6496,0.0,0.6421,0.0,0.6303,0.6492
artifact_score,Sys_IMF_ref_3,User_IMF_3,497,0.6727,0.0,0.6702,0.0,0.6566,0.6724
artifact_score,User_IMF_1,User_IMF_2,499,0.7104,0.0,0.7005,0.0,0.7101,0.7104
artifact_score,User_IMF_1,User_IMF_3,499,0.7012,0.0,0.6854,0.0,0.7015,0.7012
artifact_score,User_IMF_2,User_IMF_3,499,0.6872,0.0,0.6715,0.0,0.6873,0.6872
