source,alignment_norm,artifact_norm,composite_product,composite_harmonic,alignment_norm_std,alignment_norm_se,alignment_norm_ci_low,alignment_norm_ci_high,artifact_norm_std,artifact_norm_se,artifact_norm_ci_low,artifact_norm_ci_high,composite_product_std,composite_product_se,composite_product_ci_low,composite_product_ci_high,composite_harmonic_std,composite_harmonic_se,composite_harmonic_ci_low,composite_harmonic_ci_high,composite_product_x_vendi_ratio,composite_product_x_vendi_ratio_std,composite_product_x_vendi_ratio_se,composite_product_x_vendi_ratio_ci_low,composite_product_x_vendi_ratio_ci_high,composite_product_x_vendi_ratio_train,composite_product_x_vendi_ratio_train_std,composite_product_x_vendi_ratio_train_se,composite_product_x_vendi_ratio_train_ci_low,composite_product_x_vendi_ratio_train_ci_high,composite_harmonic_x_vendi_ratio,composite_harmonic_x_vendi_ratio_std,composite_harmonic_x_vendi_ratio_se,composite_harmonic_x_vendi_ratio_ci_low,composite_harmonic_x_vendi_ratio_ci_high,composite_harmonic_x_vendi_ratio_train,composite_harmonic_x_vendi_ratio_train_std,composite_harmonic_x_vendi_ratio_train_se,composite_harmonic_x_vendi_ratio_train_ci_low,composite_harmonic_x_vendi_ratio_train_ci_high,composite_product_x_MEAN_VENDI_RATIO,composite_harmonic_x_MEAN_VENDI_RATIO,composite_product_x_MEAN_VENDI_RATIO_TRAIN,composite_harmonic_x_MEAN_VENDI_RATIO_TRAIN
Sys_IMF_ref_1,0.7531,0.5317,0.4261,0.5945,0.1729,0.0173,0.7188,0.7874,0.1503,0.015,0.5019,0.5615,0.1772,0.0177,0.3909,0.4613,0.1614,0.0161,0.5625,0.6265,0.4453,0.3549,0.0355,0.3749,0.5157,0.3623,0.1625,0.0162,0.3301,0.3945,0.6331,0.4816,0.0482,0.5375,0.7287,0.5083,0.1603,0.016,0.4765,0.5401,0.4653,0.6492,0.3661,0.5108
Sys_IMF_ref_2,0.7556,0.5436,0.4389,0.6047,0.1789,0.0179,0.7201,0.7911,0.1532,0.0153,0.5132,0.574,0.1832,0.0183,0.4025,0.4753,0.1671,0.0167,0.5716,0.6378,0.4537,0.3531,0.0353,0.3836,0.5238,0.373,0.1659,0.0166,0.3401,0.4059,0.6403,0.4744,0.0474,0.5462,0.7344,0.5163,0.1646,0.0165,0.4836,0.549,0.4793,0.6604,0.3771,0.5195
Sys_IMF_ref_3,0.7431,0.5329,0.4273,0.5927,0.1798,0.018,0.7074,0.7788,0.1597,0.016,0.5012,0.5646,0.1872,0.0187,0.3902,0.4644,0.1711,0.0171,0.5588,0.6266,0.4443,0.372,0.0372,0.3705,0.5181,0.3634,0.1702,0.017,0.3296,0.3972,0.6263,0.4767,0.0477,0.5317,0.7209,0.5064,0.1682,0.0168,0.473,0.5398,0.4666,0.6473,0.3671,0.5092
User_IMF_1,0.7724,0.5818,0.4771,0.6234,0.2059,0.0206,0.7315,0.8133,0.1535,0.0153,0.5513,0.6123,0.1932,0.0193,0.4388,0.5154,0.1822,0.0182,0.5872,0.6596,0.4982,0.3974,0.0397,0.4194,0.577,0.4076,0.1784,0.0178,0.3722,0.443,0.6637,0.506,0.0506,0.5633,0.7641,0.5337,0.1793,0.0179,0.4981,0.5693,0.521,0.6808,0.4099,0.5356
User_IMF_2,0.7752,0.5917,0.4862,0.6289,0.1967,0.0197,0.7362,0.8142,0.1589,0.0159,0.5602,0.6232,0.2032,0.0203,0.4459,0.5265,0.1921,0.0192,0.5908,0.667,0.5043,0.4028,0.0403,0.4244,0.5842,0.4123,0.1827,0.0183,0.3761,0.4485,0.6639,0.4993,0.0499,0.5648,0.763,0.5358,0.1805,0.018,0.5,0.5716,0.5309,0.6868,0.4177,0.5403
User_IMF_3,0.7716,0.5853,0.4809,0.6248,0.2092,0.0209,0.7301,0.8131,0.1495,0.015,0.5556,0.615,0.1908,0.0191,0.443,0.5188,0.1814,0.0181,0.5888,0.6608,0.4969,0.3932,0.0393,0.4189,0.5749,0.4101,0.1742,0.0174,0.3755,0.4447,0.66,0.5061,0.0506,0.5596,0.7604,0.5351,0.1781,0.0178,0.4998,0.5704,0.5252,0.6823,0.4132,0.5368
Sys_IMF_ref_500_AVG_STATS,0.7506,0.5361,0.4308,0.5973,0.1772,0.0177,0.7154,0.7858,0.1544,0.0154,0.5054,0.5667,0.1825,0.0182,0.3945,0.467,0.1665,0.0166,0.5643,0.6303,0.4478,0.36,0.036,0.3763,0.5192,0.3662,0.1662,0.0166,0.3333,0.3992,0.6332,0.4776,0.0478,0.5385,0.728,0.5103,0.1644,0.0164,0.4777,0.543,0.4704,0.6523,0.3701,0.5132
Sys_IMF_ref_500_AVG_PERCLASS,0.7506,0.5361,0.4308,0.5973,0.1721,0.0172,0.7165,0.7847,0.1479,0.0148,0.5067,0.5654,0.1763,0.0176,0.3958,0.4658,0.1614,0.0161,0.5653,0.6293,0.4478,0.3551,0.0355,0.3773,0.5182,0.3662,0.161,0.0161,0.3343,0.3982,0.6332,0.4745,0.0474,0.5391,0.7274,0.5103,0.1605,0.016,0.4785,0.5422,0.4704,0.6523,0.3701,0.5132
Human_IMF_500_AVG_STATS,0.7731,0.5863,0.4814,0.6257,0.2039,0.0204,0.7326,0.8135,0.154,0.0154,0.5557,0.6168,0.1957,0.0196,0.4426,0.5202,0.1852,0.0185,0.5889,0.6625,0.4998,0.3978,0.0398,0.4209,0.5787,0.41,0.1784,0.0178,0.3746,0.4454,0.6625,0.5038,0.0504,0.5626,0.7625,0.5349,0.1793,0.0179,0.4993,0.5704,0.5257,0.6833,0.4136,0.5376
Human_IMF_500_AVG_PERCLASS,0.7731,0.5863,0.4814,0.6257,0.1962,0.0196,0.7341,0.812,0.1468,0.0147,0.5571,0.6154,0.1902,0.019,0.4437,0.5191,0.1795,0.0179,0.5901,0.6613,0.4998,0.393,0.0393,0.4218,0.5778,0.41,0.1739,0.0174,0.3755,0.4445,0.6625,0.4995,0.05,0.5634,0.7616,0.5349,0.1746,0.0175,0.5002,0.5695,0.5257,0.6833,0.4136,0.5376
