group,alignment_threshold,artifact_threshold,probability
Sys_IMF_ref_500,0.0,0.0,1.0
Sys_IMF_ref_500,0.0,0.02,1.0
Sys_IMF_ref_500,0.0,0.04,1.0
Sys_IMF_ref_500,0.0,0.06,1.0
Sys_IMF_ref_500,0.0,0.08,0.998
Sys_IMF_ref_500,0.0,0.1,0.998
Sys_IMF_ref_500,0.0,0.12,0.996
Sys_IMF_ref_500,0.0,0.14,0.996
Sys_IMF_ref_500,0.0,0.16,0.996
Sys_IMF_ref_500,0.0,0.18,0.9939999999999999
Sys_IMF_ref_500,0.0,0.2,0.9794999999999997
Sys_IMF_ref_500,0.0,0.22,0.9754999999999998
Sys_IMF_ref_500,0.0,0.24,0.9669999999999999
Sys_IMF_ref_500,0.0,0.26,0.9509999999999998
Sys_IMF_ref_500,0.0,0.28,0.9289999999999998
Sys_IMF_ref_500,0.0,0.3,0.9069999999999997
Sys_IMF_ref_500,0.0,0.32,0.7789999999999996
Sys_IMF_ref_500,0.0,0.34,0.7569999999999996
Sys_IMF_ref_500,0.0,0.36,0.7389999999999999
Sys_IMF_ref_500,0.0,0.38,0.7204999999999998
Sys_IMF_ref_500,0.0,0.4,0.6785
Sys_IMF_ref_500,0.0,0.42,0.6584999999999998
Sys_IMF_ref_500,0.0,0.44,0.6384999999999998
Sys_IMF_ref_500,0.0,0.46,0.5984999999999998
Sys_IMF_ref_500,0.0,0.48,0.5739999999999997
Sys_IMF_ref_500,0.0,0.5,0.5619999999999997
Sys_IMF_ref_500,0.0,0.52,0.5479999999999998
Sys_IMF_ref_500,0.0,0.54,0.5159999999999998
Sys_IMF_ref_500,0.0,0.56,0.48399999999999976
Sys_IMF_ref_500,0.0,0.58,0.44799999999999984
Sys_IMF_ref_500,0.0,0.6,0.40599999999999986
Sys_IMF_ref_500,0.0,0.62,0.3739999999999999
Sys_IMF_ref_500,0.0,0.64,0.3479999999999999
Sys_IMF_ref_500,0.0,0.66,0.3219999999999999
Sys_IMF_ref_500,0.0,0.68,0.28999999999999987
Sys_IMF_ref_500,0.0,0.7,0.24799999999999986
Sys_IMF_ref_500,0.0,0.72,0.21999999999999986
Sys_IMF_ref_500,0.0,0.74,0.17199999999999996
Sys_IMF_ref_500,0.0,0.76,0.12200000000000003
Sys_IMF_ref_500,0.0,0.78,0.09600000000000002
Sys_IMF_ref_500,0.0,0.8,0.08600000000000002
Sys_IMF_ref_500,0.0,0.82,0.06800000000000002
Sys_IMF_ref_500,0.0,0.84,0.05200000000000002
Sys_IMF_ref_500,0.0,0.86,0.048000000000000015
