source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
Sys_IMF_ref_1,4,0.9,0.5,0.45,0.63,1.06,0.94,0.47,0.42,0.67,0.59
Sys_IMF_ref_1,7,0.78,0.41,0.34,0.53,0.48,0.71,0.16,0.24,0.26,0.37
Sys_IMF_ref_1,10,0.96,0.73,0.7,0.8,0.94,1.01,0.66,0.71,0.75,0.81
Sys_IMF_ref_1,25,0.84,0.49,0.43,0.6,1.01,0.76,0.43,0.32,0.6,0.45
Sys_IMF_ref_1,35,0.63,0.65,0.41,0.62,0.94,0.78,0.39,0.32,0.58,0.48
Sys_IMF_ref_1,39,0.77,0.66,0.54,0.7,0.65,0.76,0.35,0.41,0.46,0.53
Sys_IMF_ref_1,49,0.91,0.75,0.69,0.82,1.0,0.99,0.69,0.68,0.82,0.81
Sys_IMF_ref_1,51,0.93,0.72,0.69,0.8,0.83,0.9,0.57,0.63,0.66,0.72
Sys_IMF_ref_1,52,0.71,0.73,0.52,0.7,1.99,0.84,1.04,0.44,1.4,0.59
Sys_IMF_ref_1,64,0.67,0.54,0.4,0.58,1.15,0.91,0.46,0.37,0.67,0.53
Sys_IMF_ref_1,80,0.83,0.39,0.32,0.51,0.39,0.63,0.12,0.2,0.2,0.32
Sys_IMF_ref_1,97,0.92,0.81,0.76,0.86,1.35,0.8,1.02,0.61,1.15,0.68
Sys_IMF_ref_1,106,0.91,0.49,0.46,0.61,2.45,0.74,1.12,0.34,1.49,0.45
Sys_IMF_ref_1,116,0.96,0.74,0.71,0.84,0.29,0.49,0.21,0.35,0.25,0.41
Sys_IMF_ref_1,118,0.88,0.6,0.53,0.71,1.16,0.84,0.61,0.44,0.82,0.6
Sys_IMF_ref_1,129,0.87,0.37,0.32,0.51,0.78,1.2,0.25,0.39,0.4,0.62
Sys_IMF_ref_1,144,0.74,0.34,0.3,0.45,0.98,0.87,0.29,0.26,0.45,0.4
Sys_IMF_ref_1,147,0.87,0.72,0.64,0.78,0.88,0.79,0.56,0.5,0.68,0.61
Sys_IMF_ref_1,150,0.77,0.53,0.41,0.61,1.2,0.82,0.5,0.34,0.73,0.49
Sys_IMF_ref_1,156,0.88,0.3,0.26,0.44,0.48,0.82,0.13,0.22,0.21,0.36
Sys_IMF_ref_1,159,0.72,0.31,0.23,0.43,0.92,0.85,0.21,0.19,0.39,0.36
Sys_IMF_ref_1,281,0.86,0.3,0.26,0.44,1.84,1.06,0.47,0.27,0.82,0.47
Sys_IMF_ref_1,300,0.95,0.89,0.85,0.92,0.66,1.12,0.56,0.96,0.61,1.03
Sys_IMF_ref_1,322,0.8,0.72,0.58,0.74,0.85,0.95,0.5,0.55,0.63,0.7
Sys_IMF_ref_1,330,0.73,0.54,0.4,0.61,0.35,0.94,0.14,0.38,0.21,0.57
Sys_IMF_ref_1,333,0.81,0.29,0.24,0.42,0.9,0.82,0.21,0.19,0.38,0.34
Sys_IMF_ref_1,339,0.7,0.52,0.38,0.58,1.71,1.0,0.65,0.38,1.0,0.58
Sys_IMF_ref_1,347,0.89,0.44,0.4,0.55,0.52,0.85,0.21,0.34,0.29,0.47
Sys_IMF_ref_1,356,0.87,0.58,0.52,0.69,1.07,0.7,0.56,0.36,0.74,0.48
Sys_IMF_ref_1,365,0.95,0.41,0.39,0.55,0.69,0.65,0.27,0.26,0.38,0.36
Sys_IMF_ref_1,370,0.81,0.35,0.28,0.48,0.72,0.79,0.2,0.22,0.34,0.38
Sys_IMF_ref_1,389,0.44,0.44,0.18,0.4,2.46,1.0,0.44,0.18,0.98,0.4
Sys_IMF_ref_1,392,0.87,0.64,0.57,0.74,0.46,1.15,0.26,0.65,0.34,0.85
Sys_IMF_ref_1,394,0.67,0.49,0.37,0.56,1.54,0.72,0.57,0.27,0.87,0.41
Sys_IMF_ref_1,396,0.93,0.67,0.63,0.78,0.22,0.93,0.14,0.59,0.17,0.73
Sys_IMF_ref_1,400,0.82,0.33,0.27,0.46,0.29,0.91,0.08,0.24,0.13,0.42
Sys_IMF_ref_1,405,0.56,0.47,0.26,0.5,0.49,0.89,0.13,0.23,0.24,0.44
Sys_IMF_ref_1,406,0.96,0.64,0.62,0.76,1.03,0.62,0.64,0.38,0.79,0.47
Sys_IMF_ref_1,413,0.64,0.5,0.34,0.53,0.37,0.84,0.12,0.28,0.2,0.45
Sys_IMF_ref_1,415,0.83,0.55,0.46,0.65,0.76,0.68,0.35,0.31,0.49,0.44
Sys_IMF_ref_1,419,0.58,0.4,0.29,0.44,1.38,1.0,0.4,0.29,0.61,0.44
Sys_IMF_ref_1,421,0.25,0.48,0.1,0.23,1.84,0.8,0.18,0.08,0.43,0.19
Sys_IMF_ref_1,426,0.54,0.38,0.2,0.43,1.25,0.87,0.25,0.17,0.54,0.38
Sys_IMF_ref_1,429,0.51,0.36,0.2,0.4,0.48,1.01,0.1,0.2,0.19,0.4
Sys_IMF_ref_1,432,0.76,0.41,0.33,0.51,1.05,0.9,0.35,0.3,0.53,0.46
Sys_IMF_ref_1,443,0.87,0.5,0.44,0.62,0.26,0.8,0.11,0.35,0.16,0.49
Sys_IMF_ref_1,446,0.68,0.48,0.36,0.55,1.26,0.85,0.45,0.31,0.69,0.47
Sys_IMF_ref_1,453,0.66,0.36,0.26,0.46,0.51,0.72,0.13,0.18,0.24,0.33
Sys_IMF_ref_1,461,0.91,0.6,0.55,0.71,0.35,0.62,0.19,0.34,0.25,0.44
Sys_IMF_ref_1,477,0.54,0.55,0.29,0.52,2.32,0.75,0.67,0.22,1.2,0.39
Sys_IMF_ref_1,479,0.76,0.6,0.46,0.61,0.57,0.89,0.26,0.41,0.35,0.54
Sys_IMF_ref_1,481,0.87,0.66,0.58,0.75,0.59,1.01,0.34,0.59,0.44,0.76
Sys_IMF_ref_1,488,0.93,0.67,0.63,0.78,0.88,0.84,0.55,0.53,0.68,0.66
Sys_IMF_ref_1,499,0.68,0.32,0.24,0.43,1.46,1.22,0.35,0.29,0.62,0.52
Sys_IMF_ref_1,529,0.79,0.64,0.55,0.71,2.7,0.66,1.49,0.37,1.91,0.47
Sys_IMF_ref_1,535,0.87,0.68,0.6,0.76,0.51,0.98,0.31,0.59,0.38,0.75
Sys_IMF_ref_1,554,0.9,0.51,0.47,0.64,0.93,0.71,0.43,0.33,0.59,0.45
Sys_IMF_ref_1,567,0.8,0.51,0.45,0.61,3.44,0.83,1.53,0.37,2.09,0.51
Sys_IMF_ref_1,575,0.86,0.43,0.37,0.56,0.83,0.87,0.31,0.32,0.46,0.49
Sys_IMF_ref_1,585,0.75,0.58,0.45,0.64,1.19,0.89,0.54,0.4,0.76,0.57
Sys_IMF_ref_1,590,0.72,0.52,0.39,0.6,1.09,0.9,0.42,0.35,0.65,0.54
Sys_IMF_ref_1,605,0.54,0.35,0.21,0.41,5.99,1.32,1.24,0.27,2.48,0.55
Sys_IMF_ref_1,606,0.59,0.4,0.26,0.42,1.26,1.0,0.33,0.26,0.52,0.42
Sys_IMF_ref_1,626,0.82,0.61,0.52,0.69,2.67,0.86,1.39,0.45,1.85,0.59
Sys_IMF_ref_1,632,0.58,0.66,0.43,0.51,1.08,1.01,0.46,0.44,0.55,0.52
Sys_IMF_ref_1,633,0.6,0.52,0.34,0.53,1.04,1.02,0.35,0.34,0.55,0.54
Sys_IMF_ref_1,634,0.74,0.45,0.36,0.55,0.47,0.76,0.17,0.27,0.26,0.42
Sys_IMF_ref_1,645,0.86,0.39,0.33,0.52,0.32,0.52,0.1,0.17,0.16,0.27
Sys_IMF_ref_1,654,0.74,0.49,0.41,0.58,1.27,1.05,0.52,0.43,0.74,0.61
Sys_IMF_ref_1,679,0.84,0.62,0.53,0.7,0.48,0.57,0.25,0.3,0.34,0.4
Sys_IMF_ref_1,687,0.88,0.62,0.56,0.72,0.37,0.87,0.21,0.49,0.27,0.63
Sys_IMF_ref_1,730,0.7,0.46,0.33,0.54,1.28,0.95,0.42,0.31,0.69,0.51
Sys_IMF_ref_1,743,0.69,0.47,0.38,0.55,1.17,0.88,0.45,0.34,0.65,0.49
Sys_IMF_ref_1,746,0.63,0.5,0.33,0.55,0.77,1.48,0.25,0.49,0.43,0.82
Sys_IMF_ref_1,755,0.91,0.68,0.63,0.77,0.27,1.09,0.17,0.68,0.21,0.84
Sys_IMF_ref_1,756,0.8,0.66,0.53,0.72,2.79,0.95,1.47,0.5,2.0,0.68
Sys_IMF_ref_1,806,0.97,0.8,0.77,0.87,0.9,0.88,0.7,0.68,0.79,0.77
Sys_IMF_ref_1,810,0.66,0.49,0.34,0.54,0.4,0.98,0.14,0.33,0.22,0.53
Sys_IMF_ref_1,819,0.78,0.43,0.34,0.54,0.44,0.84,0.15,0.28,0.23,0.45
Sys_IMF_ref_1,836,0.01,0.49,0.0,0.01,1.07,0.71,0.0,0.0,0.01,0.01
Sys_IMF_ref_1,903,0.73,0.51,0.4,0.58,1.11,0.76,0.45,0.31,0.65,0.44
Sys_IMF_ref_1,917,0.49,0.37,0.19,0.41,0.61,0.5,0.11,0.09,0.25,0.2
Sys_IMF_ref_1,919,0.35,0.23,0.08,0.27,2.12,1.18,0.17,0.09,0.58,0.32
Sys_IMF_ref_1,920,0.94,0.68,0.65,0.79,0.65,0.81,0.42,0.52,0.51,0.64
Sys_IMF_ref_1,922,0.22,0.24,0.06,0.2,0.53,0.89,0.03,0.05,0.11,0.18
Sys_IMF_ref_1,928,0.71,0.49,0.38,0.58,2.32,0.77,0.87,0.29,1.34,0.45
Sys_IMF_ref_1,931,0.92,0.69,0.64,0.79,0.54,0.73,0.35,0.47,0.43,0.58
Sys_IMF_ref_1,943,0.74,0.64,0.49,0.62,0.87,0.9,0.43,0.44,0.54,0.56
Sys_IMF_ref_1,952,0.98,0.93,0.92,0.95,0.72,0.73,0.66,0.67,0.69,0.69
Sys_IMF_ref_1,960,0.81,0.71,0.58,0.74,2.7,0.76,1.56,0.44,1.99,0.56
Sys_IMF_ref_1,962,0.89,0.75,0.67,0.81,0.6,0.79,0.4,0.53,0.48,0.64
Sys_IMF_ref_1,968,0.9,0.63,0.58,0.7,1.73,0.78,1.0,0.45,1.21,0.55
Sys_IMF_ref_1,971,0.78,0.55,0.47,0.64,0.34,0.75,0.16,0.35,0.22,0.48
Sys_IMF_ref_1,972,0.89,0.62,0.57,0.71,2.1,0.86,1.21,0.5,1.5,0.62
Sys_IMF_ref_1,981,0.6,0.28,0.19,0.38,0.61,0.91,0.12,0.17,0.23,0.34
Sys_IMF_ref_1,982,0.61,0.34,0.22,0.42,0.99,0.76,0.22,0.17,0.41,0.32
Sys_IMF_ref_1,983,0.72,0.44,0.34,0.54,0.45,0.84,0.15,0.29,0.24,0.46
Sys_IMF_ref_1,985,0.61,0.67,0.42,0.61,2.18,0.94,0.92,0.4,1.34,0.58
Sys_IMF_ref_1,991,0.84,0.77,0.66,0.81,0.43,0.66,0.28,0.44,0.34,0.53
Sys_IMF_ref_1,999,0.47,0.35,0.18,0.33,0.85,0.66,0.15,0.12,0.28,0.22
Sys_IMF_ref_2,4,0.88,0.55,0.49,0.67,1.06,0.94,0.52,0.46,0.71,0.63
Sys_IMF_ref_2,7,0.76,0.32,0.24,0.45,0.48,0.71,0.12,0.17,0.22,0.32
Sys_IMF_ref_2,10,0.94,0.87,0.83,0.9,0.94,1.01,0.78,0.84,0.85,0.91
Sys_IMF_ref_2,25,0.84,0.52,0.46,0.62,1.01,0.76,0.46,0.35,0.62,0.47
Sys_IMF_ref_2,35,0.6,0.6,0.38,0.58,0.94,0.78,0.35,0.29,0.54,0.45
Sys_IMF_ref_2,39,0.89,0.73,0.67,0.79,0.65,0.76,0.44,0.51,0.51,0.6
Sys_IMF_ref_2,49,0.91,0.74,0.68,0.81,1.0,0.99,0.68,0.67,0.81,0.81
Sys_IMF_ref_2,51,0.94,0.61,0.58,0.72,0.83,0.9,0.48,0.52,0.6,0.65
Sys_IMF_ref_2,52,0.71,0.58,0.42,0.6,1.99,0.84,0.83,0.35,1.2,0.51
Sys_IMF_ref_2,64,0.79,0.75,0.59,0.76,1.15,0.91,0.68,0.54,0.87,0.69
Sys_IMF_ref_2,80,0.82,0.31,0.25,0.44,0.39,0.63,0.1,0.16,0.17,0.28
Sys_IMF_ref_2,97,0.97,0.76,0.74,0.82,1.35,0.8,0.99,0.59,1.11,0.66
Sys_IMF_ref_2,106,0.92,0.59,0.55,0.69,2.45,0.74,1.36,0.41,1.69,0.51
Sys_IMF_ref_2,116,0.97,0.75,0.73,0.84,0.29,0.49,0.21,0.36,0.25,0.42
Sys_IMF_ref_2,118,0.74,0.56,0.44,0.64,1.16,0.84,0.51,0.37,0.74,0.54
Sys_IMF_ref_2,129,0.86,0.37,0.32,0.51,0.78,1.2,0.25,0.38,0.4,0.61
Sys_IMF_ref_2,144,0.7,0.38,0.33,0.47,0.98,0.87,0.32,0.29,0.46,0.41
Sys_IMF_ref_2,147,0.97,0.77,0.75,0.86,0.88,0.79,0.66,0.59,0.75,0.68
Sys_IMF_ref_2,150,0.84,0.66,0.58,0.74,1.2,0.82,0.7,0.47,0.88,0.6
Sys_IMF_ref_2,156,0.92,0.3,0.28,0.45,0.48,0.82,0.13,0.23,0.22,0.37
Sys_IMF_ref_2,159,0.64,0.3,0.2,0.4,0.92,0.85,0.18,0.17,0.37,0.34
Sys_IMF_ref_2,281,0.85,0.3,0.26,0.44,1.84,1.06,0.47,0.27,0.82,0.47
Sys_IMF_ref_2,300,0.92,0.83,0.78,0.87,0.66,1.12,0.52,0.87,0.58,0.98
Sys_IMF_ref_2,322,0.86,0.79,0.69,0.82,0.85,0.95,0.59,0.65,0.7,0.78
Sys_IMF_ref_2,330,0.71,0.52,0.39,0.6,0.35,0.94,0.14,0.36,0.21,0.57
Sys_IMF_ref_2,333,0.82,0.31,0.25,0.44,0.9,0.82,0.22,0.2,0.4,0.36
Sys_IMF_ref_2,339,0.67,0.54,0.37,0.58,1.71,1.0,0.64,0.37,1.0,0.58
Sys_IMF_ref_2,347,0.85,0.45,0.4,0.56,0.52,0.85,0.21,0.34,0.29,0.47
Sys_IMF_ref_2,356,0.82,0.5,0.44,0.6,1.07,0.7,0.47,0.31,0.64,0.42
Sys_IMF_ref_2,365,0.91,0.41,0.38,0.55,0.69,0.65,0.26,0.25,0.38,0.36
Sys_IMF_ref_2,370,0.91,0.35,0.32,0.5,0.72,0.79,0.23,0.26,0.36,0.4
Sys_IMF_ref_2,389,0.36,0.51,0.18,0.39,2.46,1.0,0.44,0.18,0.95,0.39
Sys_IMF_ref_2,392,0.89,0.65,0.58,0.75,0.46,1.15,0.27,0.66,0.35,0.86
Sys_IMF_ref_2,394,0.86,0.6,0.53,0.7,1.54,0.72,0.81,0.38,1.07,0.5
Sys_IMF_ref_2,396,0.93,0.65,0.61,0.76,0.22,0.93,0.14,0.57,0.17,0.71
Sys_IMF_ref_2,400,0.83,0.41,0.35,0.53,0.29,0.91,0.1,0.31,0.15,0.48
Sys_IMF_ref_2,405,0.7,0.51,0.36,0.58,0.49,0.89,0.17,0.32,0.28,0.51
Sys_IMF_ref_2,406,0.91,0.65,0.6,0.76,1.03,0.62,0.62,0.37,0.79,0.47
Sys_IMF_ref_2,413,0.74,0.52,0.44,0.59,0.37,0.84,0.16,0.37,0.22,0.5
Sys_IMF_ref_2,415,0.89,0.66,0.59,0.76,0.76,0.68,0.45,0.4,0.57,0.51
Sys_IMF_ref_2,419,0.56,0.51,0.37,0.51,1.38,1.0,0.51,0.37,0.7,0.51
Sys_IMF_ref_2,421,0.42,0.45,0.2,0.42,1.84,0.8,0.36,0.16,0.77,0.33
Sys_IMF_ref_2,426,0.57,0.41,0.24,0.47,1.25,0.87,0.29,0.2,0.59,0.41
Sys_IMF_ref_2,429,0.6,0.36,0.26,0.4,0.48,1.01,0.12,0.26,0.19,0.4
Sys_IMF_ref_2,432,0.85,0.57,0.5,0.66,1.05,0.9,0.52,0.45,0.7,0.6
