image_id,source,alignment_score,artifact_score
0,Sys_IMF_ref_1,4.65,3.2
0,Sys_IMF_ref_2,4.65,3.82
0,Sys_IMF_ref_3,4.65,3.85
0,User_IMF_1,5.0,3.0
0,User_IMF_2,5.0,4.0
0,User_IMF_3,5.0,4.0
1,Sys_IMF_ref_1,4.82,1.35
1,Sys_IMF_ref_2,4.65,1.85
1,Sys_IMF_ref_3,4.65,1.85
1,User_IMF_1,5.0,1.0
1,User_IMF_2,5.0,2.0
1,User_IMF_3,5.0,1.0
2,Sys_IMF_ref_1,4.15,2.35
2,Sys_IMF_ref_2,4.15,2.85
2,Sys_IMF_ref_3,4.82,2.35
2,User_IMF_1,4.38,2.0
2,User_IMF_2,4.38,2.0
2,User_IMF_3,4.38,3.0
3,Sys_IMF_ref_1,4.12,2.85
3,Sys_IMF_ref_2,3.85,2.15
3,Sys_IMF_ref_3,4.15,2.85
3,User_IMF_1,3.33,3.0
3,User_IMF_2,5.0,3.0
3,User_IMF_3,3.33,3.0
4,Sys_IMF_ref_1,4.65,2.85
4,Sys_IMF_ref_2,4.65,3.2
4,Sys_IMF_ref_3,4.65,2.85
4,User_IMF_1,5.0,3.0
4,User_IMF_2,5.0,4.0
4,User_IMF_3,5.0,3.0
5,Sys_IMF_ref_1,4.15,2.0
5,Sys_IMF_ref_2,4.12,2.0
5,Sys_IMF_ref_3,4.15,2.0
5,User_IMF_1,3.64,2.0
5,User_IMF_2,3.64,2.0
5,User_IMF_3,4.55,2.0
6,Sys_IMF_ref_1,4.65,3.85
6,Sys_IMF_ref_2,4.15,1.5
6,Sys_IMF_ref_3,4.15,2.85
6,User_IMF_1,4.44,4.0
6,User_IMF_2,4.44,3.0
6,User_IMF_3,4.44,3.0
7,Sys_IMF_ref_1,2.85,1.5
7,Sys_IMF_ref_2,3.15,1.5
7,Sys_IMF_ref_3,2.85,1.5
7,User_IMF_1,2.73,1.0
7,User_IMF_2,2.73,2.0
7,User_IMF_3,4.0,2.0
8,Sys_IMF_ref_1,3.82,1.5
8,Sys_IMF_ref_2,3.65,1.5
8,Sys_IMF_ref_3,4.15,1.5
8,User_IMF_1,4.09,2.0
8,User_IMF_2,4.09,2.0
8,User_IMF_3,4.09,2.0
9,Sys_IMF_ref_1,4.12,1.5
9,Sys_IMF_ref_2,3.85,1.5
9,Sys_IMF_ref_3,4.12,1.5
9,User_IMF_1,5.0,2.0
9,User_IMF_2,5.0,3.0
9,User_IMF_3,5.0,3.0
10,Sys_IMF_ref_1,4.85,1.5
10,Sys_IMF_ref_2,4.85,3.65
10,Sys_IMF_ref_3,4.85,4.92
10,User_IMF_1,5.0,2.0
10,User_IMF_2,5.0,4.0
10,User_IMF_3,3.89,4.0
11,Sys_IMF_ref_1,4.65,2.85
11,Sys_IMF_ref_2,4.12,3.45
11,Sys_IMF_ref_3,4.62,3.85
11,User_IMF_1,5.0,5.0
11,User_IMF_2,4.38,3.0
11,User_IMF_3,5.0,5.0
12,Sys_IMF_ref_1,4.82,4.91
12,Sys_IMF_ref_2,4.85,4.92
12,Sys_IMF_ref_3,4.82,4.15
12,User_IMF_1,4.44,4.0
12,User_IMF_2,3.89,4.0
12,User_IMF_3,3.89,3.0
13,Sys_IMF_ref_1,4.92,4.85
13,Sys_IMF_ref_2,4.85,4.92
13,Sys_IMF_ref_3,4.92,4.85
13,User_IMF_1,5.0,5.0
13,User_IMF_2,5.0,5.0
13,User_IMF_3,5.0,5.0
14,Sys_IMF_ref_1,4.82,4.15
14,Sys_IMF_ref_2,4.92,4.85
14,Sys_IMF_ref_3,4.85,4.92
14,User_IMF_1,5.0,4.0
14,User_IMF_2,5.0,5.0
14,User_IMF_3,5.0,4.0
15,Sys_IMF_ref_1,4.72,3.85
15,Sys_IMF_ref_2,4.72,3.85
15,Sys_IMF_ref_3,3.65,2.85
15,User_IMF_1,5.0,4.0
15,User_IMF_2,5.0,4.0
15,User_IMF_3,4.17,3.0
16,Sys_IMF_ref_1,3.65,1.5
16,Sys_IMF_ref_2,3.85,1.5
16,Sys_IMF_ref_3,4.12,1.5
16,User_IMF_1,3.57,2.0
16,User_IMF_2,4.17,2.0
16,User_IMF_3,3.57,2.0
17,Sys_IMF_ref_1,3.85,1.5
17,Sys_IMF_ref_2,3.42,1.5
17,Sys_IMF_ref_3,4.65,3.85
17,User_IMF_1,5.0,2.0
17,User_IMF_2,3.33,3.0
17,User_IMF_3,5.0,2.0
18,Sys_IMF_ref_1,4.12,1.5
18,Sys_IMF_ref_2,4.12,1.5
18,Sys_IMF_ref_3,4.72,1.5
18,User_IMF_1,3.33,5.0
18,User_IMF_2,3.33,5.0
18,User_IMF_3,3.33,5.0
19,Sys_IMF_ref_1,4.65,3.85
19,Sys_IMF_ref_2,4.85,4.6
19,Sys_IMF_ref_3,4.12,3.85
19,User_IMF_1,5.0,4.0
19,User_IMF_2,4.17,4.0
19,User_IMF_3,5.0,4.0
20,Sys_IMF_ref_1,2.15,2.3
20,Sys_IMF_ref_2,1.85,1.2
20,Sys_IMF_ref_3,1.65,1.2
20,User_IMF_1,2.5,2.0
20,User_IMF_2,1.67,2.0
20,User_IMF_3,2.5,2.0
21,Sys_IMF_ref_1,4.12,3.65
21,Sys_IMF_ref_2,3.65,3.85
21,Sys_IMF_ref_3,3.65,3.85
21,User_IMF_1,5.0,3.0
21,User_IMF_2,5.0,4.0
21,User_IMF_3,5.0,3.0
22,Sys_IMF_ref_1,1.85,3.72
22,Sys_IMF_ref_2,1.85,3.62
22,Sys_IMF_ref_3,1.85,3.42
22,User_IMF_1,3.0,4.0
22,User_IMF_2,1.0,2.0
22,User_IMF_3,2.0,3.0
23,Sys_IMF_ref_1,3.42,3.85
23,Sys_IMF_ref_2,3.85,3.6
23,Sys_IMF_ref_3,3.85,2.75
23,User_IMF_1,5.0,3.0
23,User_IMF_2,5.0,3.0
23,User_IMF_3,5.0,4.0
24,Sys_IMF_ref_1,4.15,2.85
24,Sys_IMF_ref_2,3.85,2.65
24,Sys_IMF_ref_3,4.12,3.65
24,User_IMF_1,4.0,3.0
24,User_IMF_2,4.0,3.0
24,User_IMF_3,5.0,4.0
25,Sys_IMF_ref_1,2.15,1.5
25,Sys_IMF_ref_2,3.82,1.5
25,Sys_IMF_ref_3,2.85,1.5
25,User_IMF_1,4.44,1.0
25,User_IMF_2,4.44,2.0
25,User_IMF_3,0.0,2.0
26,Sys_IMF_ref_1,3.85,3.2
26,Sys_IMF_ref_2,4.35,3.82
26,Sys_IMF_ref_3,3.85,3.62
26,User_IMF_1,5.0,3.0
26,User_IMF_2,5.0,4.0
26,User_IMF_3,5.0,4.0
27,Sys_IMF_ref_1,4.65,4.92
27,Sys_IMF_ref_2,4.85,4.92
27,Sys_IMF_ref_3,4.85,4.92
27,User_IMF_1,5.0,5.0
27,User_IMF_2,4.38,5.0
27,User_IMF_3,5.0,3.0
28,Sys_IMF_ref_1,4.35,3.0
28,Sys_IMF_ref_2,4.35,3.0
28,Sys_IMF_ref_3,4.35,3.0
28,User_IMF_1,4.38,3.0
28,User_IMF_2,4.38,4.0
28,User_IMF_3,4.38,2.0
29,Sys_IMF_ref_1,4.15,3.85
29,Sys_IMF_ref_2,5.0,5.0
29,Sys_IMF_ref_3,3.45,4.12
29,User_IMF_1,5.0,4.0
29,User_IMF_2,5.0,4.0
29,User_IMF_3,5.0,5.0
30,Sys_IMF_ref_1,4.12,2.85
30,Sys_IMF_ref_2,4.12,2.85
30,Sys_IMF_ref_3,3.82,2.65
30,User_IMF_1,4.29,3.0
30,User_IMF_2,3.75,4.0
30,User_IMF_3,4.29,2.0
31,Sys_IMF_ref_1,4.85,4.92
31,Sys_IMF_ref_2,4.65,4.2
31,Sys_IMF_ref_3,4.85,4.92
31,User_IMF_1,4.0,4.0
31,User_IMF_2,5.0,4.0
31,User_IMF_3,4.0,5.0
32,Sys_IMF_ref_1,4.82,3.65
32,Sys_IMF_ref_2,4.65,3.85
32,Sys_IMF_ref_3,4.12,3.85
32,User_IMF_1,5.0,4.0
32,User_IMF_2,5.0,4.0
32,User_IMF_3,5.0,4.0
33,Sys_IMF_ref_1,4.82,3.65
33,Sys_IMF_ref_2,4.62,3.85
33,Sys_IMF_ref_3,4.62,3.85
33,User_IMF_1,5.0,4.0
33,User_IMF_2,5.0,3.0
33,User_IMF_3,5.0,4.0
34,Sys_IMF_ref_1,4.12,3.68
34,Sys_IMF_ref_2,4.82,3.65
34,Sys_IMF_ref_3,4.12,3.65
34,User_IMF_1,5.0,4.0
34,User_IMF_2,5.0,4.0
34,User_IMF_3,5.0,4.0
35,Sys_IMF_ref_1,4.85,3.92
35,Sys_IMF_ref_2,4.85,2.65
35,Sys_IMF_ref_3,4.65,2.85
35,User_IMF_1,5.0,5.0
35,User_IMF_2,5.0,3.0
35,User_IMF_3,5.0,2.0
36,Sys_IMF_ref_1,4.85,3.82
36,Sys_IMF_ref_2,4.85,2.65
36,Sys_IMF_ref_3,4.85,2.3
36,User_IMF_1,5.0,4.0
36,User_IMF_2,5.0,5.0
36,User_IMF_3,5.0,4.0
37,Sys_IMF_ref_1,4.75,3.85
37,Sys_IMF_ref_2,4.85,4.72
37,Sys_IMF_ref_3,4.72,3.85
37,User_IMF_1,4.38,4.0
37,User_IMF_2,4.38,5.0
37,User_IMF_3,4.38,4.0
38,Sys_IMF_ref_1,5.0,5.0
38,Sys_IMF_ref_2,4.85,3.62
38,Sys_IMF_ref_3,4.85,2.65
38,User_IMF_1,5.0,4.0
38,User_IMF_2,5.0,4.0
38,User_IMF_3,5.0,5.0
39,Sys_IMF_ref_1,3.85,1.5
39,Sys_IMF_ref_2,4.12,1.5
39,Sys_IMF_ref_3,4.15,1.5
39,User_IMF_1,4.17,3.0
39,User_IMF_2,4.17,2.0
39,User_IMF_3,5.0,2.0
40,Sys_IMF_ref_1,3.65,4.12
40,Sys_IMF_ref_2,3.45,3.82
40,Sys_IMF_ref_3,3.65,4.12
40,User_IMF_1,4.29,3.0
40,User_IMF_2,4.29,4.0
40,User_IMF_3,4.29,4.0
41,Sys_IMF_ref_1,1.85,3.42
41,Sys_IMF_ref_2,1.85,3.42
41,Sys_IMF_ref_3,1.85,1.5
41,User_IMF_1,2.5,3.0
41,User_IMF_2,2.5,3.0
41,User_IMF_3,2.5,3.0
42,Sys_IMF_ref_1,2.85,3.65
42,Sys_IMF_ref_2,2.85,1.2
42,Sys_IMF_ref_3,1.85,0.92
42,User_IMF_1,2.14,1.0
42,User_IMF_2,2.14,4.0
42,User_IMF_3,2.14,1.0
43,Sys_IMF_ref_1,4.85,3.2
43,Sys_IMF_ref_2,4.85,2.3
43,Sys_IMF_ref_3,4.85,3.6
43,User_IMF_1,5.0,3.0
43,User_IMF_2,5.0,3.0
43,User_IMF_3,5.0,4.0
44,Sys_IMF_ref_1,4.65,3.85
44,Sys_IMF_ref_2,4.65,3.85
44,Sys_IMF_ref_3,4.85,3.6
44,User_IMF_1,5.0,5.0
44,User_IMF_2,5.0,4.0
44,User_IMF_3,5.0,4.0
45,Sys_IMF_ref_1,2.15,0.85
45,Sys_IMF_ref_2,4.65,3.85
45,Sys_IMF_ref_3,4.65,3.85
