score_type,sys_group,human_group,sys_source,human_source,aggregation,n_common,threshold,n_positive,n_negative,auc
alignment_score,Sys_IMF_ref,Human_IMF,Sys_IMF_ref_1,User_IMF_1,individual,497,4.38,260,237,0.8263
alignment_score,Sys_IMF_ref,Human_IMF,Sys_IMF_ref_1,User_IMF_2,individual,497,4.38,257,240,0.7948
alignment_score,Sys_IMF_ref,Human_IMF,Sys_IMF_ref_1,User_IMF_3,individual,497,4.38,263,234,0.8106
alignment_score,Sys_IMF_ref,Human_IMF,Sys_IMF_ref_2,User_IMF_1,individual,498,4.38,260,238,0.842
alignment_score,Sys_IMF_ref,Human_IMF,Sys_IMF_ref_2,User_IMF_2,individual,498,4.38,257,241,0.8026
alignment_score,Sys_IMF_ref,Human_IMF,Sys_IMF_ref_2,User_IMF_3,individual,498,4.38,263,235,0.8292
alignment_score,Sys_IMF_ref,Human_IMF,Sys_IMF_ref_3,User_IMF_1,individual,497,4.38,259,238,0.8161
alignment_score,Sys_IMF_ref,Human_IMF,Sys_IMF_ref_3,User_IMF_2,individual,497,4.38,256,241,0.8019
alignment_score,Sys_IMF_ref,Human_IMF,Sys_IMF_ref_3,User_IMF_3,individual,497,4.38,262,235,0.8171
artifact_score,Sys_IMF_ref,Human_IMF,Sys_IMF_ref_1,User_IMF_1,individual,497,3.0,307,190,0.8285
artifact_score,Sys_IMF_ref,Human_IMF,Sys_IMF_ref_1,User_IMF_2,individual,497,3.0,310,187,0.8432
artifact_score,Sys_IMF_ref,Human_IMF,Sys_IMF_ref_1,User_IMF_3,individual,497,3.0,309,188,0.8436
artifact_score,Sys_IMF_ref,Human_IMF,Sys_IMF_ref_2,User_IMF_1,individual,498,3.0,307,191,0.8243
artifact_score,Sys_IMF_ref,Human_IMF,Sys_IMF_ref_2,User_IMF_2,individual,498,3.0,311,187,0.832
artifact_score,Sys_IMF_ref,Human_IMF,Sys_IMF_ref_2,User_IMF_3,individual,498,3.0,310,188,0.8476
artifact_score,Sys_IMF_ref,Human_IMF,Sys_IMF_ref_3,User_IMF_1,individual,497,3.0,305,192,0.8414
artifact_score,Sys_IMF_ref,Human_IMF,Sys_IMF_ref_3,User_IMF_2,individual,497,3.0,309,188,0.8377
artifact_score,Sys_IMF_ref,Human_IMF,Sys_IMF_ref_3,User_IMF_3,individual,497,3.0,309,188,0.8592
alignment_score,Sys_IMF_ref,Human_IMF,Sys_IMF_ref (avg),Human_IMF (avg),group_avg,499,4.38,251,248,0.8638
artifact_score,Sys_IMF_ref,Human_IMF,Sys_IMF_ref (avg),Human_IMF (avg),group_avg,499,3.0,275,224,0.9044
