score_type,source_1,source_2,n_common_images,pearson_r,pearson_p,spearman_r,spearman_p,icc_2_1_absolute_agreement,icc_3_1_consistency
alignment_score,Sys_IMF_ref_2,Sys_IMF_ref_3,499,0.6655,0.0,0.5837,0.0,0.6597,0.6619
alignment_score,Sys_IMF_ref_2,User_IMF_1,499,0.7944,0.0,0.7471,0.0,0.7941,0.7943
alignment_score,Sys_IMF_ref_2,User_IMF_2,499,0.694,0.0,0.6303,0.0,0.6865,0.6864
alignment_score,Sys_IMF_ref_2,User_IMF_3,499,0.7939,0.0,0.7304,0.0,0.7942,0.7939
alignment_score,Sys_IMF_ref_3,User_IMF_1,499,0.7212,0.0,0.644,0.0,0.7136,0.7187
alignment_score,Sys_IMF_ref_3,User_IMF_2,499,0.6792,0.0,0.6716,0.0,0.6779,0.6785
alignment_score,Sys_IMF_ref_3,User_IMF_3,499,0.7081,0.0,0.6488,0.0,0.7017,0.7041
alignment_score,User_IMF_1,User_IMF_2,499,0.7043,0.0,0.656,0.0,0.6975,0.6985
alignment_score,User_IMF_1,User_IMF_3,499,0.8352,0.0,0.7534,0.0,0.8347,0.8349
alignment_score,User_IMF_2,User_IMF_3,499,0.674,0.0,0.6399,0.0,0.6664,0.6663
artifact_score,Sys_IMF_ref_2,Sys_IMF_ref_3,499,0.7747,0.0,0.7548,0.0,0.768,0.7715
artifact_score,Sys_IMF_ref_2,User_IMF_1,499,0.6718,0.0,0.6474,0.0,0.6721,0.6716
artifact_score,Sys_IMF_ref_2,User_IMF_2,499,0.7992,0.0,0.7783,0.0,0.7953,0.7961
artifact_score,Sys_IMF_ref_2,User_IMF_3,499,0.676,0.0,0.6519,0.0,0.6764,0.676
artifact_score,Sys_IMF_ref_3,User_IMF_1,499,0.7873,0.0,0.7792,0.0,0.7787,0.7823
artifact_score,Sys_IMF_ref_3,User_IMF_2,499,0.6695,0.0,0.6578,0.0,0.6693,0.6695
artifact_score,Sys_IMF_ref_3,User_IMF_3,499,0.7826,0.0,0.7694,0.0,0.7757,0.7789
artifact_score,User_IMF_1,User_IMF_2,499,0.779,0.0,0.7683,0.0,0.7735,0.7743
artifact_score,User_IMF_1,User_IMF_3,499,0.7135,0.0,0.6942,0.0,0.7138,0.7134
artifact_score,User_IMF_2,User_IMF_3,499,0.7531,0.0,0.7343,0.0,0.7493,0.7498
