source,alignment_norm,artifact_norm,composite_product,composite_harmonic,alignment_norm_std,alignment_norm_se,alignment_norm_ci_low,alignment_norm_ci_high,artifact_norm_std,artifact_norm_se,artifact_norm_ci_low,artifact_norm_ci_high,composite_product_std,composite_product_se,composite_product_ci_low,composite_product_ci_high,composite_harmonic_std,composite_harmonic_se,composite_harmonic_ci_low,composite_harmonic_ci_high,composite_product_x_vendi_ratio,composite_product_x_vendi_ratio_std,composite_product_x_vendi_ratio_se,composite_product_x_vendi_ratio_ci_low,composite_product_x_vendi_ratio_ci_high,composite_product_x_vendi_ratio_train,composite_product_x_vendi_ratio_train_std,composite_product_x_vendi_ratio_train_se,composite_product_x_vendi_ratio_train_ci_low,composite_product_x_vendi_ratio_train_ci_high,composite_harmonic_x_vendi_ratio,composite_harmonic_x_vendi_ratio_std,composite_harmonic_x_vendi_ratio_se,composite_harmonic_x_vendi_ratio_ci_low,composite_harmonic_x_vendi_ratio_ci_high,composite_harmonic_x_vendi_ratio_train,composite_harmonic_x_vendi_ratio_train_std,composite_harmonic_x_vendi_ratio_train_se,composite_harmonic_x_vendi_ratio_train_ci_low,composite_harmonic_x_vendi_ratio_train_ci_high,composite_product_x_MEAN_VENDI_RATIO,composite_harmonic_x_MEAN_VENDI_RATIO,composite_product_x_MEAN_VENDI_RATIO_TRAIN,composite_harmonic_x_MEAN_VENDI_RATIO_TRAIN
Sys_IMF_ref_1,0.75,0.53,0.43,0.59,0.17,0.02,0.72,0.79,0.15,0.02,0.5,0.56,0.18,0.02,0.39,0.46,0.16,0.02,0.56,0.63,0.45,0.35,0.04,0.37,0.52,0.36,0.16,0.02,0.33,0.39,0.63,0.48,0.05,0.54,0.73,0.51,0.16,0.02,0.48,0.54,0.47,0.65,0.37,0.51
Sys_IMF_ref_2,0.76,0.54,0.44,0.6,0.18,0.02,0.72,0.79,0.15,0.02,0.51,0.57,0.18,0.02,0.4,0.48,0.17,0.02,0.57,0.64,0.45,0.35,0.04,0.38,0.52,0.37,0.17,0.02,0.34,0.41,0.64,0.47,0.05,0.55,0.73,0.52,0.16,0.02,0.48,0.55,0.48,0.66,0.38,0.52
Sys_IMF_ref_3,0.74,0.53,0.43,0.59,0.18,0.02,0.71,0.78,0.16,0.02,0.5,0.56,0.19,0.02,0.39,0.46,0.17,0.02,0.56,0.63,0.44,0.37,0.04,0.37,0.52,0.36,0.17,0.02,0.33,0.4,0.63,0.48,0.05,0.53,0.72,0.51,0.17,0.02,0.47,0.54,0.47,0.65,0.37,0.51
User_IMF_1,0.77,0.58,0.48,0.62,0.21,0.02,0.73,0.81,0.15,0.02,0.55,0.61,0.19,0.02,0.44,0.52,0.18,0.02,0.59,0.66,0.5,0.4,0.04,0.42,0.58,0.41,0.18,0.02,0.37,0.44,0.66,0.51,0.05,0.56,0.76,0.53,0.18,0.02,0.5,0.57,0.52,0.68,0.41,0.54
User_IMF_2,0.78,0.59,0.49,0.63,0.2,0.02,0.74,0.81,0.16,0.02,0.56,0.62,0.2,0.02,0.45,0.53,0.19,0.02,0.59,0.67,0.5,0.4,0.04,0.42,0.58,0.41,0.18,0.02,0.38,0.45,0.66,0.5,0.05,0.56,0.76,0.54,0.18,0.02,0.5,0.57,0.53,0.69,0.42,0.54
User_IMF_3,0.77,0.59,0.48,0.62,0.21,0.02,0.73,0.81,0.15,0.01,0.56,0.61,0.19,0.02,0.44,0.52,0.18,0.02,0.59,0.66,0.5,0.39,0.04,0.42,0.57,0.41,0.17,0.02,0.38,0.44,0.66,0.51,0.05,0.56,0.76,0.54,0.18,0.02,0.5,0.57,0.53,0.68,0.41,0.54
Sys_IMF_ref_AVG_STATS,0.75,0.53,0.43,0.59,0.18,0.02,0.72,0.79,0.15,0.02,0.5,0.56,0.18,0.02,0.39,0.47,0.17,0.02,0.56,0.63,0.45,0.36,0.04,0.37,0.52,0.36,0.17,0.02,0.33,0.4,0.63,0.48,0.05,0.54,0.73,0.51,0.16,0.02,0.48,0.54,0.47,0.65,0.37,0.51
Sys_IMF_ref_AVG_PERCLASS,0.75,0.54,0.43,0.6,0.17,0.02,0.72,0.78,0.15,0.01,0.51,0.57,0.18,0.02,0.4,0.47,0.16,0.02,0.57,0.63,0.45,0.36,0.04,0.38,0.52,0.37,0.16,0.02,0.33,0.4,0.63,0.47,0.05,0.54,0.73,0.51,0.16,0.02,0.48,0.54,0.47,0.65,0.37,0.51
Human_IMF_AVG_STATS,0.77,0.59,0.48,0.62,0.21,0.02,0.73,0.81,0.15,0.02,0.56,0.61,0.19,0.02,0.44,0.52,0.18,0.02,0.59,0.66,0.5,0.4,0.04,0.42,0.58,0.41,0.18,0.02,0.38,0.44,0.66,0.51,0.05,0.56,0.76,0.54,0.18,0.02,0.5,0.57,0.53,0.68,0.41,0.54
Human_IMF_AVG_PERCLASS,0.77,0.59,0.48,0.63,0.2,0.02,0.73,0.81,0.15,0.01,0.56,0.62,0.19,0.02,0.44,0.52,0.18,0.02,0.59,0.66,0.5,0.39,0.04,0.42,0.58,0.41,0.17,0.02,0.38,0.44,0.66,0.5,0.05,0.56,0.76,0.53,0.17,0.02,0.5,0.57,0.53,0.68,0.41,0.54
