source,class_id,alignment_norm,artifact_norm,composite_product,composite_harmonic
Sys_IMF_ref_1,4,0.9,0.5,0.45,0.63
Sys_IMF_ref_1,7,0.78,0.41,0.34,0.53
Sys_IMF_ref_1,10,0.96,0.73,0.7,0.8
Sys_IMF_ref_1,25,0.84,0.49,0.43,0.6
Sys_IMF_ref_1,35,0.63,0.65,0.41,0.62
Sys_IMF_ref_1,39,0.77,0.66,0.54,0.7
Sys_IMF_ref_1,49,0.91,0.75,0.69,0.82
Sys_IMF_ref_1,51,0.93,0.72,0.69,0.8
Sys_IMF_ref_1,52,0.71,0.73,0.52,0.7
Sys_IMF_ref_1,64,0.67,0.54,0.4,0.58
Sys_IMF_ref_1,80,0.83,0.39,0.32,0.51
Sys_IMF_ref_1,97,0.92,0.81,0.76,0.86
Sys_IMF_ref_1,106,0.91,0.49,0.46,0.61
Sys_IMF_ref_1,116,0.96,0.74,0.71,0.84
Sys_IMF_ref_1,118,0.88,0.6,0.53,0.71
Sys_IMF_ref_1,129,0.87,0.37,0.32,0.51
Sys_IMF_ref_1,144,0.74,0.34,0.3,0.45
Sys_IMF_ref_1,147,0.87,0.72,0.64,0.78
Sys_IMF_ref_1,150,0.77,0.53,0.41,0.61
Sys_IMF_ref_1,156,0.88,0.3,0.26,0.44
Sys_IMF_ref_1,159,0.72,0.31,0.23,0.43
Sys_IMF_ref_1,281,0.86,0.3,0.26,0.44
Sys_IMF_ref_1,300,0.95,0.89,0.85,0.92
Sys_IMF_ref_1,322,0.8,0.72,0.58,0.74
Sys_IMF_ref_1,330,0.73,0.54,0.4,0.61
Sys_IMF_ref_1,333,0.81,0.29,0.24,0.42
Sys_IMF_ref_1,339,0.7,0.52,0.38,0.58
Sys_IMF_ref_1,347,0.89,0.44,0.4,0.55
Sys_IMF_ref_1,356,0.87,0.58,0.52,0.69
Sys_IMF_ref_1,365,0.95,0.41,0.39,0.55
Sys_IMF_ref_1,370,0.81,0.35,0.28,0.48
Sys_IMF_ref_1,389,0.44,0.44,0.18,0.4
Sys_IMF_ref_1,392,0.87,0.64,0.57,0.74
Sys_IMF_ref_1,394,0.67,0.49,0.37,0.56
Sys_IMF_ref_1,396,0.93,0.67,0.63,0.78
Sys_IMF_ref_1,400,0.82,0.33,0.27,0.46
Sys_IMF_ref_1,405,0.56,0.47,0.26,0.5
Sys_IMF_ref_1,406,0.96,0.64,0.62,0.76
Sys_IMF_ref_1,413,0.64,0.5,0.34,0.53
Sys_IMF_ref_1,415,0.83,0.55,0.46,0.65
Sys_IMF_ref_1,419,0.58,0.4,0.29,0.44
Sys_IMF_ref_1,421,0.25,0.48,0.1,0.23
Sys_IMF_ref_1,426,0.54,0.38,0.2,0.43
Sys_IMF_ref_1,429,0.51,0.36,0.2,0.4
Sys_IMF_ref_1,432,0.76,0.41,0.33,0.51
Sys_IMF_ref_1,443,0.87,0.5,0.44,0.62
Sys_IMF_ref_1,446,0.68,0.48,0.36,0.55
Sys_IMF_ref_1,453,0.66,0.36,0.26,0.46
Sys_IMF_ref_1,461,0.91,0.6,0.55,0.71
Sys_IMF_ref_1,477,0.54,0.55,0.29,0.52
Sys_IMF_ref_1,479,0.76,0.6,0.46,0.61
Sys_IMF_ref_1,481,0.87,0.66,0.58,0.75
Sys_IMF_ref_1,488,0.93,0.67,0.63,0.78
Sys_IMF_ref_1,499,0.68,0.32,0.24,0.43
Sys_IMF_ref_1,529,0.79,0.64,0.55,0.71
Sys_IMF_ref_1,535,0.87,0.68,0.6,0.76
Sys_IMF_ref_1,554,0.9,0.51,0.47,0.64
Sys_IMF_ref_1,567,0.8,0.51,0.45,0.61
Sys_IMF_ref_1,575,0.86,0.43,0.37,0.56
Sys_IMF_ref_1,585,0.75,0.58,0.45,0.64
Sys_IMF_ref_1,590,0.72,0.52,0.39,0.6
Sys_IMF_ref_1,605,0.54,0.35,0.21,0.41
Sys_IMF_ref_1,606,0.59,0.4,0.26,0.42
Sys_IMF_ref_1,626,0.82,0.61,0.52,0.69
Sys_IMF_ref_1,632,0.58,0.66,0.43,0.51
Sys_IMF_ref_1,633,0.6,0.52,0.34,0.53
Sys_IMF_ref_1,634,0.74,0.45,0.36,0.55
Sys_IMF_ref_1,645,0.86,0.39,0.33,0.52
Sys_IMF_ref_1,654,0.74,0.49,0.41,0.58
Sys_IMF_ref_1,679,0.84,0.62,0.53,0.7
Sys_IMF_ref_1,687,0.88,0.62,0.56,0.72
Sys_IMF_ref_1,730,0.7,0.46,0.33,0.54
Sys_IMF_ref_1,743,0.69,0.47,0.38,0.55
Sys_IMF_ref_1,746,0.63,0.5,0.33,0.55
Sys_IMF_ref_1,755,0.91,0.68,0.63,0.77
Sys_IMF_ref_1,756,0.8,0.66,0.53,0.72
Sys_IMF_ref_1,806,0.97,0.8,0.77,0.87
Sys_IMF_ref_1,810,0.66,0.49,0.34,0.54
Sys_IMF_ref_1,819,0.78,0.43,0.34,0.54
Sys_IMF_ref_1,836,0.01,0.49,0.0,0.01
Sys_IMF_ref_1,903,0.73,0.51,0.4,0.58
Sys_IMF_ref_1,917,0.49,0.37,0.19,0.41
Sys_IMF_ref_1,919,0.35,0.23,0.08,0.27
Sys_IMF_ref_1,920,0.94,0.68,0.65,0.79
Sys_IMF_ref_1,922,0.22,0.24,0.06,0.2
Sys_IMF_ref_1,928,0.71,0.49,0.38,0.58
Sys_IMF_ref_1,931,0.92,0.69,0.64,0.79
Sys_IMF_ref_1,943,0.74,0.64,0.49,0.62
Sys_IMF_ref_1,952,0.98,0.93,0.92,0.95
Sys_IMF_ref_1,960,0.81,0.71,0.58,0.74
Sys_IMF_ref_1,962,0.89,0.75,0.67,0.81
Sys_IMF_ref_1,968,0.9,0.63,0.58,0.7
Sys_IMF_ref_1,971,0.78,0.55,0.47,0.64
