image_id,source,alignment_score,artifact_score,class_id,alignment_norm,artifact_norm,composite_product,composite_harmonic
0,Sys_IMF_ref_1,4.65,3.2,4,0.93,0.64,0.5952000000000001,0.7582165605095542
0,Sys_IMF_ref_2,4.65,3.82,4,0.93,0.764,0.71052,0.8388665879574971
0,Sys_IMF_ref_3,4.65,3.85,4,0.93,0.77,0.7161000000000001,0.8424705882352941
0,User_IMF_1,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
0,User_IMF_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
0,User_IMF_3,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
1,Sys_IMF_ref_1,4.82,1.35,4,0.9640000000000001,0.27,0.26028,0.42184764991896273
1,Sys_IMF_ref_2,4.65,1.85,4,0.93,0.37,0.3441,0.5293846153846153
1,Sys_IMF_ref_3,4.65,1.85,4,0.93,0.37,0.3441,0.5293846153846153
1,User_IMF_1,5.0,1.0,4,1.0,0.2,0.2,0.33333333333333337
1,User_IMF_2,5.0,2.0,4,1.0,0.4,0.4,0.5714285714285715
1,User_IMF_3,5.0,1.0,4,1.0,0.2,0.2,0.33333333333333337
2,Sys_IMF_ref_1,4.15,2.35,4,0.8300000000000001,0.47000000000000003,0.39010000000000006,0.6001538461538463
2,Sys_IMF_ref_2,4.15,2.85,4,0.8300000000000001,0.5700000000000001,0.4731000000000001,0.6758571428571429
2,Sys_IMF_ref_3,4.82,2.35,4,0.9640000000000001,0.47000000000000003,0.45308000000000004,0.6319107391910739
2,User_IMF_1,4.38,2.0,4,0.876,0.4,0.35040000000000004,0.5492163009404389
2,User_IMF_2,4.38,2.0,4,0.876,0.4,0.35040000000000004,0.5492163009404389
2,User_IMF_3,4.38,3.0,4,0.876,0.6,0.5256,0.7121951219512195
3,Sys_IMF_ref_1,4.12,2.85,4,0.8240000000000001,0.5700000000000001,0.4696800000000001,0.6738593974175037
3,Sys_IMF_ref_2,3.85,2.15,4,0.77,0.43,0.3311,0.5518333333333334
3,Sys_IMF_ref_3,4.15,2.85,4,0.8300000000000001,0.5700000000000001,0.4731000000000001,0.6758571428571429
3,User_IMF_1,3.33,3.0,4,0.666,0.6,0.3996,0.6312796208530805
3,User_IMF_2,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
3,User_IMF_3,3.33,3.0,4,0.666,0.6,0.3996,0.6312796208530805
4,Sys_IMF_ref_1,4.65,2.85,4,0.93,0.5700000000000001,0.5301000000000001,0.7068000000000002
4,Sys_IMF_ref_2,4.65,3.2,4,0.93,0.64,0.5952000000000001,0.7582165605095542
4,Sys_IMF_ref_3,4.65,2.85,4,0.93,0.5700000000000001,0.5301000000000001,0.7068000000000002
4,User_IMF_1,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
4,User_IMF_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
4,User_IMF_3,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
5,Sys_IMF_ref_1,4.15,2.0,7,0.8300000000000001,0.4,0.3320000000000001,0.5398373983739838
5,Sys_IMF_ref_2,4.12,2.0,7,0.8240000000000001,0.4,0.32960000000000006,0.538562091503268
5,Sys_IMF_ref_3,4.15,2.0,7,0.8300000000000001,0.4,0.3320000000000001,0.5398373983739838
5,User_IMF_1,3.64,2.0,7,0.728,0.4,0.2912,0.5163120567375886
5,User_IMF_2,3.64,2.0,7,0.728,0.4,0.2912,0.5163120567375886
5,User_IMF_3,4.55,2.0,7,0.9099999999999999,0.4,0.364,0.5557251908396946
6,Sys_IMF_ref_1,4.65,3.85,7,0.93,0.77,0.7161000000000001,0.8424705882352941
6,Sys_IMF_ref_2,4.15,1.5,7,0.8300000000000001,0.3,0.249,0.44070796460176986
6,Sys_IMF_ref_3,4.15,2.85,7,0.8300000000000001,0.5700000000000001,0.4731000000000001,0.6758571428571429
6,User_IMF_1,4.44,4.0,7,0.8880000000000001,0.8,0.7104000000000001,0.8417061611374408
6,User_IMF_2,4.44,3.0,7,0.8880000000000001,0.6,0.5328,0.7161290322580646
6,User_IMF_3,4.44,3.0,7,0.8880000000000001,0.6,0.5328,0.7161290322580646
7,Sys_IMF_ref_1,2.85,1.5,7,0.5700000000000001,0.3,0.171,0.3931034482758621
7,Sys_IMF_ref_2,3.15,1.5,7,0.63,0.3,0.189,0.40645161290322585
7,Sys_IMF_ref_3,2.85,1.5,7,0.5700000000000001,0.3,0.171,0.3931034482758621
7,User_IMF_1,2.73,1.0,7,0.546,0.2,0.10920000000000002,0.29276139410187674
7,User_IMF_2,2.73,2.0,7,0.546,0.4,0.21840000000000004,0.46173361522198736
7,User_IMF_3,4.0,2.0,7,0.8,0.4,0.32000000000000006,0.5333333333333333
8,Sys_IMF_ref_1,3.82,1.5,7,0.764,0.3,0.2292,0.4308270676691729
8,Sys_IMF_ref_2,3.65,1.5,7,0.73,0.3,0.219,0.42524271844660194
8,Sys_IMF_ref_3,4.15,1.5,7,0.8300000000000001,0.3,0.249,0.44070796460176986
8,User_IMF_1,4.09,2.0,7,0.818,0.4,0.3272,0.5372742200328408
8,User_IMF_2,4.09,2.0,7,0.818,0.4,0.3272,0.5372742200328408
8,User_IMF_3,4.09,2.0,7,0.818,0.4,0.3272,0.5372742200328408
9,Sys_IMF_ref_1,4.12,1.5,7,0.8240000000000001,0.3,0.2472,0.43985765124555154
9,Sys_IMF_ref_2,3.85,1.5,7,0.77,0.3,0.23099999999999998,0.4317757009345794
9,Sys_IMF_ref_3,4.12,1.5,7,0.8240000000000001,0.3,0.2472,0.43985765124555154
9,User_IMF_1,5.0,2.0,7,1.0,0.4,0.4,0.5714285714285715
