image_id,source,alignment_score,artifact_score,class_id
0,Sys_IMFfdloss_ref_1,4.62,3.85,4
0,Sys_IMFfdloss_ref_2,4.62,3.85,4
0,Sys_IMFfdloss_ref_3,4.62,3.85,4
0,User_IMFfdloss_1,5.0,4.0,4
0,User_IMFfdloss_2,5.0,2.0,4
0,User_IMFfdloss_3,5.0,4.0,4
1,Sys_IMFfdloss_ref_1,4.65,3.85,4
1,Sys_IMFfdloss_ref_2,4.65,3.82,4
1,Sys_IMFfdloss_ref_3,4.65,2.85,4
1,User_IMFfdloss_1,5.0,5.0,4
1,User_IMFfdloss_2,5.0,3.0,4
1,User_IMFfdloss_3,5.0,3.0,4
4,Sys_IMFfdloss_ref_1,4.85,3.65,4
4,Sys_IMFfdloss_ref_2,4.65,3.85,4
4,Sys_IMFfdloss_ref_3,4.65,3.85,4
4,User_IMFfdloss_1,5.0,4.0,4
4,User_IMFfdloss_2,5.0,4.0,4
4,User_IMFfdloss_3,5.0,4.0,4
6,Sys_IMFfdloss_ref_1,4.12,2.85,4
6,Sys_IMFfdloss_ref_2,4.15,2.85,4
6,Sys_IMFfdloss_ref_3,4.15,2.85,4
6,User_IMFfdloss_1,5.0,3.0,4
6,User_IMFfdloss_2,5.0,3.0,4
6,User_IMFfdloss_3,5.0,3.0,4
9,Sys_IMFfdloss_ref_1,4.65,3.85,4
9,Sys_IMFfdloss_ref_2,4.65,3.85,4
9,Sys_IMFfdloss_ref_3,4.85,3.65,4
9,User_IMFfdloss_1,5.0,4.0,4
9,User_IMFfdloss_2,5.0,4.0,4
9,User_IMFfdloss_3,5.0,4.0,4
11,Sys_IMFfdloss_ref_1,4.65,1.5,7
11,Sys_IMFfdloss_ref_2,4.62,1.5,7
11,Sys_IMFfdloss_ref_3,3.85,1.5,7
11,User_IMFfdloss_1,4.55,3.0,7
11,User_IMFfdloss_2,4.55,3.0,7
11,User_IMFfdloss_3,4.55,3.0,7
12,Sys_IMFfdloss_ref_1,3.42,3.85,7
12,Sys_IMFfdloss_ref_2,4.12,3.85,7
12,Sys_IMFfdloss_ref_3,3.42,2.85,7
12,User_IMFfdloss_1,4.17,4.0,7
12,User_IMFfdloss_2,4.0,4.0,7
12,User_IMFfdloss_3,3.33,4.0,7
13,Sys_IMFfdloss_ref_1,3.85,1.5,7
13,Sys_IMFfdloss_ref_2,4.12,1.5,7
13,Sys_IMFfdloss_ref_3,4.12,1.5,7
13,User_IMFfdloss_1,4.09,3.0,7
13,User_IMFfdloss_2,4.55,3.0,7
13,User_IMFfdloss_3,4.09,2.0,7
14,Sys_IMFfdloss_ref_1,3.42,1.5,7
14,Sys_IMFfdloss_ref_2,4.62,1.5,7
14,Sys_IMFfdloss_ref_3,4.15,1.5,7
14,User_IMFfdloss_1,4.55,2.0,7
14,User_IMFfdloss_2,4.55,3.0,7
14,User_IMFfdloss_3,4.09,2.0,7
18,Sys_IMFfdloss_ref_1,4.68,3.85,7
18,Sys_IMFfdloss_ref_2,4.85,4.92,7
18,Sys_IMFfdloss_ref_3,4.68,3.85,7
18,User_IMFfdloss_1,5.0,4.0,7
18,User_IMFfdloss_2,5.0,4.0,7
18,User_IMFfdloss_3,5.0,4.0,7
20,Sys_IMFfdloss_ref_1,4.85,4.15,10
20,Sys_IMFfdloss_ref_2,4.92,4.85,10
20,Sys_IMFfdloss_ref_3,4.85,4.92,10
20,User_IMFfdloss_1,4.0,5.0,10
20,User_IMFfdloss_2,4.0,5.0,10
20,User_IMFfdloss_3,4.0,5.0,10
21,Sys_IMFfdloss_ref_1,2.85,1.5,10
21,Sys_IMFfdloss_ref_2,4.35,4.12,10
21,Sys_IMFfdloss_ref_3,4.12,3.85,10
21,User_IMFfdloss_1,4.44,4.0,10
21,User_IMFfdloss_2,4.44,2.0,10
21,User_IMFfdloss_3,4.44,4.0,10
26,Sys_IMFfdloss_ref_1,4.82,3.65,10
26,Sys_IMFfdloss_ref_2,4.85,4.92,10
26,Sys_IMFfdloss_ref_3,4.82,3.65,10
26,User_IMFfdloss_1,3.89,4.0,10
26,User_IMFfdloss_2,3.89,4.0,10
26,User_IMFfdloss_3,3.89,4.0,10
27,Sys_IMFfdloss_ref_1,4.68,2.0,10
27,Sys_IMFfdloss_ref_2,4.82,2.0,10
27,Sys_IMFfdloss_ref_3,4.85,2.0,10
27,User_IMFfdloss_1,4.0,4.0,10
27,User_IMFfdloss_2,5.0,4.0,10
27,User_IMFfdloss_3,3.89,4.0,10
29,Sys_IMFfdloss_ref_1,5.0,5.0,10
