score_type,source_1,source_2,n_common_images,pearson_r,pearson_p,spearman_r,spearman_p,icc_2_1_absolute_agreement,icc_3_1_consistency
alignment_score,Sys_IMFfdloss_ref_1,Sys_IMFfdloss_ref_2,500,0.8316,0.0,0.7625,0.0,0.8312,0.8313
alignment_score,Sys_IMFfdloss_ref_1,Sys_IMFfdloss_ref_3,337,0.7857,0.0,0.7187,0.0,0.784,0.7837
alignment_score,Sys_IMFfdloss_ref_1,User_IMFfdloss_1,500,0.6754,0.0,0.5787,0.0,0.6695,0.6719
alignment_score,Sys_IMFfdloss_ref_1,User_IMFfdloss_2,500,0.6718,0.0,0.5788,0.0,0.6658,0.6682
alignment_score,Sys_IMFfdloss_ref_1,User_IMFfdloss_3,499,0.7132,0.0,0.6099,0.0,0.7068,0.7107
alignment_score,Sys_IMFfdloss_ref_2,Sys_IMFfdloss_ref_3,337,0.8174,0.0,0.7195,0.0,0.8171,0.8174
alignment_score,Sys_IMFfdloss_ref_2,User_IMFfdloss_1,500,0.6857,0.0,0.5978,0.0,0.679,0.6799
alignment_score,Sys_IMFfdloss_ref_2,User_IMFfdloss_2,500,0.6579,0.0,0.5556,0.0,0.6514,0.6522
alignment_score,Sys_IMFfdloss_ref_2,User_IMFfdloss_3,499,0.6812,0.0,0.6135,0.0,0.6751,0.677
alignment_score,Sys_IMFfdloss_ref_3,User_IMFfdloss_1,337,0.6055,0.0,0.5031,0.0,0.5941,0.5953
alignment_score,Sys_IMFfdloss_ref_3,User_IMFfdloss_2,337,0.6491,0.0,0.5225,0.0,0.6394,0.6399
alignment_score,Sys_IMFfdloss_ref_3,User_IMFfdloss_3,336,0.6387,0.0,0.5293,0.0,0.6285,0.6313
alignment_score,User_IMFfdloss_1,User_IMFfdloss_2,500,0.8058,0.0,0.7988,0.0,0.8061,0.8058
alignment_score,User_IMFfdloss_1,User_IMFfdloss_3,499,0.8428,0.0,0.8118,0.0,0.8428,0.8427
alignment_score,User_IMFfdloss_2,User_IMFfdloss_3,499,0.7981,0.0,0.7915,0.0,0.7982,0.7979
authenticity_score,Sys_IMFfdloss_ref_1,Sys_IMFfdloss_ref_2,500,0.7095,0.0,0.7038,0.0,0.7097,0.7095
authenticity_score,Sys_IMFfdloss_ref_1,Sys_IMFfdloss_ref_3,337,0.7082,0.0,0.6923,0.0,0.7087,0.7082
authenticity_score,Sys_IMFfdloss_ref_1,User_IMFfdloss_1,500,0.6392,0.0,0.6308,0.0,0.6189,0.6392
authenticity_score,Sys_IMFfdloss_ref_1,User_IMFfdloss_2,500,0.652,0.0,0.6487,0.0,0.6421,0.6519
authenticity_score,Sys_IMFfdloss_ref_1,User_IMFfdloss_3,499,0.6464,0.0,0.6381,0.0,0.6317,0.6463
authenticity_score,Sys_IMFfdloss_ref_2,Sys_IMFfdloss_ref_3,337,0.7451,0.0,0.7254,0.0,0.7455,0.7449
authenticity_score,Sys_IMFfdloss_ref_2,User_IMFfdloss_1,500,0.6938,0.0,0.6969,0.0,0.6674,0.6936
authenticity_score,Sys_IMFfdloss_ref_2,User_IMFfdloss_2,500,0.619,0.0,0.62,0.0,0.607,0.619
authenticity_score,Sys_IMFfdloss_ref_2,User_IMFfdloss_3,499,0.6517,0.0,0.6465,0.0,0.6327,0.6514
authenticity_score,Sys_IMFfdloss_ref_3,User_IMFfdloss_1,337,0.6391,0.0,0.6282,0.0,0.6077,0.6391
authenticity_score,Sys_IMFfdloss_ref_3,User_IMFfdloss_2,337,0.6224,0.0,0.6117,0.0,0.6057,0.6217
authenticity_score,Sys_IMFfdloss_ref_3,User_IMFfdloss_3,336,0.6327,0.0,0.6182,0.0,0.6114,0.6327
authenticity_score,User_IMFfdloss_1,User_IMFfdloss_2,500,0.6968,0.0,0.681,0.0,0.6947,0.6966
authenticity_score,User_IMFfdloss_1,User_IMFfdloss_3,499,0.6987,0.0,0.6778,0.0,0.6987,0.6987
authenticity_score,User_IMFfdloss_2,User_IMFfdloss_3,499,0.7384,0.0,0.7236,0.0,0.7377,0.7381
