source,alignment_norm,authenticity_norm,composite_product,composite_harmonic,alignment_norm_std,alignment_norm_se,alignment_norm_ci_low,alignment_norm_ci_high,authenticity_norm_std,authenticity_norm_se,authenticity_norm_ci_low,authenticity_norm_ci_high,composite_product_std,composite_product_se,composite_product_ci_low,composite_product_ci_high,composite_harmonic_std,composite_harmonic_se,composite_harmonic_ci_low,composite_harmonic_ci_high,composite_product_x_vendi_ratio,composite_product_x_vendi_ratio_std,composite_product_x_vendi_ratio_se,composite_product_x_vendi_ratio_ci_low,composite_product_x_vendi_ratio_ci_high,composite_product_x_vendi_ratio_train,composite_product_x_vendi_ratio_train_std,composite_product_x_vendi_ratio_train_se,composite_product_x_vendi_ratio_train_ci_low,composite_product_x_vendi_ratio_train_ci_high,composite_harmonic_x_vendi_ratio,composite_harmonic_x_vendi_ratio_std,composite_harmonic_x_vendi_ratio_se,composite_harmonic_x_vendi_ratio_ci_low,composite_harmonic_x_vendi_ratio_ci_high,composite_harmonic_x_vendi_ratio_train,composite_harmonic_x_vendi_ratio_train_std,composite_harmonic_x_vendi_ratio_train_se,composite_harmonic_x_vendi_ratio_train_ci_low,composite_harmonic_x_vendi_ratio_train_ci_high,composite_product_x_MEAN_VENDI_RATIO,composite_harmonic_x_MEAN_VENDI_RATIO,composite_product_x_MEAN_VENDI_RATIO_TRAIN,composite_harmonic_x_MEAN_VENDI_RATIO_TRAIN
Sys_IMFfdloss_ref_1,0.7724,0.5828,0.4772,0.6375,0.1444,0.0144,0.7438,0.801,0.1411,0.0141,0.5548,0.6108,0.1645,0.0165,0.4446,0.5098,0.1383,0.0138,0.61,0.665,0.5203,0.3809,0.0381,0.4447,0.5959,0.4288,0.1546,0.0155,0.3981,0.4595,0.7065,0.4917,0.0492,0.6089,0.8041,0.5738,0.1407,0.0141,0.5459,0.6017,0.5419,0.7239,0.4297,0.5741
Sys_IMFfdloss_ref_2,0.7792,0.5778,0.4729,0.6346,0.1514,0.0151,0.7492,0.8092,0.1492,0.0149,0.5482,0.6074,0.1678,0.0168,0.4396,0.5062,0.1462,0.0146,0.6056,0.6636,0.5218,0.4009,0.0401,0.4422,0.6014,0.4257,0.1582,0.0158,0.3943,0.4571,0.7099,0.5173,0.0517,0.6073,0.8125,0.5715,0.146,0.0146,0.5425,0.6005,0.537,0.7206,0.4259,0.5715
Sys_IMFfdloss_ref_3,0.7968,0.5922,0.4944,0.6558,0.1372,0.0156,0.7656,0.8279,0.1507,0.0172,0.558,0.6264,0.1793,0.0204,0.4537,0.5351,0.1391,0.0158,0.6243,0.6874,0.5425,0.4085,0.0466,0.4498,0.6352,0.4477,0.1644,0.0187,0.4103,0.485,0.7351,0.5162,0.0588,0.6179,0.8522,0.5953,0.1392,0.0159,0.5637,0.6269,0.5614,0.7448,0.4452,0.5906
User_IMFfdloss_1,0.7967,0.6416,0.5342,0.6743,0.1817,0.0182,0.7607,0.8327,0.15,0.015,0.6118,0.6714,0.1888,0.0189,0.4967,0.5717,0.1674,0.0167,0.6411,0.7075,0.5876,0.4435,0.0444,0.4996,0.6756,0.4825,0.1805,0.0181,0.4467,0.5183,0.7498,0.5334,0.0533,0.644,0.8556,0.6095,0.1709,0.0171,0.5756,0.6434,0.6066,0.7657,0.4811,0.6072
User_IMFfdloss_2,0.7966,0.6232,0.518,0.6617,0.1804,0.018,0.7608,0.8324,0.1411,0.0141,0.5952,0.6512,0.1788,0.0179,0.4825,0.5535,0.1628,0.0163,0.6294,0.694,0.5787,0.4604,0.046,0.4874,0.67,0.4659,0.1698,0.017,0.4322,0.4996,0.7431,0.5543,0.0554,0.6331,0.8531,0.5968,0.1632,0.0163,0.5644,0.6292,0.5882,0.7514,0.4665,0.5959
User_IMFfdloss_3,0.8005,0.6326,0.528,0.6695,0.1812,0.0181,0.7645,0.8365,0.1451,0.0145,0.6038,0.6614,0.1811,0.0181,0.4921,0.5639,0.1619,0.0162,0.6374,0.7016,0.5857,0.4518,0.0452,0.4961,0.6753,0.4765,0.1726,0.0173,0.4423,0.5107,0.7487,0.5409,0.0541,0.6414,0.856,0.605,0.1645,0.0164,0.5724,0.6376,0.5996,0.7603,0.4755,0.6029
Sys_IMFfdloss_ref_500_AVG_STATS,0.7828,0.5843,0.4815,0.6426,0.1443,0.015,0.7529,0.8127,0.147,0.0154,0.5537,0.6149,0.1705,0.0179,0.446,0.517,0.1412,0.0147,0.6133,0.672,0.5282,0.3968,0.0416,0.4456,0.6108,0.4341,0.1591,0.0167,0.4009,0.4672,0.7172,0.5084,0.0532,0.6114,0.8229,0.5802,0.142,0.0149,0.5507,0.6097,0.5468,0.7298,0.4336,0.5787
Sys_IMFfdloss_ref_500_AVG_PERCLASS,0.7782,0.5821,0.4783,0.639,0.1444,0.0144,0.7495,0.8068,0.1413,0.0141,0.5541,0.6102,0.1656,0.0166,0.4454,0.5111,0.1402,0.014,0.6111,0.6668,0.5235,0.3913,0.0391,0.4459,0.6012,0.4298,0.1548,0.0155,0.3991,0.4605,0.7109,0.5047,0.0505,0.6107,0.811,0.5752,0.1412,0.0141,0.5472,0.6032,0.5431,0.7256,0.4307,0.5754
Human_IMFfdloss_500_AVG_STATS,0.7979,0.6325,0.5267,0.6685,0.1811,0.0181,0.762,0.8339,0.1454,0.0145,0.6036,0.6613,0.1829,0.0183,0.4904,0.563,0.164,0.0164,0.636,0.701,0.584,0.4519,0.0452,0.4944,0.6736,0.475,0.1743,0.0175,0.4404,0.5095,0.7472,0.5429,0.0543,0.6395,0.8549,0.6038,0.1662,0.0166,0.5708,0.6367,0.5981,0.7591,0.4744,0.602
Human_IMFfdloss_500_AVG_PERCLASS,0.7979,0.6325,0.5267,0.6685,0.1756,0.0176,0.7631,0.8328,0.1366,0.0137,0.6054,0.6596,0.1763,0.0176,0.4918,0.5617,0.1584,0.0158,0.6371,0.6999,0.584,0.4464,0.0446,0.4954,0.6726,0.475,0.1688,0.0169,0.4415,0.5085,0.7472,0.5392,0.0539,0.6402,0.8542,0.6038,0.1618,0.0162,0.5717,0.6359,0.5981,0.7591,0.4744,0.602
