image_id,source,alignment_score,artifact_score
0,Sys_IMFfdloss_ref_1,4.62,3.85
0,Sys_IMFfdloss_ref_2,4.62,3.85
0,Sys_IMFfdloss_ref_3,4.62,3.85
0,User_IMFfdloss_1,5.0,4.0
0,User_IMFfdloss_2,5.0,2.0
0,User_IMFfdloss_3,5.0,4.0
1,Sys_IMFfdloss_ref_1,4.65,3.85
1,Sys_IMFfdloss_ref_2,4.65,3.82
1,Sys_IMFfdloss_ref_3,4.65,2.85
1,User_IMFfdloss_1,5.0,5.0
1,User_IMFfdloss_2,5.0,3.0
1,User_IMFfdloss_3,5.0,3.0
2,Sys_IMFfdloss_ref_1,4.85,3.65
2,Sys_IMFfdloss_ref_2,4.15,3.65
2,Sys_IMFfdloss_ref_3,4.12,2.85
2,User_IMFfdloss_1,5.0,4.0
2,User_IMFfdloss_2,5.0,3.0
2,User_IMFfdloss_3,5.0,4.0
3,Sys_IMFfdloss_ref_1,4.65,3.85
3,Sys_IMFfdloss_ref_2,4.62,3.85
3,Sys_IMFfdloss_ref_3,4.15,3.65
3,User_IMFfdloss_1,5.0,4.0
3,User_IMFfdloss_2,5.0,4.0
3,User_IMFfdloss_3,5.0,4.0
4,Sys_IMFfdloss_ref_1,4.85,3.65
4,Sys_IMFfdloss_ref_2,4.65,3.85
4,Sys_IMFfdloss_ref_3,4.65,3.85
4,User_IMFfdloss_1,5.0,4.0
4,User_IMFfdloss_2,5.0,4.0
4,User_IMFfdloss_3,5.0,4.0
5,Sys_IMFfdloss_ref_1,4.68,3.85
5,Sys_IMFfdloss_ref_2,4.68,3.85
5,Sys_IMFfdloss_ref_3,4.85,4.92
5,User_IMFfdloss_1,5.0,4.0
5,User_IMFfdloss_2,5.0,5.0
5,User_IMFfdloss_3,5.0,5.0
6,Sys_IMFfdloss_ref_1,4.12,2.85
6,Sys_IMFfdloss_ref_2,4.15,2.85
6,Sys_IMFfdloss_ref_3,4.15,2.85
6,User_IMFfdloss_1,5.0,3.0
6,User_IMFfdloss_2,5.0,3.0
6,User_IMFfdloss_3,5.0,3.0
7,Sys_IMFfdloss_ref_1,3.85,2.9
7,Sys_IMFfdloss_ref_2,2.85,2.1
7,Sys_IMFfdloss_ref_3,2.15,1.85
7,User_IMFfdloss_1,5.0,2.0
7,User_IMFfdloss_2,4.44,2.0
7,User_IMFfdloss_3,4.44,2.0
8,Sys_IMFfdloss_ref_1,3.65,1.85
8,Sys_IMFfdloss_ref_2,4.12,1.85
8,Sys_IMFfdloss_ref_3,3.85,1.25
8,User_IMFfdloss_1,4.29,1.0
8,User_IMFfdloss_2,5.0,2.0
8,User_IMFfdloss_3,5.0,2.0
9,Sys_IMFfdloss_ref_1,4.65,3.85
9,Sys_IMFfdloss_ref_2,4.65,3.85
9,Sys_IMFfdloss_ref_3,4.85,3.65
9,User_IMFfdloss_1,5.0,4.0
9,User_IMFfdloss_2,5.0,4.0
9,User_IMFfdloss_3,5.0,4.0
10,Sys_IMFfdloss_ref_1,4.15,2.85
10,Sys_IMFfdloss_ref_2,4.15,2.85
10,Sys_IMFfdloss_ref_3,4.12,3.85
10,User_IMFfdloss_1,4.5,3.0
10,User_IMFfdloss_2,4.0,3.0
10,User_IMFfdloss_3,4.5,3.0
11,Sys_IMFfdloss_ref_1,4.65,1.5
11,Sys_IMFfdloss_ref_2,4.62,1.5
11,Sys_IMFfdloss_ref_3,3.85,1.5
11,User_IMFfdloss_1,4.55,3.0
11,User_IMFfdloss_2,4.55,3.0
11,User_IMFfdloss_3,4.55,3.0
12,Sys_IMFfdloss_ref_1,3.42,3.85
12,Sys_IMFfdloss_ref_2,4.12,3.85
12,Sys_IMFfdloss_ref_3,3.42,2.85
12,User_IMFfdloss_1,4.17,4.0
12,User_IMFfdloss_2,4.0,4.0
12,User_IMFfdloss_3,3.33,4.0
13,Sys_IMFfdloss_ref_1,3.85,1.5
13,Sys_IMFfdloss_ref_2,4.12,1.5
13,Sys_IMFfdloss_ref_3,4.12,1.5
13,User_IMFfdloss_1,4.09,3.0
13,User_IMFfdloss_2,4.55,3.0
13,User_IMFfdloss_3,4.09,2.0
14,Sys_IMFfdloss_ref_1,3.42,1.5
14,Sys_IMFfdloss_ref_2,4.62,1.5
14,Sys_IMFfdloss_ref_3,4.15,1.5
14,User_IMFfdloss_1,4.55,2.0
14,User_IMFfdloss_2,4.55,3.0
14,User_IMFfdloss_3,4.09,2.0
15,Sys_IMFfdloss_ref_1,4.65,2.0
15,Sys_IMFfdloss_ref_2,4.62,2.0
15,Sys_IMFfdloss_ref_3,4.62,2.0
15,User_IMFfdloss_1,5.0,2.0
15,User_IMFfdloss_2,5.0,4.0
15,User_IMFfdloss_3,5.0,4.0
16,Sys_IMFfdloss_ref_1,3.42,2.0
16,Sys_IMFfdloss_ref_2,3.85,2.0
16,Sys_IMFfdloss_ref_3,3.85,2.0
16,User_IMFfdloss_1,3.5,2.0
16,User_IMFfdloss_2,3.5,2.0
16,User_IMFfdloss_3,3.64,3.0
17,Sys_IMFfdloss_ref_1,4.65,3.85
17,Sys_IMFfdloss_ref_2,4.85,3.6
17,Sys_IMFfdloss_ref_3,4.85,4.62
17,User_IMFfdloss_1,5.0,4.0
17,User_IMFfdloss_2,5.0,4.0
17,User_IMFfdloss_3,5.0,5.0
18,Sys_IMFfdloss_ref_1,4.68,3.85
18,Sys_IMFfdloss_ref_2,4.85,4.92
18,Sys_IMFfdloss_ref_3,4.68,3.85
18,User_IMFfdloss_1,5.0,4.0
18,User_IMFfdloss_2,5.0,4.0
18,User_IMFfdloss_3,5.0,4.0
19,Sys_IMFfdloss_ref_1,4.65,4.2
19,Sys_IMFfdloss_ref_2,4.85,4.92
19,Sys_IMFfdloss_ref_3,4.15,3.85
19,User_IMFfdloss_1,4.0,4.0
19,User_IMFfdloss_2,4.0,4.0
19,User_IMFfdloss_3,4.0,5.0
20,Sys_IMFfdloss_ref_1,4.85,4.15
20,Sys_IMFfdloss_ref_2,4.92,4.85
20,Sys_IMFfdloss_ref_3,4.85,4.92
20,User_IMFfdloss_1,4.0,5.0
20,User_IMFfdloss_2,4.0,5.0
20,User_IMFfdloss_3,4.0,5.0
21,Sys_IMFfdloss_ref_1,2.85,1.5
21,Sys_IMFfdloss_ref_2,4.35,4.12
21,Sys_IMFfdloss_ref_3,4.12,3.85
21,User_IMFfdloss_1,4.44,4.0
21,User_IMFfdloss_2,4.44,2.0
21,User_IMFfdloss_3,4.44,4.0
22,Sys_IMFfdloss_ref_1,4.85,4.92
22,Sys_IMFfdloss_ref_2,4.85,4.72
22,Sys_IMFfdloss_ref_3,4.85,4.75
22,User_IMFfdloss_1,4.0,5.0
22,User_IMFfdloss_2,4.0,4.0
22,User_IMFfdloss_3,4.0,5.0
23,Sys_IMFfdloss_ref_1,4.82,2.0
23,Sys_IMFfdloss_ref_2,4.85,3.6
23,Sys_IMFfdloss_ref_3,4.82,3.65
23,User_IMFfdloss_1,4.0,5.0
23,User_IMFfdloss_2,3.89,5.0
23,User_IMFfdloss_3,3.89,5.0
24,Sys_IMFfdloss_ref_1,4.82,4.15
24,Sys_IMFfdloss_ref_2,4.85,4.92
24,Sys_IMFfdloss_ref_3,4.65,4.2
24,User_IMFfdloss_1,4.0,4.0
24,User_IMFfdloss_2,4.0,4.0
24,User_IMFfdloss_3,4.0,4.0
25,Sys_IMFfdloss_ref_1,4.85,3.92
25,Sys_IMFfdloss_ref_2,4.82,3.65
25,Sys_IMFfdloss_ref_3,4.12,3.65
25,User_IMFfdloss_1,3.89,4.0
25,User_IMFfdloss_2,3.89,4.0
25,User_IMFfdloss_3,3.89,4.0
26,Sys_IMFfdloss_ref_1,4.82,3.65
26,Sys_IMFfdloss_ref_2,4.85,4.92
26,Sys_IMFfdloss_ref_3,4.82,3.65
26,User_IMFfdloss_1,3.89,4.0
26,User_IMFfdloss_2,3.89,4.0
26,User_IMFfdloss_3,3.89,4.0
27,Sys_IMFfdloss_ref_1,4.68,2.0
27,Sys_IMFfdloss_ref_2,4.82,2.0
27,Sys_IMFfdloss_ref_3,4.85,2.0
27,User_IMFfdloss_1,4.0,4.0
27,User_IMFfdloss_2,5.0,4.0
27,User_IMFfdloss_3,3.89,4.0
28,Sys_IMFfdloss_ref_1,4.85,4.92
28,Sys_IMFfdloss_ref_2,4.85,4.6
28,Sys_IMFfdloss_ref_3,4.85,4.92
28,User_IMFfdloss_1,4.0,5.0
28,User_IMFfdloss_2,4.0,4.0
28,User_IMFfdloss_3,4.0,5.0
29,Sys_IMFfdloss_ref_1,5.0,5.0
29,Sys_IMFfdloss_ref_2,3.82,3.65
29,Sys_IMFfdloss_ref_3,4.92,4.85
29,User_IMFfdloss_1,3.33,5.0
29,User_IMFfdloss_2,4.0,5.0
29,User_IMFfdloss_3,3.33,5.0
30,Sys_IMFfdloss_ref_1,3.65,1.5
30,Sys_IMFfdloss_ref_2,4.82,4.75
30,Sys_IMFfdloss_ref_3,4.65,3.85
30,User_IMFfdloss_1,4.17,4.0
30,User_IMFfdloss_2,4.17,2.0
30,User_IMFfdloss_3,4.17,4.0
31,Sys_IMFfdloss_ref_1,4.85,1.5
31,Sys_IMFfdloss_ref_2,4.85,4.92
31,Sys_IMFfdloss_ref_3,4.65,3.85
31,User_IMFfdloss_1,5.0,2.0
31,User_IMFfdloss_2,5.0,4.0
31,User_IMFfdloss_3,5.0,4.0
32,Sys_IMFfdloss_ref_1,3.42,2.85
32,Sys_IMFfdloss_ref_2,3.42,3.85
32,Sys_IMFfdloss_ref_3,3.82,3.45
32,User_IMFfdloss_1,4.17,5.0
32,User_IMFfdloss_2,4.17,4.0
32,User_IMFfdloss_3,5.0,5.0
33,Sys_IMFfdloss_ref_1,2.85,3.6
33,Sys_IMFfdloss_ref_2,2.85,2.9
33,Sys_IMFfdloss_ref_3,4.65,3.85
33,User_IMFfdloss_1,4.0,3.0
33,User_IMFfdloss_2,3.0,3.0
33,User_IMFfdloss_3,2.5,4.0
34,Sys_IMFfdloss_ref_1,3.85,1.5
34,Sys_IMFfdloss_ref_2,4.85,4.92
34,Sys_IMFfdloss_ref_3,4.92,4.88
34,User_IMFfdloss_1,5.0,4.0
34,User_IMFfdloss_2,5.0,4.0
34,User_IMFfdloss_3,5.0,4.0
35,Sys_IMFfdloss_ref_1,3.82,2.15
35,Sys_IMFfdloss_ref_2,4.85,3.2
35,Sys_IMFfdloss_ref_3,3.85,2.15
35,User_IMFfdloss_1,5.0,4.0
35,User_IMFfdloss_2,4.0,2.0
35,User_IMFfdloss_3,4.0,3.0
36,Sys_IMFfdloss_ref_1,4.65,3.85
36,Sys_IMFfdloss_ref_2,4.82,1.5
36,Sys_IMFfdloss_ref_3,4.15,2.85
36,User_IMFfdloss_1,5.0,2.0
36,User_IMFfdloss_2,5.0,2.0
36,User_IMFfdloss_3,5.0,4.0
37,Sys_IMFfdloss_ref_1,3.45,2.15
37,Sys_IMFfdloss_ref_2,2.85,2.1
37,Sys_IMFfdloss_ref_3,2.85,1.5
37,User_IMFfdloss_1,3.0,2.0
37,User_IMFfdloss_2,3.0,3.0
37,User_IMFfdloss_3,3.0,3.0
38,Sys_IMFfdloss_ref_1,4.12,1.5
38,Sys_IMFfdloss_ref_2,4.12,1.5
38,Sys_IMFfdloss_ref_3,3.65,1.5
38,User_IMFfdloss_1,5.0,2.0
38,User_IMFfdloss_2,4.17,2.0
38,User_IMFfdloss_3,5.0,3.0
39,Sys_IMFfdloss_ref_1,4.85,4.92
39,Sys_IMFfdloss_ref_2,4.85,4.92
39,Sys_IMFfdloss_ref_3,4.85,4.92
39,User_IMFfdloss_1,5.0,5.0
39,User_IMFfdloss_2,5.0,5.0
39,User_IMFfdloss_3,5.0,5.0
40,Sys_IMFfdloss_ref_1,3.42,3.85
40,Sys_IMFfdloss_ref_2,4.12,3.65
40,Sys_IMFfdloss_ref_3,3.85,3.2
40,User_IMFfdloss_1,3.0,4.0
40,User_IMFfdloss_2,4.0,4.0
40,User_IMFfdloss_3,4.0,2.0
41,Sys_IMFfdloss_ref_1,3.42,3.85
41,Sys_IMFfdloss_ref_2,3.42,2.85
41,Sys_IMFfdloss_ref_3,3.42,2.85
41,User_IMFfdloss_1,3.0,3.0
41,User_IMFfdloss_2,3.0,4.0
41,User_IMFfdloss_3,3.0,3.0
42,Sys_IMFfdloss_ref_1,4.65,3.85
42,Sys_IMFfdloss_ref_2,4.85,4.2
42,Sys_IMFfdloss_ref_3,4.85,4.92
42,User_IMFfdloss_1,5.0,4.0
42,User_IMFfdloss_2,4.0,5.0
42,User_IMFfdloss_3,5.0,4.0
43,Sys_IMFfdloss_ref_1,4.65,3.85
43,Sys_IMFfdloss_ref_2,4.12,2.85
43,Sys_IMFfdloss_ref_3,4.12,2.85
43,User_IMFfdloss_1,4.0,4.0
43,User_IMFfdloss_2,4.0,4.0
43,User_IMFfdloss_3,4.0,3.0
44,Sys_IMFfdloss_ref_1,1.85,2.9
44,Sys_IMFfdloss_ref_2,2.85,3.65
44,Sys_IMFfdloss_ref_3,2.15,2.85
44,User_IMFfdloss_1,5.0,4.0
44,User_IMFfdloss_2,3.0,2.0
44,User_IMFfdloss_3,3.0,2.0
45,Sys_IMFfdloss_ref_1,4.65,2.85
45,Sys_IMFfdloss_ref_2,4.65,2.85
45,Sys_IMFfdloss_ref_3,4.65,2.85
45,User_IMFfdloss_1,5.0,3.0
45,User_IMFfdloss_2,3.75,3.0
45,User_IMFfdloss_3,3.75,3.0
46,Sys_IMFfdloss_ref_1,4.12,2.85
46,Sys_IMFfdloss_ref_2,4.12,3.85
46,Sys_IMFfdloss_ref_3,3.42,2.0
46,User_IMFfdloss_1,5.0,4.0
46,User_IMFfdloss_2,5.0,4.0
46,User_IMFfdloss_3,5.0,4.0
47,Sys_IMFfdloss_ref_1,3.62,3.85
47,Sys_IMFfdloss_ref_2,3.85,3.6
47,Sys_IMFfdloss_ref_3,3.65,3.85
47,User_IMFfdloss_1,5.0,3.0
47,User_IMFfdloss_2,5.0,4.0
47,User_IMFfdloss_3,5.0,3.0
48,Sys_IMFfdloss_ref_1,4.15,2.0
48,Sys_IMFfdloss_ref_2,4.15,2.0
48,Sys_IMFfdloss_ref_3,4.12,2.0
48,User_IMFfdloss_1,5.0,4.0
48,User_IMFfdloss_2,5.0,3.0
48,User_IMFfdloss_3,5.0,3.0
49,Sys_IMFfdloss_ref_1,4.15,3.85
49,Sys_IMFfdloss_ref_2,4.12,3.85
49,Sys_IMFfdloss_ref_3,3.45,3.82
49,User_IMFfdloss_1,3.33,4.0
49,User_IMFfdloss_2,3.57,3.0
49,User_IMFfdloss_3,3.33,4.0
50,Sys_IMFfdloss_ref_1,4.92,4.85
50,Sys_IMFfdloss_ref_2,4.92,4.85
50,Sys_IMFfdloss_ref_3,4.85,4.92
50,User_IMFfdloss_1,5.0,5.0
50,User_IMFfdloss_2,5.0,5.0
50,User_IMFfdloss_3,5.0,5.0
51,Sys_IMFfdloss_ref_1,4.95,4.98
51,Sys_IMFfdloss_ref_2,4.92,4.95
51,Sys_IMFfdloss_ref_3,4.85,1.5
51,User_IMFfdloss_1,5.0,5.0
51,User_IMFfdloss_2,5.0,2.0
51,User_IMFfdloss_3,5.0,2.0
52,Sys_IMFfdloss_ref_1,4.12,3.65
52,Sys_IMFfdloss_ref_2,4.12,2.85
52,Sys_IMFfdloss_ref_3,4.15,3.62
52,User_IMFfdloss_1,5.0,4.0
52,User_IMFfdloss_2,4.17,4.0
52,User_IMFfdloss_3,4.17,4.0
53,Sys_IMFfdloss_ref_1,4.85,1.5
53,Sys_IMFfdloss_ref_2,4.98,4.95
53,Sys_IMFfdloss_ref_3,4.15,4.92
53,User_IMFfdloss_1,4.38,5.0
53,User_IMFfdloss_2,4.38,5.0
53,User_IMFfdloss_3,5.0,5.0
54,Sys_IMFfdloss_ref_1,3.42,1.5
54,Sys_IMFfdloss_ref_2,3.85,1.5
54,Sys_IMFfdloss_ref_3,4.15,3.85
54,User_IMFfdloss_1,3.89,2.0
54,User_IMFfdloss_2,5.0,4.0
54,User_IMFfdloss_3,3.89,2.0
55,Sys_IMFfdloss_ref_1,3.85,1.5
55,Sys_IMFfdloss_ref_2,3.85,4.12
