score_type,sys_group,human_group,sys_source,human_source,aggregation,n_common,threshold,n_positive,n_negative,auc
alignment_score,Sys_IMFfdloss_ref,Human_IMFfdloss,Sys_IMFfdloss_ref_1,User_IMFfdloss_1,individual,1000,4.38,544,456,0.816
alignment_score,Sys_IMFfdloss_ref,Human_IMFfdloss,Sys_IMFfdloss_ref_1,User_IMFfdloss_2,individual,1000,4.38,548,452,0.8053
alignment_score,Sys_IMFfdloss_ref,Human_IMFfdloss,Sys_IMFfdloss_ref_1,User_IMFfdloss_3,individual,999,4.38,549,450,0.8069
alignment_score,Sys_IMFfdloss_ref,Human_IMFfdloss,Sys_IMFfdloss_ref_2,User_IMFfdloss_1,individual,1000,4.38,544,456,0.8127
alignment_score,Sys_IMFfdloss_ref,Human_IMFfdloss,Sys_IMFfdloss_ref_2,User_IMFfdloss_2,individual,1000,4.38,548,452,0.7967
alignment_score,Sys_IMFfdloss_ref,Human_IMFfdloss,Sys_IMFfdloss_ref_2,User_IMFfdloss_3,individual,999,4.38,549,450,0.8174
alignment_score,Sys_IMFfdloss_ref,Human_IMFfdloss,Sys_IMFfdloss_ref_3,User_IMFfdloss_1,individual,672,4.38,372,300,0.7788
alignment_score,Sys_IMFfdloss_ref,Human_IMFfdloss,Sys_IMFfdloss_ref_3,User_IMFfdloss_2,individual,672,4.38,368,304,0.7592
alignment_score,Sys_IMFfdloss_ref,Human_IMFfdloss,Sys_IMFfdloss_ref_3,User_IMFfdloss_3,individual,671,4.38,379,292,0.774
artifact_score,Sys_IMFfdloss_ref,Human_IMFfdloss,Sys_IMFfdloss_ref_1,User_IMFfdloss_1,individual,1000,3.0,695,305,0.8313
artifact_score,Sys_IMFfdloss_ref,Human_IMFfdloss,Sys_IMFfdloss_ref_1,User_IMFfdloss_2,individual,1000,3.0,687,313,0.8181
artifact_score,Sys_IMFfdloss_ref,Human_IMFfdloss,Sys_IMFfdloss_ref_1,User_IMFfdloss_3,individual,999,3.0,674,325,0.8275
artifact_score,Sys_IMFfdloss_ref,Human_IMFfdloss,Sys_IMFfdloss_ref_2,User_IMFfdloss_1,individual,1000,3.0,695,305,0.8519
artifact_score,Sys_IMFfdloss_ref,Human_IMFfdloss,Sys_IMFfdloss_ref_2,User_IMFfdloss_2,individual,1000,3.0,687,313,0.8169
artifact_score,Sys_IMFfdloss_ref,Human_IMFfdloss,Sys_IMFfdloss_ref_2,User_IMFfdloss_3,individual,999,3.0,674,325,0.845
artifact_score,Sys_IMFfdloss_ref,Human_IMFfdloss,Sys_IMFfdloss_ref_3,User_IMFfdloss_1,individual,672,3.0,476,196,0.8167
artifact_score,Sys_IMFfdloss_ref,Human_IMFfdloss,Sys_IMFfdloss_ref_3,User_IMFfdloss_2,individual,672,3.0,476,196,0.8278
artifact_score,Sys_IMFfdloss_ref,Human_IMFfdloss,Sys_IMFfdloss_ref_3,User_IMFfdloss_3,individual,671,3.0,463,208,0.8403
alignment_score,Sys_IMFfdloss_ref,Human_IMFfdloss,Sys_IMFfdloss_ref (avg),Human_IMFfdloss (avg),group_avg,1000,4.38,526,474,0.847
artifact_score,Sys_IMFfdloss_ref,Human_IMFfdloss,Sys_IMFfdloss_ref (avg),Human_IMFfdloss (avg),group_avg,1000,3.3333,521,479,0.9039
