score_type,source_1,source_2,n_common_images,pearson_r,pearson_p,spearman_r,spearman_p,icc_2_1_absolute_agreement,icc_3_1_consistency
alignment_score,Sys_IMFfdloss_ref_1,Sys_IMFfdloss_ref_2,1000,0.8503,0.0,0.7876,0.0,0.8502,0.8503
alignment_score,Sys_IMFfdloss_ref_1,Sys_IMFfdloss_ref_3,672,0.8235,0.0,0.7428,0.0,0.823,0.8229
alignment_score,Sys_IMFfdloss_ref_1,User_IMFfdloss_1,1000,0.6811,0.0,0.6082,0.0,0.6752,0.6765
alignment_score,Sys_IMFfdloss_ref_1,User_IMFfdloss_2,1000,0.6715,0.0,0.5961,0.0,0.6655,0.6669
alignment_score,Sys_IMFfdloss_ref_1,User_IMFfdloss_3,999,0.6808,0.0,0.6048,0.0,0.6747,0.6767
alignment_score,Sys_IMFfdloss_ref_2,Sys_IMFfdloss_ref_3,672,0.8238,0.0,0.7291,0.0,0.8234,0.8234
alignment_score,Sys_IMFfdloss_ref_2,User_IMFfdloss_1,1000,0.6924,0.0,0.6063,0.0,0.6875,0.6879
alignment_score,Sys_IMFfdloss_ref_2,User_IMFfdloss_2,1000,0.6715,0.0,0.5815,0.0,0.6665,0.6671
alignment_score,Sys_IMFfdloss_ref_2,User_IMFfdloss_3,999,0.6659,0.0,0.6113,0.0,0.6611,0.6621
alignment_score,Sys_IMFfdloss_ref_3,User_IMFfdloss_1,672,0.6385,0.0,0.538,0.0,0.6281,0.6281
alignment_score,Sys_IMFfdloss_ref_3,User_IMFfdloss_2,672,0.6476,0.0,0.5176,0.0,0.6388,0.639
alignment_score,Sys_IMFfdloss_ref_3,User_IMFfdloss_3,671,0.6115,0.0,0.5241,0.0,0.6028,0.6036
alignment_score,User_IMFfdloss_1,User_IMFfdloss_2,1000,0.7976,0.0,0.803,0.0,0.7978,0.7976
alignment_score,User_IMFfdloss_1,User_IMFfdloss_3,999,0.8222,0.0,0.8211,0.0,0.8223,0.8222
alignment_score,User_IMFfdloss_2,User_IMFfdloss_3,999,0.7958,0.0,0.7908,0.0,0.7958,0.7957
artifact_score,Sys_IMFfdloss_ref_1,Sys_IMFfdloss_ref_2,1000,0.7146,0.0,0.7044,0.0,0.7147,0.7145
artifact_score,Sys_IMFfdloss_ref_1,Sys_IMFfdloss_ref_3,672,0.7173,0.0,0.6969,0.0,0.7175,0.7172
artifact_score,Sys_IMFfdloss_ref_1,User_IMFfdloss_1,1000,0.6523,0.0,0.6405,0.0,0.6339,0.6522
artifact_score,Sys_IMFfdloss_ref_1,User_IMFfdloss_2,1000,0.6449,0.0,0.6389,0.0,0.6309,0.6449
artifact_score,Sys_IMFfdloss_ref_1,User_IMFfdloss_3,999,0.6316,0.0,0.6219,0.0,0.62,0.6316
artifact_score,Sys_IMFfdloss_ref_2,Sys_IMFfdloss_ref_3,672,0.7369,0.0,0.7211,0.0,0.7371,0.7369
artifact_score,Sys_IMFfdloss_ref_2,User_IMFfdloss_1,1000,0.6893,0.0,0.6873,0.0,0.6699,0.6893
artifact_score,Sys_IMFfdloss_ref_2,User_IMFfdloss_2,1000,0.6404,0.0,0.6401,0.0,0.6264,0.6403
artifact_score,Sys_IMFfdloss_ref_2,User_IMFfdloss_3,999,0.6462,0.0,0.6426,0.0,0.634,0.6462
artifact_score,Sys_IMFfdloss_ref_3,User_IMFfdloss_1,672,0.6389,0.0,0.6265,0.0,0.6147,0.6388
artifact_score,Sys_IMFfdloss_ref_3,User_IMFfdloss_2,672,0.6383,0.0,0.6305,0.0,0.6182,0.6375
artifact_score,Sys_IMFfdloss_ref_3,User_IMFfdloss_3,671,0.6568,0.0,0.6473,0.0,0.6404,0.6566
artifact_score,User_IMFfdloss_1,User_IMFfdloss_2,1000,0.7064,0.0,0.6933,0.0,0.7061,0.7063
artifact_score,User_IMFfdloss_1,User_IMFfdloss_3,999,0.7072,0.0,0.6964,0.0,0.7066,0.7072
artifact_score,User_IMFfdloss_2,User_IMFfdloss_3,999,0.7118,0.0,0.7005,0.0,0.7118,0.7117
