source,alignment_norm,artifact_norm,composite_product,composite_harmonic,alignment_norm_std,alignment_norm_se,alignment_norm_ci_low,alignment_norm_ci_high,artifact_norm_std,artifact_norm_se,artifact_norm_ci_low,artifact_norm_ci_high,composite_product_std,composite_product_se,composite_product_ci_low,composite_product_ci_high,composite_harmonic_std,composite_harmonic_se,composite_harmonic_ci_low,composite_harmonic_ci_high,composite_product_x_vendi_ratio,composite_product_x_vendi_ratio_std,composite_product_x_vendi_ratio_se,composite_product_x_vendi_ratio_ci_low,composite_product_x_vendi_ratio_ci_high,composite_product_x_vendi_ratio_train,composite_product_x_vendi_ratio_train_std,composite_product_x_vendi_ratio_train_se,composite_product_x_vendi_ratio_train_ci_low,composite_product_x_vendi_ratio_train_ci_high,composite_harmonic_x_vendi_ratio,composite_harmonic_x_vendi_ratio_std,composite_harmonic_x_vendi_ratio_se,composite_harmonic_x_vendi_ratio_ci_low,composite_harmonic_x_vendi_ratio_ci_high,composite_harmonic_x_vendi_ratio_train,composite_harmonic_x_vendi_ratio_train_std,composite_harmonic_x_vendi_ratio_train_se,composite_harmonic_x_vendi_ratio_train_ci_low,composite_harmonic_x_vendi_ratio_train_ci_high,composite_product_x_MEAN_VENDI_RATIO,composite_harmonic_x_MEAN_VENDI_RATIO,composite_product_x_MEAN_VENDI_RATIO_TRAIN,composite_harmonic_x_MEAN_VENDI_RATIO_TRAIN
Sys_IMFfdloss_ref_1,0.77,0.58,0.48,0.64,0.14,0.01,0.74,0.8,0.14,0.01,0.55,0.61,0.16,0.02,0.44,0.51,0.14,0.01,0.61,0.66,0.52,0.38,0.04,0.44,0.6,0.43,0.15,0.02,0.4,0.46,0.71,0.49,0.05,0.61,0.8,0.57,0.14,0.01,0.55,0.6,0.54,0.72,0.43,0.57
Sys_IMFfdloss_ref_2,0.78,0.58,0.47,0.63,0.15,0.02,0.75,0.81,0.15,0.01,0.55,0.61,0.17,0.02,0.44,0.51,0.15,0.01,0.61,0.66,0.52,0.4,0.04,0.44,0.6,0.43,0.16,0.02,0.39,0.46,0.71,0.52,0.05,0.61,0.81,0.57,0.15,0.01,0.54,0.6,0.54,0.72,0.43,0.57
Sys_IMFfdloss_ref_3,0.8,0.59,0.49,0.66,0.14,0.02,0.77,0.83,0.15,0.02,0.56,0.63,0.18,0.02,0.45,0.54,0.14,0.02,0.62,0.69,0.54,0.41,0.05,0.45,0.64,0.45,0.16,0.02,0.41,0.48,0.74,0.52,0.06,0.62,0.85,0.6,0.14,0.02,0.56,0.63,0.56,0.74,0.45,0.59
User_IMFfdloss_1,0.8,0.64,0.53,0.67,0.18,0.02,0.76,0.83,0.15,0.01,0.61,0.67,0.19,0.02,0.5,0.57,0.17,0.02,0.64,0.71,0.59,0.44,0.04,0.5,0.68,0.48,0.18,0.02,0.45,0.52,0.75,0.53,0.05,0.64,0.86,0.61,0.17,0.02,0.58,0.64,0.61,0.77,0.48,0.61
User_IMFfdloss_2,0.8,0.62,0.52,0.66,0.18,0.02,0.76,0.83,0.14,0.01,0.6,0.65,0.18,0.02,0.48,0.55,0.16,0.02,0.63,0.69,0.58,0.46,0.05,0.49,0.67,0.47,0.17,0.02,0.43,0.5,0.74,0.55,0.06,0.63,0.85,0.6,0.16,0.02,0.56,0.63,0.59,0.75,0.47,0.6
User_IMFfdloss_3,0.8,0.63,0.53,0.67,0.18,0.02,0.76,0.84,0.15,0.01,0.6,0.66,0.18,0.02,0.49,0.56,0.16,0.02,0.64,0.7,0.59,0.45,0.05,0.5,0.68,0.48,0.17,0.02,0.44,0.51,0.75,0.54,0.05,0.64,0.86,0.6,0.16,0.02,0.57,0.64,0.6,0.76,0.48,0.6
Sys_IMFfdloss_ref_AVG_STATS,0.78,0.58,0.48,0.64,0.14,0.02,0.75,0.81,0.15,0.01,0.55,0.62,0.17,0.02,0.44,0.52,0.14,0.01,0.61,0.67,0.53,0.4,0.04,0.44,0.61,0.44,0.16,0.02,0.4,0.47,0.72,0.51,0.05,0.61,0.82,0.58,0.14,0.01,0.55,0.61,0.55,0.73,0.44,0.58
Sys_IMFfdloss_ref_AVG_PERCLASS,0.78,0.58,0.48,0.64,0.14,0.01,0.75,0.81,0.14,0.01,0.55,0.61,0.17,0.02,0.45,0.51,0.14,0.01,0.61,0.67,0.52,0.39,0.04,0.45,0.6,0.43,0.15,0.02,0.4,0.46,0.71,0.5,0.05,0.61,0.81,0.58,0.14,0.01,0.55,0.6,0.54,0.73,0.43,0.58
Human_IMFfdloss_AVG_STATS,0.8,0.63,0.53,0.67,0.18,0.02,0.76,0.83,0.15,0.01,0.6,0.66,0.18,0.02,0.49,0.56,0.16,0.02,0.64,0.7,0.59,0.45,0.05,0.5,0.68,0.48,0.17,0.02,0.44,0.51,0.75,0.54,0.05,0.64,0.86,0.6,0.16,0.02,0.57,0.64,0.6,0.76,0.48,0.6
Human_IMFfdloss_AVG_PERCLASS,0.8,0.63,0.53,0.67,0.18,0.02,0.76,0.83,0.14,0.01,0.61,0.66,0.18,0.02,0.49,0.56,0.16,0.02,0.64,0.7,0.58,0.45,0.04,0.5,0.67,0.47,0.17,0.02,0.44,0.51,0.75,0.54,0.05,0.64,0.85,0.6,0.16,0.02,0.57,0.64,0.6,0.76,0.47,0.6
