source,class_id,alignment_norm,artifact_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
Sys_IMFfdloss_ref_1,4,0.92,0.72,0.66,0.81,1.11,0.99,0.73,0.65,0.89,0.79
Sys_IMFfdloss_ref_1,7,0.8,0.49,0.39,0.57,0.52,0.77,0.21,0.3,0.3,0.44
Sys_IMFfdloss_ref_1,10,0.89,0.65,0.61,0.74,0.96,1.04,0.59,0.63,0.71,0.76
Sys_IMFfdloss_ref_1,25,0.76,0.5,0.38,0.58,1.11,0.83,0.43,0.32,0.64,0.48
Sys_IMFfdloss_ref_1,35,0.74,0.62,0.46,0.65,1.04,0.86,0.48,0.4,0.68,0.56
Sys_IMFfdloss_ref_1,39,0.85,0.52,0.46,0.61,0.8,0.94,0.37,0.43,0.49,0.57
Sys_IMFfdloss_ref_1,49,0.87,0.63,0.56,0.73,0.97,0.96,0.54,0.54,0.7,0.7
Sys_IMFfdloss_ref_1,51,0.95,0.79,0.76,0.84,0.85,0.93,0.65,0.7,0.72,0.78
Sys_IMFfdloss_ref_1,52,0.76,0.81,0.63,0.77,2.32,0.98,1.46,0.62,1.78,0.75
Sys_IMFfdloss_ref_1,64,0.67,0.62,0.45,0.64,1.27,1.01,0.57,0.45,0.82,0.65
Sys_IMFfdloss_ref_1,80,0.86,0.45,0.4,0.57,0.39,0.64,0.16,0.26,0.23,0.37
Sys_IMFfdloss_ref_1,97,0.85,0.44,0.39,0.55,1.29,0.76,0.5,0.3,0.7,0.42
Sys_IMFfdloss_ref_1,106,0.86,0.49,0.41,0.6,2.69,0.82,1.11,0.34,1.61,0.49
Sys_IMFfdloss_ref_1,116,0.86,0.73,0.65,0.78,0.42,0.7,0.27,0.45,0.32,0.54
Sys_IMFfdloss_ref_1,118,0.77,0.67,0.53,0.71,1.17,0.85,0.62,0.45,0.83,0.6
Sys_IMFfdloss_ref_1,129,0.82,0.42,0.35,0.54,0.77,1.18,0.27,0.41,0.42,0.64
Sys_IMFfdloss_ref_1,144,0.86,0.53,0.48,0.62,1.03,0.92,0.49,0.44,0.64,0.57
Sys_IMFfdloss_ref_1,147,0.91,0.7,0.64,0.78,1.14,1.03,0.73,0.66,0.89,0.8
Sys_IMFfdloss_ref_1,150,0.7,0.45,0.35,0.54,1.66,1.13,0.58,0.39,0.9,0.61
Sys_IMFfdloss_ref_1,156,0.87,0.3,0.26,0.45,0.57,0.98,0.15,0.26,0.26,0.44
Sys_IMFfdloss_ref_1,159,0.74,0.45,0.36,0.55,1.05,0.97,0.38,0.35,0.57,0.53
Sys_IMFfdloss_ref_1,281,0.9,0.35,0.32,0.5,1.64,0.94,0.52,0.3,0.81,0.47
Sys_IMFfdloss_ref_1,300,0.94,0.82,0.78,0.87,0.55,0.94,0.43,0.73,0.48,0.82
Sys_IMFfdloss_ref_1,322,0.76,0.77,0.59,0.75,0.74,0.83,0.44,0.49,0.56,0.62
Sys_IMFfdloss_ref_1,330,0.72,0.52,0.39,0.6,0.37,0.99,0.14,0.39,0.22,0.59
Sys_IMFfdloss_ref_1,333,0.81,0.37,0.31,0.5,1.11,1.01,0.34,0.31,0.56,0.51
Sys_IMFfdloss_ref_1,339,0.86,0.56,0.49,0.68,1.73,1.01,0.84,0.49,1.17,0.68
Sys_IMFfdloss_ref_1,347,0.9,0.57,0.53,0.67,0.55,0.89,0.29,0.47,0.37,0.6
Sys_IMFfdloss_ref_1,356,0.86,0.73,0.68,0.78,1.42,0.93,0.96,0.63,1.11,0.73
Sys_IMFfdloss_ref_1,365,0.91,0.41,0.38,0.56,0.93,0.88,0.35,0.33,0.52,0.49
