image_id,source,alignment_score,artifact_score,class_id,alignment_norm,artifact_norm,composite_product,composite_harmonic
0,Sys_IMFfdloss_ref_1,4.62,3.85,4,0.924,0.77,0.71148,0.8400000000000001
0,Sys_IMFfdloss_ref_2,4.62,3.85,4,0.924,0.77,0.71148,0.8400000000000001
0,Sys_IMFfdloss_ref_3,4.62,3.85,4,0.924,0.77,0.71148,0.8400000000000001
0,User_IMFfdloss_1,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
0,User_IMFfdloss_2,5.0,2.0,4,1.0,0.4,0.4,0.5714285714285715
0,User_IMFfdloss_3,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
1,Sys_IMFfdloss_ref_1,4.65,3.85,4,0.93,0.77,0.7161000000000001,0.8424705882352941
1,Sys_IMFfdloss_ref_2,4.65,3.82,4,0.93,0.764,0.71052,0.8388665879574971
1,Sys_IMFfdloss_ref_3,4.65,2.85,4,0.93,0.5700000000000001,0.5301000000000001,0.7068000000000002
1,User_IMFfdloss_1,5.0,5.0,4,1.0,1.0,1.0,1.0
1,User_IMFfdloss_2,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
1,User_IMFfdloss_3,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
4,Sys_IMFfdloss_ref_1,4.85,3.65,4,0.97,0.73,0.7081,0.8330588235294117
4,Sys_IMFfdloss_ref_2,4.65,3.85,4,0.93,0.77,0.7161000000000001,0.8424705882352941
4,Sys_IMFfdloss_ref_3,4.65,3.85,4,0.93,0.77,0.7161000000000001,0.8424705882352941
4,User_IMFfdloss_1,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
4,User_IMFfdloss_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
4,User_IMFfdloss_3,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
6,Sys_IMFfdloss_ref_1,4.12,2.85,4,0.8240000000000001,0.5700000000000001,0.4696800000000001,0.6738593974175037
6,Sys_IMFfdloss_ref_2,4.15,2.85,4,0.8300000000000001,0.5700000000000001,0.4731000000000001,0.6758571428571429
6,Sys_IMFfdloss_ref_3,4.15,2.85,4,0.8300000000000001,0.5700000000000001,0.4731000000000001,0.6758571428571429
6,User_IMFfdloss_1,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
6,User_IMFfdloss_2,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
6,User_IMFfdloss_3,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
9,Sys_IMFfdloss_ref_1,4.65,3.85,4,0.93,0.77,0.7161000000000001,0.8424705882352941
9,Sys_IMFfdloss_ref_2,4.65,3.85,4,0.93,0.77,0.7161000000000001,0.8424705882352941
9,Sys_IMFfdloss_ref_3,4.85,3.65,4,0.97,0.73,0.7081,0.8330588235294117
9,User_IMFfdloss_1,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
9,User_IMFfdloss_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
9,User_IMFfdloss_3,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
11,Sys_IMFfdloss_ref_1,4.65,1.5,7,0.93,0.3,0.279,0.4536585365853659
11,Sys_IMFfdloss_ref_2,4.62,1.5,7,0.924,0.3,0.2772,0.45294117647058824
11,Sys_IMFfdloss_ref_3,3.85,1.5,7,0.77,0.3,0.23099999999999998,0.4317757009345794
11,User_IMFfdloss_1,4.55,3.0,7,0.9099999999999999,0.6,0.5459999999999999,0.7231788079470198
11,User_IMFfdloss_2,4.55,3.0,7,0.9099999999999999,0.6,0.5459999999999999,0.7231788079470198
11,User_IMFfdloss_3,4.55,3.0,7,0.9099999999999999,0.6,0.5459999999999999,0.7231788079470198
12,Sys_IMFfdloss_ref_1,3.42,3.85,7,0.6839999999999999,0.77,0.5266799999999999,0.7244566712517193
12,Sys_IMFfdloss_ref_2,4.12,3.85,7,0.8240000000000001,0.77,0.63448,0.7960853199498118
12,Sys_IMFfdloss_ref_3,3.42,2.85,7,0.6839999999999999,0.5700000000000001,0.38988,0.6218181818181818
12,User_IMFfdloss_1,4.17,4.0,7,0.834,0.8,0.6672,0.8166462668298654
12,User_IMFfdloss_2,4.0,4.0,7,0.8,0.8,0.6400000000000001,0.8000000000000002
12,User_IMFfdloss_3,3.33,4.0,7,0.666,0.8,0.5328,0.7268758526603001
13,Sys_IMFfdloss_ref_1,3.85,1.5,7,0.77,0.3,0.23099999999999998,0.4317757009345794
13,Sys_IMFfdloss_ref_2,4.12,1.5,7,0.8240000000000001,0.3,0.2472,0.43985765124555154
13,Sys_IMFfdloss_ref_3,4.12,1.5,7,0.8240000000000001,0.3,0.2472,0.43985765124555154
13,User_IMFfdloss_1,4.09,3.0,7,0.818,0.6,0.49079999999999996,0.6922425952045134
13,User_IMFfdloss_2,4.55,3.0,7,0.9099999999999999,0.6,0.5459999999999999,0.7231788079470198
13,User_IMFfdloss_3,4.09,2.0,7,0.818,0.4,0.3272,0.5372742200328408
14,Sys_IMFfdloss_ref_1,3.42,1.5,7,0.6839999999999999,0.3,0.20519999999999997,0.41707317073170724
14,Sys_IMFfdloss_ref_2,4.62,1.5,7,0.924,0.3,0.2772,0.45294117647058824
