image_id,source,alignment_score,artifact_score,class_id
0,Sys_JiTfdloss_ref_1,4.85,3.65,4
0,Sys_JiTfdloss_ref_2,4.85,3.65,4
0,Sys_JiTfdloss_ref_3,4.65,3.82,4
0,User_JiTfdloss_1,5.0,4.0,4
0,User_JiTfdloss_2,5.0,4.0,4
0,User_JiTfdloss_3,5.0,3.0,4
1,Sys_JiTfdloss_ref_1,4.65,1.82,4
1,Sys_JiTfdloss_ref_2,4.65,2.85,4
1,Sys_JiTfdloss_ref_3,4.65,1.85,4
1,User_JiTfdloss_1,4.44,2.0,4
1,User_JiTfdloss_2,5.0,2.0,4
1,User_JiTfdloss_3,5.0,3.0,4
4,Sys_JiTfdloss_ref_1,4.85,3.62,4
4,Sys_JiTfdloss_ref_2,4.85,3.62,4
4,Sys_JiTfdloss_ref_3,4.85,2.8,4
4,User_JiTfdloss_1,5.0,4.0,4
4,User_JiTfdloss_2,5.0,4.0,4
4,User_JiTfdloss_3,5.0,4.0,4
6,Sys_JiTfdloss_ref_1,4.85,3.65,4
6,Sys_JiTfdloss_ref_2,4.65,2.85,4
6,Sys_JiTfdloss_ref_3,4.62,3.85,4
6,User_JiTfdloss_1,5.0,4.0,4
6,User_JiTfdloss_2,5.0,4.0,4
6,User_JiTfdloss_3,5.0,4.0,4
9,Sys_JiTfdloss_ref_1,4.65,2.85,4
9,Sys_JiTfdloss_ref_2,4.65,3.85,4
9,Sys_JiTfdloss_ref_3,4.65,3.82,4
9,User_JiTfdloss_1,5.0,4.0,4
9,User_JiTfdloss_2,5.0,4.0,4
9,User_JiTfdloss_3,5.0,4.0,4
11,Sys_JiTfdloss_ref_1,4.12,1.5,7
11,Sys_JiTfdloss_ref_2,3.85,1.5,7
11,Sys_JiTfdloss_ref_3,4.68,1.5,7
11,User_JiTfdloss_1,4.5,3.0,7
11,User_JiTfdloss_2,4.09,3.0,7
11,User_JiTfdloss_3,4.5,2.0,7
12,Sys_JiTfdloss_ref_1,4.65,4.2,7
12,Sys_JiTfdloss_ref_2,4.82,4.65,7
12,Sys_JiTfdloss_ref_3,4.85,3.65,7
12,User_JiTfdloss_1,4.17,4.0,7
12,User_JiTfdloss_2,4.17,4.0,7
12,User_JiTfdloss_3,4.17,4.0,7
13,Sys_JiTfdloss_ref_1,4.85,3.75,7
13,Sys_JiTfdloss_ref_2,4.65,3.85,7
13,Sys_JiTfdloss_ref_3,4.85,4.2,7
13,User_JiTfdloss_1,5.0,4.0,7
13,User_JiTfdloss_2,5.0,4.0,7
13,User_JiTfdloss_3,5.0,4.0,7
14,Sys_JiTfdloss_ref_1,4.15,1.5,7
14,Sys_JiTfdloss_ref_2,4.12,1.5,7
14,Sys_JiTfdloss_ref_3,3.82,1.5,7
14,User_JiTfdloss_1,4.09,2.0,7
14,User_JiTfdloss_2,4.09,3.0,7
14,User_JiTfdloss_3,4.09,2.0,7
18,Sys_JiTfdloss_ref_1,4.12,1.5,7
18,Sys_JiTfdloss_ref_2,3.85,1.5,7
18,Sys_JiTfdloss_ref_3,4.15,1.5,7
18,User_JiTfdloss_1,5.0,3.0,7
18,User_JiTfdloss_2,4.29,2.0,7
18,User_JiTfdloss_3,5.0,2.0,7
20,Sys_JiTfdloss_ref_1,4.82,3.65,10
20,Sys_JiTfdloss_ref_2,4.85,3.65,10
20,Sys_JiTfdloss_ref_3,4.62,3.85,10
20,User_JiTfdloss_1,5.0,5.0,10
20,User_JiTfdloss_2,4.0,4.0,10
20,User_JiTfdloss_3,4.0,4.0,10
21,Sys_JiTfdloss_ref_1,4.85,4.72,10
21,Sys_JiTfdloss_ref_2,4.92,4.85,10
21,Sys_JiTfdloss_ref_3,4.85,4.62,10
21,User_JiTfdloss_1,5.0,5.0,10
21,User_JiTfdloss_2,5.0,5.0,10
21,User_JiTfdloss_3,5.0,5.0,10
26,Sys_JiTfdloss_ref_1,4.65,3.85,10
26,Sys_JiTfdloss_ref_2,3.85,4.12,10
26,Sys_JiTfdloss_ref_3,4.85,4.62,10
26,User_JiTfdloss_1,3.89,5.0,10
26,User_JiTfdloss_2,4.44,4.0,10
26,User_JiTfdloss_3,4.44,3.0,10
27,Sys_JiTfdloss_ref_1,3.85,3.6,10
27,Sys_JiTfdloss_ref_2,3.42,1.5,10
27,Sys_JiTfdloss_ref_3,4.62,1.5,10
27,User_JiTfdloss_1,3.89,4.0,10
27,User_JiTfdloss_2,3.5,3.0,10
27,User_JiTfdloss_3,3.89,2.0,10
29,Sys_JiTfdloss_ref_1,4.85,4.2,10
29,Sys_JiTfdloss_ref_2,4.85,4.2,10
29,Sys_JiTfdloss_ref_3,4.82,3.65,10
29,User_JiTfdloss_1,5.0,4.0,10
29,User_JiTfdloss_2,3.75,4.0,10
29,User_JiTfdloss_3,5.0,4.0,10
30,Sys_JiTfdloss_ref_1,4.65,3.85,25
30,Sys_JiTfdloss_ref_2,4.72,3.85,25
30,Sys_JiTfdloss_ref_3,4.72,1.5,25
30,User_JiTfdloss_1,5.0,4.0,25
30,User_JiTfdloss_2,5.0,4.0,25
30,User_JiTfdloss_3,5.0,4.0,25
33,Sys_JiTfdloss_ref_1,4.65,3.0,25
33,Sys_JiTfdloss_ref_2,4.85,3.0,25
33,Sys_JiTfdloss_ref_3,3.85,3.0,25
33,User_JiTfdloss_1,5.0,4.0,25
33,User_JiTfdloss_2,5.0,5.0,25
33,User_JiTfdloss_3,5.0,5.0,25
35,Sys_JiTfdloss_ref_1,4.65,3.85,25
35,Sys_JiTfdloss_ref_2,4.85,3.72,25
35,Sys_JiTfdloss_ref_3,4.12,2.85,25
35,User_JiTfdloss_1,5.0,3.0,25
35,User_JiTfdloss_2,5.0,4.0,25
35,User_JiTfdloss_3,5.0,4.0,25
36,Sys_JiTfdloss_ref_1,4.15,2.85,25
36,Sys_JiTfdloss_ref_2,4.15,2.85,25
36,Sys_JiTfdloss_ref_3,4.85,4.72,25
36,User_JiTfdloss_1,5.0,5.0,25
36,User_JiTfdloss_2,5.0,3.0,25
36,User_JiTfdloss_3,5.0,3.0,25
38,Sys_JiTfdloss_ref_1,3.82,4.15,25
38,Sys_JiTfdloss_ref_2,4.35,3.8,25
38,Sys_JiTfdloss_ref_3,4.72,4.95,25
38,User_JiTfdloss_1,5.0,4.0,25
38,User_JiTfdloss_2,5.0,4.0,25
38,User_JiTfdloss_3,5.0,5.0,25
43,Sys_JiTfdloss_ref_1,3.82,3.65,35
43,Sys_JiTfdloss_ref_2,3.65,3.82,35
43,Sys_JiTfdloss_ref_3,3.42,2.85,35
43,User_JiTfdloss_1,5.0,4.0,35
43,User_JiTfdloss_2,5.0,4.0,35
43,User_JiTfdloss_3,5.0,4.0,35
44,Sys_JiTfdloss_ref_1,4.65,4.72,35
44,Sys_JiTfdloss_ref_2,3.42,2.85,35
44,Sys_JiTfdloss_ref_3,4.85,4.92,35
44,User_JiTfdloss_1,4.0,5.0,35
44,User_JiTfdloss_2,5.0,3.0,35
44,User_JiTfdloss_3,5.0,5.0,35
46,Sys_JiTfdloss_ref_1,4.35,3.82,35
46,Sys_JiTfdloss_ref_2,4.85,4.2,35
46,Sys_JiTfdloss_ref_3,4.15,3.85,35
46,User_JiTfdloss_1,5.0,4.0,35
46,User_JiTfdloss_2,5.0,4.0,35
46,User_JiTfdloss_3,5.0,4.0,35
47,Sys_JiTfdloss_ref_1,4.62,3.85,35
47,Sys_JiTfdloss_ref_2,3.85,3.6,35
47,Sys_JiTfdloss_ref_3,4.65,3.82,35
47,User_JiTfdloss_1,5.0,3.0,35
47,User_JiTfdloss_2,4.0,3.0,35
47,User_JiTfdloss_3,4.0,3.0,35
48,Sys_JiTfdloss_ref_1,4.15,2.85,35
48,Sys_JiTfdloss_ref_2,3.85,3.2,35
48,Sys_JiTfdloss_ref_3,3.82,2.65,35
48,User_JiTfdloss_1,2.5,3.0,35
48,User_JiTfdloss_2,2.5,2.0,35
48,User_JiTfdloss_3,5.0,2.0,35
50,Sys_JiTfdloss_ref_1,4.92,4.98,39
50,Sys_JiTfdloss_ref_2,4.92,4.98,39
50,Sys_JiTfdloss_ref_3,4.92,4.98,39
50,User_JiTfdloss_1,5.0,5.0,39
50,User_JiTfdloss_2,5.0,5.0,39
50,User_JiTfdloss_3,5.0,5.0,39
52,Sys_JiTfdloss_ref_1,4.12,2.85,39
52,Sys_JiTfdloss_ref_2,4.62,3.85,39
52,Sys_JiTfdloss_ref_3,4.15,2.85,39
52,User_JiTfdloss_1,5.0,4.0,39
52,User_JiTfdloss_2,3.89,2.0,39
52,User_JiTfdloss_3,5.0,4.0,39
53,Sys_JiTfdloss_ref_1,3.42,2.0,39
53,Sys_JiTfdloss_ref_2,3.42,2.0,39
53,Sys_JiTfdloss_ref_3,3.85,2.0,39
53,User_JiTfdloss_1,4.29,2.0,39
53,User_JiTfdloss_2,4.29,2.0,39
53,User_JiTfdloss_3,4.29,2.0,39
54,Sys_JiTfdloss_ref_1,4.35,2.0,39
54,Sys_JiTfdloss_ref_2,4.85,4.92,39
54,Sys_JiTfdloss_ref_3,4.35,2.0,39
54,User_JiTfdloss_1,4.38,4.0,39
54,User_JiTfdloss_2,5.0,5.0,39
54,User_JiTfdloss_3,4.38,2.0,39
55,Sys_JiTfdloss_ref_1,4.35,3.82,39
55,Sys_JiTfdloss_ref_2,4.62,3.85,39
55,Sys_JiTfdloss_ref_3,4.85,4.92,39
55,User_JiTfdloss_1,5.0,4.0,39
55,User_JiTfdloss_2,4.38,4.0,39
55,User_JiTfdloss_3,5.0,4.0,39
61,Sys_JiTfdloss_ref_1,2.85,1.5,49
61,Sys_JiTfdloss_ref_2,1.85,2.1,49
61,Sys_JiTfdloss_ref_3,2.85,1.5,49
61,User_JiTfdloss_1,4.29,2.0,49
61,User_JiTfdloss_2,4.38,2.0,49
61,User_JiTfdloss_3,4.38,2.0,49
62,Sys_JiTfdloss_ref_1,4.85,3.75,49
62,Sys_JiTfdloss_ref_2,4.35,3.85,49
62,Sys_JiTfdloss_ref_3,4.85,3.2,49
62,User_JiTfdloss_1,5.0,3.0,49
62,User_JiTfdloss_2,5.0,3.0,49
62,User_JiTfdloss_3,4.29,3.0,49
64,Sys_JiTfdloss_ref_1,4.72,3.0,49
64,Sys_JiTfdloss_ref_2,4.92,4.95,49
64,Sys_JiTfdloss_ref_3,4.92,4.95,49
64,User_JiTfdloss_1,5.0,4.0,49
64,User_JiTfdloss_2,5.0,5.0,49
64,User_JiTfdloss_3,5.0,5.0,49
65,Sys_JiTfdloss_ref_1,4.62,3.85,49
65,Sys_JiTfdloss_ref_2,4.62,3.85,49
65,Sys_JiTfdloss_ref_3,4.68,3.85,49
65,User_JiTfdloss_1,5.0,4.0,49
65,User_JiTfdloss_2,5.0,4.0,49
65,User_JiTfdloss_3,5.0,4.0,49
67,Sys_JiTfdloss_ref_1,4.65,3.85,49
67,Sys_JiTfdloss_ref_2,4.12,2.85,49
67,Sys_JiTfdloss_ref_3,4.68,3.42,49
67,User_JiTfdloss_1,5.0,4.0,49
67,User_JiTfdloss_2,5.0,3.0,49
67,User_JiTfdloss_3,5.0,4.0,49
70,Sys_JiTfdloss_ref_1,4.92,4.85,51
70,Sys_JiTfdloss_ref_2,4.85,3.6,51
70,Sys_JiTfdloss_ref_3,4.92,4.98,51
70,User_JiTfdloss_1,5.0,5.0,51
70,User_JiTfdloss_2,5.0,5.0,51
70,User_JiTfdloss_3,5.0,4.0,51
71,Sys_JiTfdloss_ref_1,4.15,4.62,51
71,Sys_JiTfdloss_ref_2,2.85,3.0,51
71,Sys_JiTfdloss_ref_3,4.72,4.35,51
71,User_JiTfdloss_1,3.12,4.0,51
71,User_JiTfdloss_2,3.12,2.0,51
71,User_JiTfdloss_3,4.38,2.0,51
72,Sys_JiTfdloss_ref_1,1.85,3.2,51
72,Sys_JiTfdloss_ref_2,2.15,3.85,51
72,Sys_JiTfdloss_ref_3,2.85,3.2,51
72,User_JiTfdloss_1,3.33,5.0,51
72,User_JiTfdloss_2,3.33,4.0,51
72,User_JiTfdloss_3,3.33,5.0,51
76,Sys_JiTfdloss_ref_1,4.92,4.85,51
