score_type,sys_group,human_group,sys_source,human_source,aggregation,n_common,threshold,n_positive,n_negative,auc
alignment_score,Sys_JiTfdloss_ref_500,Human_JiTfdloss_500,Sys_JiTfdloss_ref_1,User_JiTfdloss_1,individual,484,4.41,242,242,0.8533
alignment_score,Sys_JiTfdloss_ref_500,Human_JiTfdloss_500,Sys_JiTfdloss_ref_1,User_JiTfdloss_2,individual,500,4.44,263,237,0.8412
alignment_score,Sys_JiTfdloss_ref_500,Human_JiTfdloss_500,Sys_JiTfdloss_ref_1,User_JiTfdloss_3,individual,500,4.44,263,237,0.8536
alignment_score,Sys_JiTfdloss_ref_500,Human_JiTfdloss_500,Sys_JiTfdloss_ref_2,User_JiTfdloss_1,individual,484,4.41,242,242,0.862
alignment_score,Sys_JiTfdloss_ref_500,Human_JiTfdloss_500,Sys_JiTfdloss_ref_2,User_JiTfdloss_2,individual,500,4.44,263,237,0.8541
alignment_score,Sys_JiTfdloss_ref_500,Human_JiTfdloss_500,Sys_JiTfdloss_ref_2,User_JiTfdloss_3,individual,500,4.44,263,237,0.8529
alignment_score,Sys_JiTfdloss_ref_500,Human_JiTfdloss_500,Sys_JiTfdloss_ref_3,User_JiTfdloss_1,individual,484,4.41,242,242,0.8413
alignment_score,Sys_JiTfdloss_ref_500,Human_JiTfdloss_500,Sys_JiTfdloss_ref_3,User_JiTfdloss_2,individual,500,4.44,263,237,0.854
alignment_score,Sys_JiTfdloss_ref_500,Human_JiTfdloss_500,Sys_JiTfdloss_ref_3,User_JiTfdloss_3,individual,500,4.44,263,237,0.8572
authenticity_score,Sys_JiTfdloss_ref_500,Human_JiTfdloss_500,Sys_JiTfdloss_ref_1,User_JiTfdloss_1,individual,484,3.0,337,147,0.8355
authenticity_score,Sys_JiTfdloss_ref_500,Human_JiTfdloss_500,Sys_JiTfdloss_ref_1,User_JiTfdloss_2,individual,500,3.0,343,157,0.8072
authenticity_score,Sys_JiTfdloss_ref_500,Human_JiTfdloss_500,Sys_JiTfdloss_ref_1,User_JiTfdloss_3,individual,500,3.0,360,140,0.8179
authenticity_score,Sys_JiTfdloss_ref_500,Human_JiTfdloss_500,Sys_JiTfdloss_ref_2,User_JiTfdloss_1,individual,484,3.0,337,147,0.8336
authenticity_score,Sys_JiTfdloss_ref_500,Human_JiTfdloss_500,Sys_JiTfdloss_ref_2,User_JiTfdloss_2,individual,500,3.0,343,157,0.8229
authenticity_score,Sys_JiTfdloss_ref_500,Human_JiTfdloss_500,Sys_JiTfdloss_ref_2,User_JiTfdloss_3,individual,500,3.0,360,140,0.8482
authenticity_score,Sys_JiTfdloss_ref_500,Human_JiTfdloss_500,Sys_JiTfdloss_ref_3,User_JiTfdloss_1,individual,484,3.0,337,147,0.8573
authenticity_score,Sys_JiTfdloss_ref_500,Human_JiTfdloss_500,Sys_JiTfdloss_ref_3,User_JiTfdloss_2,individual,500,3.0,343,157,0.8338
authenticity_score,Sys_JiTfdloss_ref_500,Human_JiTfdloss_500,Sys_JiTfdloss_ref_3,User_JiTfdloss_3,individual,500,3.0,360,140,0.8592
alignment_score,Sys_JiTfdloss_ref_500,Human_JiTfdloss_500,Sys_JiTfdloss_ref_500 (avg),Human_JiTfdloss_500 (avg),group_avg,500,4.445,250,250,0.8951
authenticity_score,Sys_JiTfdloss_ref_500,Human_JiTfdloss_500,Sys_JiTfdloss_ref_500 (avg),Human_JiTfdloss_500 (avg),group_avg,500,3.3333,263,237,0.8977
