score_type,source_1,source_2,n_common_images,pearson_r,pearson_p,spearman_r,spearman_p,icc_2_1_absolute_agreement,icc_3_1_consistency
alignment_score,Sys_JiTfdloss_ref_1,Sys_JiTfdloss_ref_2,500,0.7982,0.0,0.7756,0.0,0.7984,0.7982
alignment_score,Sys_JiTfdloss_ref_1,Sys_JiTfdloss_ref_3,500,0.8603,0.0,0.7706,0.0,0.8604,0.8602
alignment_score,Sys_JiTfdloss_ref_1,User_JiTfdloss_1,484,0.706,0.0,0.6729,0.0,0.7018,0.7022
alignment_score,Sys_JiTfdloss_ref_1,User_JiTfdloss_2,500,0.7364,0.0,0.6623,0.0,0.73,0.7337
alignment_score,Sys_JiTfdloss_ref_1,User_JiTfdloss_3,500,0.7262,0.0,0.6775,0.0,0.72,0.723
alignment_score,Sys_JiTfdloss_ref_2,Sys_JiTfdloss_ref_3,500,0.8166,0.0,0.7398,0.0,0.8165,0.8166
alignment_score,Sys_JiTfdloss_ref_2,User_JiTfdloss_1,484,0.7438,0.0,0.692,0.0,0.7395,0.7408
alignment_score,Sys_JiTfdloss_ref_2,User_JiTfdloss_2,500,0.7453,0.0,0.6781,0.0,0.7383,0.7432
alignment_score,Sys_JiTfdloss_ref_2,User_JiTfdloss_3,500,0.743,0.0,0.674,0.0,0.7364,0.7405
alignment_score,Sys_JiTfdloss_ref_3,User_JiTfdloss_1,484,0.7172,0.0,0.6553,0.0,0.7141,0.7142
alignment_score,Sys_JiTfdloss_ref_3,User_JiTfdloss_2,500,0.7738,0.0,0.6842,0.0,0.769,0.7718
alignment_score,Sys_JiTfdloss_ref_3,User_JiTfdloss_3,500,0.7593,0.0,0.6865,0.0,0.7547,0.7568
alignment_score,User_JiTfdloss_1,User_JiTfdloss_2,484,0.7943,0.0,0.7981,0.0,0.7937,0.7941
alignment_score,User_JiTfdloss_1,User_JiTfdloss_3,484,0.8222,0.0,0.824,0.0,0.8221,0.8222
alignment_score,User_JiTfdloss_2,User_JiTfdloss_3,500,0.826,0.0,0.8348,0.0,0.8263,0.826
artifact_score,Sys_JiTfdloss_ref_1,Sys_JiTfdloss_ref_2,500,0.7545,0.0,0.7346,0.0,0.7544,0.7544
artifact_score,Sys_JiTfdloss_ref_1,Sys_JiTfdloss_ref_3,500,0.7454,0.0,0.726,0.0,0.7452,0.7451
artifact_score,Sys_JiTfdloss_ref_1,User_JiTfdloss_1,484,0.6732,0.0,0.6692,0.0,0.6581,0.6732
artifact_score,Sys_JiTfdloss_ref_1,User_JiTfdloss_2,500,0.6291,0.0,0.6194,0.0,0.6133,0.6291
artifact_score,Sys_JiTfdloss_ref_1,User_JiTfdloss_3,500,0.6411,0.0,0.6294,0.0,0.6168,0.641
artifact_score,Sys_JiTfdloss_ref_2,Sys_JiTfdloss_ref_3,500,0.7175,0.0,0.6967,0.0,0.7171,0.7167
artifact_score,Sys_JiTfdloss_ref_2,User_JiTfdloss_1,484,0.6564,0.0,0.6496,0.0,0.6453,0.6562
artifact_score,Sys_JiTfdloss_ref_2,User_JiTfdloss_2,500,0.6396,0.0,0.6371,0.0,0.6274,0.6396
artifact_score,Sys_JiTfdloss_ref_2,User_JiTfdloss_3,500,0.6425,0.0,0.6305,0.0,0.6228,0.6425
artifact_score,Sys_JiTfdloss_ref_3,User_JiTfdloss_1,484,0.7058,0.0,0.701,0.0,0.6946,0.7056
artifact_score,Sys_JiTfdloss_ref_3,User_JiTfdloss_2,500,0.673,0.0,0.6616,0.0,0.6598,0.6725
artifact_score,Sys_JiTfdloss_ref_3,User_JiTfdloss_3,500,0.7002,0.0,0.691,0.0,0.6783,0.6993
artifact_score,User_JiTfdloss_1,User_JiTfdloss_2,484,0.7351,0.0,0.7331,0.0,0.7354,0.735
artifact_score,User_JiTfdloss_1,User_JiTfdloss_3,484,0.7689,0.0,0.7648,0.0,0.7684,0.7688
artifact_score,User_JiTfdloss_2,User_JiTfdloss_3,500,0.7278,0.0,0.728,0.0,0.7272,0.7277
