group,alignment_threshold,authenticity_threshold,probability
Sys_JiTfdloss_ref_500,0.0,0.0,1.0
Sys_JiTfdloss_ref_500,0.0,0.02,1.0
Sys_JiTfdloss_ref_500,0.0,0.04,1.0
Sys_JiTfdloss_ref_500,0.0,0.06,1.0
Sys_JiTfdloss_ref_500,0.0,0.08,1.0
Sys_JiTfdloss_ref_500,0.0,0.1,1.0
Sys_JiTfdloss_ref_500,0.0,0.12,1.0
Sys_JiTfdloss_ref_500,0.0,0.14,1.0
Sys_JiTfdloss_ref_500,0.0,0.16,1.0
Sys_JiTfdloss_ref_500,0.0,0.18,0.998
Sys_JiTfdloss_ref_500,0.0,0.2,0.9879999999999999
Sys_JiTfdloss_ref_500,0.0,0.22,0.9839999999999999
Sys_JiTfdloss_ref_500,0.0,0.24,0.978
Sys_JiTfdloss_ref_500,0.0,0.26,0.9719999999999999
Sys_JiTfdloss_ref_500,0.0,0.28,0.9619999999999999
Sys_JiTfdloss_ref_500,0.0,0.3,0.9459999999999998
Sys_JiTfdloss_ref_500,0.0,0.32,0.8519999999999996
Sys_JiTfdloss_ref_500,0.0,0.34,0.8419999999999994
Sys_JiTfdloss_ref_500,0.0,0.36,0.8319999999999993
Sys_JiTfdloss_ref_500,0.0,0.38,0.8159999999999994
Sys_JiTfdloss_ref_500,0.0,0.4,0.7939999999999996
Sys_JiTfdloss_ref_500,0.0,0.42,0.7479999999999997
Sys_JiTfdloss_ref_500,0.0,0.44,0.7259999999999998
Sys_JiTfdloss_ref_500,0.0,0.46,0.6999999999999997
Sys_JiTfdloss_ref_500,0.0,0.48,0.6559999999999999
Sys_JiTfdloss_ref_500,0.0,0.5,0.642
Sys_JiTfdloss_ref_500,0.0,0.52,0.6099999999999999
Sys_JiTfdloss_ref_500,0.0,0.54,0.5879999999999999
Sys_JiTfdloss_ref_500,0.0,0.56,0.576
Sys_JiTfdloss_ref_500,0.0,0.58,0.5499999999999999
Sys_JiTfdloss_ref_500,0.0,0.6,0.5119999999999999
Sys_JiTfdloss_ref_500,0.0,0.62,0.49199999999999994
Sys_JiTfdloss_ref_500,0.0,0.64,0.44999999999999984
Sys_JiTfdloss_ref_500,0.0,0.66,0.4279999999999998
Sys_JiTfdloss_ref_500,0.0,0.68,0.40199999999999975
Sys_JiTfdloss_ref_500,0.0,0.7,0.34399999999999986
Sys_JiTfdloss_ref_500,0.0,0.72,0.3079999999999999
Sys_JiTfdloss_ref_500,0.0,0.74,0.26199999999999996
Sys_JiTfdloss_ref_500,0.0,0.76,0.20599999999999988
Sys_JiTfdloss_ref_500,0.0,0.78,0.16599999999999995
Sys_JiTfdloss_ref_500,0.0,0.8,0.13799999999999996
Sys_JiTfdloss_ref_500,0.0,0.82,0.11399999999999999
Sys_JiTfdloss_ref_500,0.0,0.84,0.08800000000000002
Sys_JiTfdloss_ref_500,0.0,0.86,0.07400000000000002
Sys_JiTfdloss_ref_500,0.0,0.88,0.06600000000000002
Sys_JiTfdloss_ref_500,0.0,0.9,0.060000000000000026
Sys_JiTfdloss_ref_500,0.0,0.92,0.04600000000000002
Sys_JiTfdloss_ref_500,0.0,0.94,0.04200000000000001
Sys_JiTfdloss_ref_500,0.0,0.96,0.038000000000000006
Sys_JiTfdloss_ref_500,0.0,0.98,0.030000000000000006
Sys_JiTfdloss_ref_500,0.0,1.0,0.006000000000000001
Sys_JiTfdloss_ref_500,0.02,0.0,0.986
Sys_JiTfdloss_ref_500,0.02,0.02,0.986
Sys_JiTfdloss_ref_500,0.02,0.04,0.986
Sys_JiTfdloss_ref_500,0.02,0.06,0.986
Sys_JiTfdloss_ref_500,0.02,0.08,0.986
Sys_JiTfdloss_ref_500,0.02,0.1,0.986
Sys_JiTfdloss_ref_500,0.02,0.12,0.986
Sys_JiTfdloss_ref_500,0.02,0.14,0.986
Sys_JiTfdloss_ref_500,0.02,0.16,0.986
Sys_JiTfdloss_ref_500,0.02,0.18,0.9840000000000001
Sys_JiTfdloss_ref_500,0.02,0.2,0.976
Sys_JiTfdloss_ref_500,0.02,0.22,0.9719999999999999
Sys_JiTfdloss_ref_500,0.02,0.24,0.9660000000000001
Sys_JiTfdloss_ref_500,0.02,0.26,0.9599999999999999
Sys_JiTfdloss_ref_500,0.02,0.28,0.9499999999999998
Sys_JiTfdloss_ref_500,0.02,0.3,0.9359999999999999
Sys_JiTfdloss_ref_500,0.02,0.32,0.8439999999999998
Sys_JiTfdloss_ref_500,0.02,0.34,0.8339999999999996
Sys_JiTfdloss_ref_500,0.02,0.36,0.8239999999999995
Sys_JiTfdloss_ref_500,0.02,0.38,0.8099999999999996
Sys_JiTfdloss_ref_500,0.02,0.4,0.7879999999999996
Sys_JiTfdloss_ref_500,0.02,0.42,0.7419999999999994
Sys_JiTfdloss_ref_500,0.02,0.44,0.7199999999999998
Sys_JiTfdloss_ref_500,0.02,0.46,0.6939999999999997
Sys_JiTfdloss_ref_500,0.02,0.48,0.65
Sys_JiTfdloss_ref_500,0.02,0.5,0.636
Sys_JiTfdloss_ref_500,0.02,0.52,0.606
Sys_JiTfdloss_ref_500,0.02,0.54,0.584
Sys_JiTfdloss_ref_500,0.02,0.56,0.5720000000000001
Sys_JiTfdloss_ref_500,0.02,0.58,0.5459999999999999
Sys_JiTfdloss_ref_500,0.02,0.6,0.5099999999999999
Sys_JiTfdloss_ref_500,0.02,0.62,0.48999999999999994
Sys_JiTfdloss_ref_500,0.02,0.64,0.44799999999999984
Sys_JiTfdloss_ref_500,0.02,0.66,0.4259999999999998
Sys_JiTfdloss_ref_500,0.02,0.68,0.3999999999999997
Sys_JiTfdloss_ref_500,0.02,0.7,0.3419999999999998
Sys_JiTfdloss_ref_500,0.02,0.72,0.3059999999999999
Sys_JiTfdloss_ref_500,0.02,0.74,0.25999999999999995
Sys_JiTfdloss_ref_500,0.02,0.76,0.20399999999999988
Sys_JiTfdloss_ref_500,0.02,0.78,0.16399999999999995
Sys_JiTfdloss_ref_500,0.02,0.8,0.13599999999999995
Sys_JiTfdloss_ref_500,0.02,0.82,0.11199999999999999
Sys_JiTfdloss_ref_500,0.02,0.84,0.08600000000000003
Sys_JiTfdloss_ref_500,0.02,0.86,0.07200000000000002
Sys_JiTfdloss_ref_500,0.02,0.88,0.06400000000000002
Sys_JiTfdloss_ref_500,0.02,0.9,0.058000000000000024
Sys_JiTfdloss_ref_500,0.02,0.92,0.04600000000000002
Sys_JiTfdloss_ref_500,0.02,0.94,0.04200000000000001
Sys_JiTfdloss_ref_500,0.02,0.96,0.038000000000000006
Sys_JiTfdloss_ref_500,0.02,0.98,0.030000000000000006
Sys_JiTfdloss_ref_500,0.02,1.0,0.006000000000000001
Sys_JiTfdloss_ref_500,0.04,0.0,0.9839999999999999
Sys_JiTfdloss_ref_500,0.04,0.02,0.9839999999999999
Sys_JiTfdloss_ref_500,0.04,0.04,0.9839999999999999
Sys_JiTfdloss_ref_500,0.04,0.06,0.9839999999999999
Sys_JiTfdloss_ref_500,0.04,0.08,0.9839999999999999
Sys_JiTfdloss_ref_500,0.04,0.1,0.9839999999999999
Sys_JiTfdloss_ref_500,0.04,0.12,0.9839999999999999
Sys_JiTfdloss_ref_500,0.04,0.14,0.9839999999999999
Sys_JiTfdloss_ref_500,0.04,0.16,0.9839999999999999
Sys_JiTfdloss_ref_500,0.04,0.18,0.982
Sys_JiTfdloss_ref_500,0.04,0.2,0.9739999999999999
Sys_JiTfdloss_ref_500,0.04,0.22,0.9699999999999999
Sys_JiTfdloss_ref_500,0.04,0.24,0.9640000000000001
Sys_JiTfdloss_ref_500,0.04,0.26,0.9579999999999999
Sys_JiTfdloss_ref_500,0.04,0.28,0.9479999999999998
Sys_JiTfdloss_ref_500,0.04,0.3,0.9339999999999999
Sys_JiTfdloss_ref_500,0.04,0.32,0.8419999999999997
Sys_JiTfdloss_ref_500,0.04,0.34,0.8319999999999996
Sys_JiTfdloss_ref_500,0.04,0.36,0.8219999999999995
Sys_JiTfdloss_ref_500,0.04,0.38,0.8079999999999995
