source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
Sys_JiTfdloss_ref_1,4,0.95,0.62,0.6,0.75,0.86,0.76,0.51,0.46,0.64,0.57
Sys_JiTfdloss_ref_1,7,0.88,0.5,0.45,0.61,0.67,0.98,0.3,0.44,0.41,0.6
Sys_JiTfdloss_ref_1,10,0.92,0.8,0.74,0.85,0.8,0.86,0.59,0.64,0.69,0.74
Sys_JiTfdloss_ref_1,25,0.88,0.71,0.62,0.78,1.24,0.93,0.77,0.58,0.96,0.72
Sys_JiTfdloss_ref_1,35,0.86,0.76,0.66,0.8,1.12,0.93,0.74,0.61,0.9,0.74
Sys_JiTfdloss_ref_1,39,0.85,0.63,0.55,0.71,0.74,0.86,0.4,0.47,0.52,0.61
Sys_JiTfdloss_ref_1,49,0.87,0.64,0.58,0.73,0.92,0.92,0.53,0.53,0.67,0.67
Sys_JiTfdloss_ref_1,51,0.71,0.85,0.64,0.76,0.87,0.95,0.56,0.61,0.66,0.72
Sys_JiTfdloss_ref_1,52,0.63,0.68,0.44,0.65,2.16,0.91,0.95,0.4,1.41,0.59
Sys_JiTfdloss_ref_1,64,0.76,0.62,0.5,0.67,1.07,0.85,0.53,0.43,0.72,0.57
Sys_JiTfdloss_ref_1,80,0.83,0.44,0.39,0.57,0.61,1.0,0.24,0.39,0.35,0.57
Sys_JiTfdloss_ref_1,97,0.97,0.53,0.51,0.64,1.44,0.86,0.74,0.44,0.93,0.55
Sys_JiTfdloss_ref_1,106,0.86,0.41,0.36,0.54,3.09,0.94,1.11,0.34,1.67,0.51
Sys_JiTfdloss_ref_1,116,0.97,0.87,0.85,0.92,0.44,0.74,0.37,0.63,0.4,0.68
Sys_JiTfdloss_ref_1,118,0.8,0.52,0.42,0.63,0.99,0.72,0.42,0.3,0.62,0.45
