image_id,source,alignment_score,artifact_score
0,Sys_JiTfdloss_ref_1,4.85,3.65
0,Sys_JiTfdloss_ref_2,4.85,3.65
0,Sys_JiTfdloss_ref_3,4.65,3.82
0,User_JiTfdloss_1,5.0,4.0
0,User_JiTfdloss_2,5.0,4.0
0,User_JiTfdloss_3,5.0,3.0
1,Sys_JiTfdloss_ref_1,4.65,1.82
1,Sys_JiTfdloss_ref_2,4.65,2.85
1,Sys_JiTfdloss_ref_3,4.65,1.85
1,User_JiTfdloss_1,4.44,2.0
1,User_JiTfdloss_2,5.0,2.0
1,User_JiTfdloss_3,5.0,3.0
2,Sys_JiTfdloss_ref_1,2.15,1.85
2,Sys_JiTfdloss_ref_2,2.85,2.1
2,Sys_JiTfdloss_ref_3,2.35,1.82
2,User_JiTfdloss_1,5.0,1.0
2,User_JiTfdloss_2,5.0,1.0
2,User_JiTfdloss_3,5.0,2.0
3,Sys_JiTfdloss_ref_1,4.65,3.85
3,Sys_JiTfdloss_ref_2,4.85,3.65
3,Sys_JiTfdloss_ref_3,4.85,3.92
3,User_JiTfdloss_1,5.0,4.0
3,User_JiTfdloss_2,5.0,4.0
3,User_JiTfdloss_3,5.0,4.0
4,Sys_JiTfdloss_ref_1,4.85,3.62
4,Sys_JiTfdloss_ref_2,4.85,3.62
4,Sys_JiTfdloss_ref_3,4.85,2.8
4,User_JiTfdloss_1,5.0,4.0
4,User_JiTfdloss_2,5.0,4.0
4,User_JiTfdloss_3,5.0,4.0
5,Sys_JiTfdloss_ref_1,4.68,2.35
5,Sys_JiTfdloss_ref_2,4.63,2.85
5,Sys_JiTfdloss_ref_3,4.65,3.2
5,User_JiTfdloss_1,4.38,3.0
5,User_JiTfdloss_2,5.0,4.0
5,User_JiTfdloss_3,5.0,4.0
6,Sys_JiTfdloss_ref_1,4.85,3.65
6,Sys_JiTfdloss_ref_2,4.65,2.85
6,Sys_JiTfdloss_ref_3,4.62,3.85
6,User_JiTfdloss_1,5.0,4.0
6,User_JiTfdloss_2,5.0,4.0
6,User_JiTfdloss_3,5.0,4.0
7,Sys_JiTfdloss_ref_1,1.85,1.42
7,Sys_JiTfdloss_ref_2,2.15,1.85
7,Sys_JiTfdloss_ref_3,2.85,1.92
7,User_JiTfdloss_1,5.0,1.0
7,User_JiTfdloss_2,5.0,2.0
7,User_JiTfdloss_3,5.0,1.0
8,Sys_JiTfdloss_ref_1,4.85,3.62
8,Sys_JiTfdloss_ref_2,4.65,3.85
8,Sys_JiTfdloss_ref_3,4.65,3.85
8,User_JiTfdloss_1,5.0,4.0
8,User_JiTfdloss_2,5.0,4.0
8,User_JiTfdloss_3,5.0,3.0
9,Sys_JiTfdloss_ref_1,4.65,2.85
9,Sys_JiTfdloss_ref_2,4.65,3.85
9,Sys_JiTfdloss_ref_3,4.65,3.82
9,User_JiTfdloss_1,5.0,4.0
9,User_JiTfdloss_2,5.0,4.0
9,User_JiTfdloss_3,5.0,4.0
10,Sys_JiTfdloss_ref_1,3.82,1.5
10,Sys_JiTfdloss_ref_2,4.15,2.85
10,Sys_JiTfdloss_ref_3,3.85,1.5
10,User_JiTfdloss_1,4.44,3.0
10,User_JiTfdloss_2,5.0,2.0
10,User_JiTfdloss_3,5.0,2.0
11,Sys_JiTfdloss_ref_1,4.12,1.5
11,Sys_JiTfdloss_ref_2,3.85,1.5
11,Sys_JiTfdloss_ref_3,4.68,1.5
11,User_JiTfdloss_1,4.5,3.0
11,User_JiTfdloss_2,4.09,3.0
11,User_JiTfdloss_3,4.5,2.0
12,Sys_JiTfdloss_ref_1,4.65,4.2
12,Sys_JiTfdloss_ref_2,4.82,4.65
12,Sys_JiTfdloss_ref_3,4.85,3.65
12,User_JiTfdloss_1,4.17,4.0
12,User_JiTfdloss_2,4.17,4.0
12,User_JiTfdloss_3,4.17,4.0
13,Sys_JiTfdloss_ref_1,4.85,3.75
13,Sys_JiTfdloss_ref_2,4.65,3.85
13,Sys_JiTfdloss_ref_3,4.85,4.2
13,User_JiTfdloss_1,5.0,4.0
13,User_JiTfdloss_2,5.0,4.0
13,User_JiTfdloss_3,5.0,4.0
14,Sys_JiTfdloss_ref_1,4.15,1.5
14,Sys_JiTfdloss_ref_2,4.12,1.5
14,Sys_JiTfdloss_ref_3,3.82,1.5
14,User_JiTfdloss_1,4.09,2.0
14,User_JiTfdloss_2,4.09,3.0
14,User_JiTfdloss_3,4.09,2.0
15,Sys_JiTfdloss_ref_1,4.15,1.5
15,Sys_JiTfdloss_ref_2,3.42,1.5
15,Sys_JiTfdloss_ref_3,2.85,1.5
