score_type,sys_group,human_group,sys_source,human_source,aggregation,n_common,threshold,n_positive,n_negative,auc
alignment_score,Sys_JiTfdloss_ref,Human_JiTfdloss,Sys_JiTfdloss_ref_1,User_JiTfdloss_1,individual,967,4.38,518,449,0.8384
alignment_score,Sys_JiTfdloss_ref,Human_JiTfdloss,Sys_JiTfdloss_ref_1,User_JiTfdloss_2,individual,1000,4.44,508,492,0.8333
alignment_score,Sys_JiTfdloss_ref,Human_JiTfdloss,Sys_JiTfdloss_ref_1,User_JiTfdloss_3,individual,1000,4.38,545,455,0.8411
alignment_score,Sys_JiTfdloss_ref,Human_JiTfdloss,Sys_JiTfdloss_ref_2,User_JiTfdloss_1,individual,966,4.38,518,448,0.8452
alignment_score,Sys_JiTfdloss_ref,Human_JiTfdloss,Sys_JiTfdloss_ref_2,User_JiTfdloss_2,individual,999,4.44,508,491,0.8337
alignment_score,Sys_JiTfdloss_ref,Human_JiTfdloss,Sys_JiTfdloss_ref_2,User_JiTfdloss_3,individual,999,4.38,545,454,0.8472
alignment_score,Sys_JiTfdloss_ref,Human_JiTfdloss,Sys_JiTfdloss_ref_3,User_JiTfdloss_1,individual,966,4.38,518,448,0.8208
alignment_score,Sys_JiTfdloss_ref,Human_JiTfdloss,Sys_JiTfdloss_ref_3,User_JiTfdloss_2,individual,999,4.44,508,491,0.8231
alignment_score,Sys_JiTfdloss_ref,Human_JiTfdloss,Sys_JiTfdloss_ref_3,User_JiTfdloss_3,individual,999,4.38,545,454,0.8368
artifact_score,Sys_JiTfdloss_ref,Human_JiTfdloss,Sys_JiTfdloss_ref_1,User_JiTfdloss_1,individual,967,3.0,667,300,0.8328
artifact_score,Sys_JiTfdloss_ref,Human_JiTfdloss,Sys_JiTfdloss_ref_1,User_JiTfdloss_2,individual,1000,3.0,683,317,0.8112
artifact_score,Sys_JiTfdloss_ref,Human_JiTfdloss,Sys_JiTfdloss_ref_1,User_JiTfdloss_3,individual,1000,3.0,702,298,0.8189
artifact_score,Sys_JiTfdloss_ref,Human_JiTfdloss,Sys_JiTfdloss_ref_2,User_JiTfdloss_1,individual,966,3.0,667,299,0.8301
artifact_score,Sys_JiTfdloss_ref,Human_JiTfdloss,Sys_JiTfdloss_ref_2,User_JiTfdloss_2,individual,999,3.0,683,316,0.8394
artifact_score,Sys_JiTfdloss_ref,Human_JiTfdloss,Sys_JiTfdloss_ref_2,User_JiTfdloss_3,individual,999,3.0,702,297,0.8403
artifact_score,Sys_JiTfdloss_ref,Human_JiTfdloss,Sys_JiTfdloss_ref_3,User_JiTfdloss_1,individual,966,3.0,666,300,0.8436
artifact_score,Sys_JiTfdloss_ref,Human_JiTfdloss,Sys_JiTfdloss_ref_3,User_JiTfdloss_2,individual,999,3.0,682,317,0.8362
artifact_score,Sys_JiTfdloss_ref,Human_JiTfdloss,Sys_JiTfdloss_ref_3,User_JiTfdloss_3,individual,999,3.0,701,298,0.861
alignment_score,Sys_JiTfdloss_ref,Human_JiTfdloss,Sys_JiTfdloss_ref (avg),Human_JiTfdloss (avg),group_avg,1000,4.44,504,496,0.8766
artifact_score,Sys_JiTfdloss_ref,Human_JiTfdloss,Sys_JiTfdloss_ref (avg),Human_JiTfdloss (avg),group_avg,1000,3.3333,517,483,0.896
