score_type,source_1,source_2,n_common_images,pearson_r,pearson_p,spearman_r,spearman_p,icc_2_1_absolute_agreement,icc_3_1_consistency
alignment_score,Sys_JiTfdloss_ref_1,Sys_JiTfdloss_ref_2,999,0.8159,0.0,0.7629,0.0,0.8153,0.8153
alignment_score,Sys_JiTfdloss_ref_1,Sys_JiTfdloss_ref_3,999,0.8424,0.0,0.7601,0.0,0.8419,0.8419
alignment_score,Sys_JiTfdloss_ref_1,User_JiTfdloss_1,967,0.6788,0.0,0.6394,0.0,0.6707,0.6707
alignment_score,Sys_JiTfdloss_ref_1,User_JiTfdloss_2,1000,0.7032,0.0,0.6458,0.0,0.6946,0.6961
alignment_score,Sys_JiTfdloss_ref_1,User_JiTfdloss_3,1000,0.6804,0.0,0.6367,0.0,0.6728,0.6735
alignment_score,Sys_JiTfdloss_ref_2,Sys_JiTfdloss_ref_3,998,0.8113,0.0,0.7404,0.0,0.8115,0.8113
alignment_score,Sys_JiTfdloss_ref_2,User_JiTfdloss_1,966,0.701,0.0,0.6512,0.0,0.6957,0.6962
alignment_score,Sys_JiTfdloss_ref_2,User_JiTfdloss_2,999,0.7056,0.0,0.6473,0.0,0.6992,0.7015
alignment_score,Sys_JiTfdloss_ref_2,User_JiTfdloss_3,999,0.7157,0.0,0.6478,0.0,0.7102,0.7117
alignment_score,Sys_JiTfdloss_ref_3,User_JiTfdloss_1,966,0.6669,0.0,0.6045,0.0,0.6618,0.6623
alignment_score,Sys_JiTfdloss_ref_3,User_JiTfdloss_2,999,0.6963,0.0,0.6267,0.0,0.69,0.6922
alignment_score,Sys_JiTfdloss_ref_3,User_JiTfdloss_3,999,0.6818,0.0,0.6275,0.0,0.6765,0.6778
alignment_score,User_JiTfdloss_1,User_JiTfdloss_2,967,0.8096,0.0,0.8084,0.0,0.8094,0.8096
alignment_score,User_JiTfdloss_1,User_JiTfdloss_3,967,0.8485,0.0,0.8331,0.0,0.8486,0.8485
alignment_score,User_JiTfdloss_2,User_JiTfdloss_3,1000,0.844,0.0,0.8309,0.0,0.844,0.844
artifact_score,Sys_JiTfdloss_ref_1,Sys_JiTfdloss_ref_2,999,0.7378,0.0,0.7192,0.0,0.7376,0.7377
artifact_score,Sys_JiTfdloss_ref_1,Sys_JiTfdloss_ref_3,999,0.732,0.0,0.7119,0.0,0.732,0.7319
artifact_score,Sys_JiTfdloss_ref_1,User_JiTfdloss_1,967,0.6688,0.0,0.6613,0.0,0.6529,0.6688
artifact_score,Sys_JiTfdloss_ref_1,User_JiTfdloss_2,1000,0.6267,0.0,0.611,0.0,0.6096,0.6267
artifact_score,Sys_JiTfdloss_ref_1,User_JiTfdloss_3,1000,0.6348,0.0,0.6194,0.0,0.6124,0.6347
artifact_score,Sys_JiTfdloss_ref_2,Sys_JiTfdloss_ref_3,998,0.7373,0.0,0.7178,0.0,0.7369,0.7367
artifact_score,Sys_JiTfdloss_ref_2,User_JiTfdloss_1,966,0.6609,0.0,0.6438,0.0,0.6479,0.6608
artifact_score,Sys_JiTfdloss_ref_2,User_JiTfdloss_2,999,0.6714,0.0,0.6636,0.0,0.6562,0.6714
artifact_score,Sys_JiTfdloss_ref_2,User_JiTfdloss_3,999,0.6475,0.0,0.6353,0.0,0.6281,0.6475
artifact_score,Sys_JiTfdloss_ref_3,User_JiTfdloss_1,966,0.6829,0.0,0.6737,0.0,0.6692,0.6826
artifact_score,Sys_JiTfdloss_ref_3,User_JiTfdloss_2,999,0.6781,0.0,0.6656,0.0,0.6616,0.6778
artifact_score,Sys_JiTfdloss_ref_3,User_JiTfdloss_3,999,0.6909,0.0,0.6814,0.0,0.669,0.6905
artifact_score,User_JiTfdloss_1,User_JiTfdloss_2,967,0.7261,0.0,0.7193,0.0,0.7262,0.726
artifact_score,User_JiTfdloss_1,User_JiTfdloss_3,967,0.7415,0.0,0.7317,0.0,0.7411,0.7414
artifact_score,User_JiTfdloss_2,User_JiTfdloss_3,1000,0.7198,0.0,0.7169,0.0,0.7196,0.7197
