source,alignment_norm,artifact_norm,composite_product,composite_harmonic,alignment_norm_std,alignment_norm_se,alignment_norm_ci_low,alignment_norm_ci_high,artifact_norm_std,artifact_norm_se,artifact_norm_ci_low,artifact_norm_ci_high,composite_product_std,composite_product_se,composite_product_ci_low,composite_product_ci_high,composite_harmonic_std,composite_harmonic_se,composite_harmonic_ci_low,composite_harmonic_ci_high,composite_product_x_vendi_ratio,composite_product_x_vendi_ratio_std,composite_product_x_vendi_ratio_se,composite_product_x_vendi_ratio_ci_low,composite_product_x_vendi_ratio_ci_high,composite_product_x_vendi_ratio_train,composite_product_x_vendi_ratio_train_std,composite_product_x_vendi_ratio_train_se,composite_product_x_vendi_ratio_train_ci_low,composite_product_x_vendi_ratio_train_ci_high,composite_harmonic_x_vendi_ratio,composite_harmonic_x_vendi_ratio_std,composite_harmonic_x_vendi_ratio_se,composite_harmonic_x_vendi_ratio_ci_low,composite_harmonic_x_vendi_ratio_ci_high,composite_harmonic_x_vendi_ratio_train,composite_harmonic_x_vendi_ratio_train_std,composite_harmonic_x_vendi_ratio_train_se,composite_harmonic_x_vendi_ratio_train_ci_low,composite_harmonic_x_vendi_ratio_train_ci_high,composite_product_x_MEAN_VENDI_RATIO,composite_harmonic_x_MEAN_VENDI_RATIO,composite_product_x_MEAN_VENDI_RATIO_TRAIN,composite_harmonic_x_MEAN_VENDI_RATIO_TRAIN
Sys_JiTfdloss_ref_1,0.7888,0.5851,0.4863,0.6462,0.1616,0.0162,0.7567,0.8209,0.1479,0.0148,0.5557,0.6145,0.1757,0.0176,0.4514,0.5212,0.1535,0.0154,0.6157,0.6767,0.4731,0.3375,0.0337,0.4061,0.5401,0.4017,0.1608,0.0161,0.3698,0.4336,0.6384,0.424,0.0424,0.5543,0.7225,0.5318,0.1524,0.0152,0.5016,0.562,0.4914,0.653,0.3993,0.5306
Sys_JiTfdloss_ref_2,0.7849,0.5909,0.4877,0.6477,0.1565,0.0156,0.7538,0.816,0.1499,0.015,0.5612,0.6206,0.1795,0.0179,0.4521,0.5233,0.1552,0.0155,0.6169,0.6785,0.4698,0.3436,0.0344,0.4016,0.538,0.4019,0.1632,0.0163,0.3695,0.4343,0.6363,0.4274,0.0427,0.5515,0.7211,0.5326,0.1535,0.0154,0.5021,0.5631,0.4928,0.6545,0.4005,0.5319
Sys_JiTfdloss_ref_3,0.7923,0.591,0.4927,0.6485,0.1698,0.017,0.7586,0.826,0.144,0.0144,0.5624,0.6196,0.1746,0.0175,0.4581,0.5273,0.1549,0.0155,0.6178,0.6792,0.4731,0.3282,0.0328,0.408,0.5382,0.4056,0.1604,0.016,0.3738,0.4374,0.6356,0.4163,0.0416,0.553,0.7182,0.5334,0.1531,0.0153,0.503,0.5638,0.4979,0.6553,0.4046,0.5325
User_JiTfdloss_1,0.8026,0.6348,0.5349,0.6774,0.194,0.0196,0.7637,0.8414,0.1484,0.015,0.605,0.6645,0.198,0.02,0.4952,0.5746,0.1753,0.0177,0.6423,0.7126,0.5306,0.4008,0.0405,0.4503,0.611,0.4429,0.1854,0.0187,0.4057,0.48,0.6777,0.4763,0.0481,0.5822,0.7731,0.5582,0.1753,0.0177,0.523,0.5933,0.5405,0.6846,0.4392,0.5563
User_JiTfdloss_2,0.8149,0.6352,0.545,0.6861,0.1738,0.0174,0.7804,0.8494,0.1367,0.0137,0.6081,0.6623,0.184,0.0184,0.5085,0.5815,0.1602,0.016,0.6543,0.7179,0.536,0.3988,0.0399,0.4569,0.6151,0.4508,0.1716,0.0172,0.4168,0.4848,0.6809,0.4682,0.0468,0.588,0.7738,0.5658,0.1633,0.0163,0.5334,0.5982,0.5507,0.6933,0.4475,0.5634
User_JiTfdloss_3,0.8128,0.6464,0.5492,0.6885,0.1813,0.0181,0.7768,0.8488,0.1363,0.0136,0.6194,0.6734,0.189,0.0189,0.5117,0.5867,0.1684,0.0168,0.6551,0.7219,0.5356,0.3914,0.0391,0.4579,0.6133,0.4548,0.1794,0.0179,0.4192,0.4904,0.6787,0.4644,0.0464,0.5865,0.7709,0.569,0.1715,0.0172,0.535,0.603,0.555,0.6957,0.451,0.5654
Sys_JiTfdloss_ref_AVG_STATS,0.7887,0.589,0.4889,0.6475,0.1626,0.0163,0.7564,0.821,0.1473,0.0147,0.5598,0.6182,0.1766,0.0177,0.4539,0.5239,0.1545,0.0155,0.6168,0.6781,0.472,0.3364,0.0336,0.4052,0.5388,0.4031,0.1615,0.0161,0.371,0.4351,0.6368,0.4226,0.0422,0.5529,0.7206,0.5326,0.153,0.0153,0.5022,0.563,0.494,0.6543,0.4015,0.5317
Sys_JiTfdloss_ref_AVG_PERCLASS,0.7887,0.589,0.4889,0.6475,0.1589,0.0159,0.7571,0.8202,0.1413,0.0141,0.561,0.617,0.1715,0.0172,0.4549,0.5229,0.1505,0.0151,0.6176,0.6773,0.472,0.3329,0.0333,0.4059,0.5381,0.4031,0.1577,0.0158,0.3718,0.4344,0.6368,0.4208,0.0421,0.5533,0.7203,0.5326,0.1503,0.015,0.5028,0.5624,0.494,0.6543,0.4015,0.5317
Human_JiTfdloss_AVG_STATS,0.8101,0.6388,0.543,0.684,0.183,0.0184,0.7736,0.8465,0.1405,0.0141,0.6108,0.6667,0.1903,0.0191,0.5051,0.5809,0.168,0.0168,0.6506,0.7175,0.5341,0.397,0.0398,0.455,0.6131,0.4495,0.1788,0.0179,0.4139,0.4851,0.6791,0.4696,0.0471,0.5856,0.7726,0.5643,0.17,0.0171,0.5305,0.5982,0.5487,0.6912,0.4459,0.5617
Human_JiTfdloss_AVG_PERCLASS,0.8109,0.6389,0.5435,0.6845,0.1775,0.0178,0.7757,0.8461,0.1338,0.0134,0.6123,0.6655,0.1851,0.0185,0.5068,0.5803,0.1632,0.0163,0.6521,0.7169,0.5342,0.3931,0.0393,0.4562,0.6122,0.4504,0.1755,0.0175,0.4156,0.4852,0.6791,0.4663,0.0466,0.5866,0.7717,0.5653,0.1674,0.0167,0.5321,0.5986,0.5493,0.6917,0.4463,0.5621
