source,class_id,alignment_norm,artifact_norm,composite_product,composite_harmonic
Sys_JiTfdloss_ref_1,4,0.95,0.62,0.6,0.75
Sys_JiTfdloss_ref_1,7,0.88,0.5,0.45,0.61
Sys_JiTfdloss_ref_1,10,0.92,0.8,0.74,0.85
Sys_JiTfdloss_ref_1,25,0.88,0.71,0.62,0.78
Sys_JiTfdloss_ref_1,35,0.86,0.76,0.66,0.8
Sys_JiTfdloss_ref_1,39,0.85,0.63,0.55,0.71
Sys_JiTfdloss_ref_1,49,0.87,0.64,0.58,0.73
Sys_JiTfdloss_ref_1,51,0.71,0.85,0.64,0.76
Sys_JiTfdloss_ref_1,52,0.63,0.68,0.44,0.65
Sys_JiTfdloss_ref_1,64,0.76,0.62,0.5,0.67
Sys_JiTfdloss_ref_1,80,0.83,0.44,0.39,0.57
Sys_JiTfdloss_ref_1,97,0.97,0.53,0.51,0.64
Sys_JiTfdloss_ref_1,106,0.86,0.41,0.36,0.54
Sys_JiTfdloss_ref_1,116,0.97,0.87,0.85,0.92
Sys_JiTfdloss_ref_1,118,0.8,0.52,0.42,0.63
Sys_JiTfdloss_ref_1,129,0.75,0.5,0.41,0.58
Sys_JiTfdloss_ref_1,144,0.77,0.3,0.23,0.43
Sys_JiTfdloss_ref_1,147,0.94,0.82,0.77,0.87
Sys_JiTfdloss_ref_1,150,0.79,0.51,0.41,0.6
Sys_JiTfdloss_ref_1,156,0.89,0.47,0.43,0.6
Sys_JiTfdloss_ref_1,159,0.66,0.39,0.25,0.46
Sys_JiTfdloss_ref_1,281,0.93,0.38,0.36,0.53
Sys_JiTfdloss_ref_1,300,0.91,0.86,0.8,0.88
Sys_JiTfdloss_ref_1,322,0.89,0.75,0.69,0.81
Sys_JiTfdloss_ref_1,330,0.74,0.52,0.4,0.6
Sys_JiTfdloss_ref_1,333,0.89,0.38,0.34,0.53
Sys_JiTfdloss_ref_1,339,0.65,0.49,0.36,0.55
Sys_JiTfdloss_ref_1,347,0.93,0.67,0.63,0.78
Sys_JiTfdloss_ref_1,356,0.86,0.65,0.57,0.72
Sys_JiTfdloss_ref_1,365,0.93,0.3,0.28,0.45
Sys_JiTfdloss_ref_1,370,0.84,0.59,0.53,0.68
Sys_JiTfdloss_ref_1,389,0.44,0.48,0.22,0.45
Sys_JiTfdloss_ref_1,392,0.84,0.63,0.52,0.68
Sys_JiTfdloss_ref_1,394,0.74,0.62,0.48,0.67
Sys_JiTfdloss_ref_1,396,0.96,0.82,0.78,0.88
Sys_JiTfdloss_ref_1,400,0.84,0.46,0.4,0.57
Sys_JiTfdloss_ref_1,405,0.74,0.64,0.51,0.68
Sys_JiTfdloss_ref_1,406,0.76,0.6,0.5,0.66
Sys_JiTfdloss_ref_1,413,0.65,0.41,0.32,0.48
Sys_JiTfdloss_ref_1,415,0.8,0.63,0.51,0.7
Sys_JiTfdloss_ref_1,419,0.83,0.53,0.46,0.62
Sys_JiTfdloss_ref_1,421,0.86,0.7,0.61,0.77
Sys_JiTfdloss_ref_1,426,0.71,0.46,0.34,0.56
Sys_JiTfdloss_ref_1,429,0.96,0.68,0.66,0.78
Sys_JiTfdloss_ref_1,432,0.92,0.53,0.49,0.64
Sys_JiTfdloss_ref_1,443,0.98,0.74,0.73,0.84
Sys_JiTfdloss_ref_1,446,0.79,0.55,0.45,0.64
Sys_JiTfdloss_ref_1,453,0.82,0.51,0.43,0.61
Sys_JiTfdloss_ref_1,461,0.94,0.66,0.63,0.76
Sys_JiTfdloss_ref_1,477,0.71,0.52,0.39,0.59
Sys_JiTfdloss_ref_1,479,0.86,0.65,0.57,0.73
Sys_JiTfdloss_ref_1,481,0.71,0.57,0.41,0.56
Sys_JiTfdloss_ref_1,488,0.96,0.86,0.83,0.9
Sys_JiTfdloss_ref_1,499,0.53,0.38,0.25,0.41
Sys_JiTfdloss_ref_1,529,0.76,0.37,0.29,0.47
Sys_JiTfdloss_ref_1,535,0.85,0.59,0.5,0.69
