image_id,source,alignment_score,artifact_score,class_id,alignment_norm,artifact_norm,composite_product_perimage,composite_harmonic_perimage
0,Sys_JiTfdloss_ref_1,4.85,3.65,4,0.97,0.73,0.7081,0.8330588235294117
0,Sys_JiTfdloss_ref_2,4.85,3.65,4,0.97,0.73,0.7081,0.8330588235294117
0,Sys_JiTfdloss_ref_3,4.65,3.82,4,0.93,0.764,0.71052,0.8388665879574971
0,User_JiTfdloss_1,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
0,User_JiTfdloss_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
0,User_JiTfdloss_3,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
1,Sys_JiTfdloss_ref_1,4.65,1.82,4,0.93,0.364,0.33852,0.5232148377125193
1,Sys_JiTfdloss_ref_2,4.65,2.85,4,0.93,0.5700000000000001,0.5301000000000001,0.7068000000000002
1,Sys_JiTfdloss_ref_3,4.65,1.85,4,0.93,0.37,0.3441,0.5293846153846153
1,User_JiTfdloss_1,4.44,2.0,4,0.8880000000000001,0.4,0.35520000000000007,0.5515527950310559
1,User_JiTfdloss_2,5.0,2.0,4,1.0,0.4,0.4,0.5714285714285715
1,User_JiTfdloss_3,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
4,Sys_JiTfdloss_ref_1,4.85,3.62,4,0.97,0.724,0.7022799999999999,0.8291381345926799
4,Sys_JiTfdloss_ref_2,4.85,3.62,4,0.97,0.724,0.7022799999999999,0.8291381345926799
4,Sys_JiTfdloss_ref_3,4.85,2.8,4,0.97,0.5599999999999999,0.5431999999999999,0.7100653594771241
4,User_JiTfdloss_1,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
4,User_JiTfdloss_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
4,User_JiTfdloss_3,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
6,Sys_JiTfdloss_ref_1,4.85,3.65,4,0.97,0.73,0.7081,0.8330588235294117
6,Sys_JiTfdloss_ref_2,4.65,2.85,4,0.93,0.5700000000000001,0.5301000000000001,0.7068000000000002
6,Sys_JiTfdloss_ref_3,4.62,3.85,4,0.924,0.77,0.71148,0.8400000000000001
6,User_JiTfdloss_1,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
6,User_JiTfdloss_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
6,User_JiTfdloss_3,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
