image_id,source,alignment_score,artifact_score,class_id
0,User_DiT_1,5.0,4.0,4
0,User_DiT_2,5.0,4.0,4
0,User_DiT_3,5.0,5.0,4
0,Sys_RAEv2_ref,4.65,2.85,4
1,User_DiT_1,5.0,4.0,4
1,User_DiT_2,5.0,3.0,4
1,User_DiT_3,5.0,4.0,4
1,Sys_RAEv2_ref,4.62,2.85,4
2,User_DiT_1,5.0,5.0,4
2,User_DiT_2,5.0,4.0,4
2,User_DiT_3,5.0,4.0,4
2,Sys_RAEv2_ref,4.85,3.2,4
3,User_DiT_1,5.0,4.0,4
3,User_DiT_2,5.0,4.0,4
3,User_DiT_3,5.0,4.0,4
3,Sys_RAEv2_ref,4.62,3.85,4
4,User_DiT_1,5.0,3.0,4
4,User_DiT_2,5.0,4.0,4
4,User_DiT_3,4.38,3.0,4
4,Sys_RAEv2_ref,4.92,4.95,4
5,User_DiT_1,4.44,4.0,7
5,User_DiT_2,4.38,2.0,7
5,User_DiT_3,4.38,4.0,7
5,Sys_RAEv2_ref,4.65,1.5,7
6,User_DiT_1,5.0,2.0,7
6,User_DiT_2,5.0,5.0,7
6,User_DiT_3,5.0,5.0,7
6,Sys_RAEv2_ref,4.82,3.65,7
7,User_DiT_1,4.44,4.0,7
7,User_DiT_2,4.44,4.0,7
7,User_DiT_3,4.44,4.0,7
7,Sys_RAEv2_ref,4.82,3.65,7
8,User_DiT_1,4.17,4.0,7
8,User_DiT_2,4.17,4.0,7
8,User_DiT_3,4.17,3.0,7
8,Sys_RAEv2_ref,4.98,4.95,7
9,User_DiT_1,5.0,3.0,7
9,User_DiT_2,5.0,3.0,7
9,User_DiT_3,5.0,3.0,7
9,Sys_RAEv2_ref,1.85,2.0,7
10,User_DiT_1,3.89,4.0,10
10,User_DiT_2,3.89,4.0,10
10,User_DiT_3,3.89,4.0,10
10,Sys_RAEv2_ref,3.85,2.75,10
11,User_DiT_1,4.0,5.0,10
11,User_DiT_2,4.0,5.0,10
11,User_DiT_3,4.0,5.0,10
11,Sys_RAEv2_ref,3.85,2.15,10
12,User_DiT_1,0.56,3.0,10
12,User_DiT_2,3.57,3.0,10
12,User_DiT_3,0.56,2.0,10
12,Sys_RAEv2_ref,4.12,1.5,10
13,User_DiT_1,4.0,3.0,10
13,User_DiT_2,5.0,3.0,10
13,User_DiT_3,4.0,2.0,10
13,Sys_RAEv2_ref,4.65,1.5,10
14,User_DiT_1,4.0,5.0,10
14,User_DiT_2,4.0,5.0,10
14,User_DiT_3,3.89,5.0,10
14,Sys_RAEv2_ref,2.15,1.85,10
15,User_DiT_1,5.0,4.0,25
15,User_DiT_2,5.0,5.0,25
15,User_DiT_3,5.0,2.0,25
15,Sys_RAEv2_ref,3.85,1.5,25
16,User_DiT_1,5.0,5.0,25
16,User_DiT_2,5.0,4.0,25
16,User_DiT_3,5.0,5.0,25
16,Sys_RAEv2_ref,4.85,4.92,25
17,User_DiT_1,5.0,4.0,25
17,User_DiT_2,5.0,3.0,25
17,User_DiT_3,4.17,4.0,25
17,Sys_RAEv2_ref,4.15,3.85,25
18,User_DiT_1,5.0,4.0,25
18,User_DiT_2,5.0,4.0,25
18,User_DiT_3,5.0,4.0,25
18,Sys_RAEv2_ref,4.85,4.72,25
19,User_DiT_1,3.33,2.0,25
19,User_DiT_2,4.29,3.0,25
19,User_DiT_3,3.33,3.0,25
19,Sys_RAEv2_ref,4.35,1.5,25
20,User_DiT_1,5.0,4.0,35
20,User_DiT_2,5.0,4.0,35
20,User_DiT_3,5.0,4.0,35
20,Sys_RAEv2_ref,4.65,3.82,35
21,User_DiT_1,4.0,4.0,35
21,User_DiT_2,3.0,3.0,35
21,User_DiT_3,4.0,3.0,35
21,Sys_RAEv2_ref,1.25,3.85,35
22,User_DiT_1,5.0,4.0,35
22,User_DiT_2,4.0,4.0,35
22,User_DiT_3,4.0,5.0,35
22,Sys_RAEv2_ref,1.45,4.92,35
23,User_DiT_1,5.0,4.0,35
23,User_DiT_2,5.0,4.0,35
23,User_DiT_3,5.0,4.0,35
23,Sys_RAEv2_ref,0.42,3.65,35
24,User_DiT_1,4.0,3.0,35
24,User_DiT_2,4.0,3.0,35
24,User_DiT_3,4.0,4.0,35
24,Sys_RAEv2_ref,1.25,3.85,35
25,User_DiT_1,5.0,4.0,39
25,User_DiT_2,5.0,3.0,39
25,User_DiT_3,5.0,4.0,39
25,Sys_RAEv2_ref,3.65,1.85,39
26,User_DiT_1,3.75,3.0,39
26,User_DiT_2,3.89,2.0,39
26,User_DiT_3,3.89,2.0,39
26,Sys_RAEv2_ref,3.85,1.2,39
27,User_DiT_1,5.0,5.0,39
27,User_DiT_2,3.57,3.0,39
27,User_DiT_3,3.57,2.0,39
27,Sys_RAEv2_ref,4.12,3.85,39
28,User_DiT_1,5.0,3.0,39
28,User_DiT_2,4.17,2.0,39
28,User_DiT_3,5.0,3.0,39
28,Sys_RAEv2_ref,1.85,1.2,39
29,User_DiT_1,5.0,4.0,39
29,User_DiT_2,5.0,4.0,39
29,User_DiT_3,5.0,4.0,39
29,Sys_RAEv2_ref,3.45,2.85,39
30,User_DiT_1,5.0,4.0,49
30,User_DiT_2,5.0,4.0,49
30,User_DiT_3,5.0,4.0,49
30,Sys_RAEv2_ref,4.85,4.92,49
31,User_DiT_1,5.0,5.0,49
31,User_DiT_2,5.0,5.0,49
31,User_DiT_3,5.0,5.0,49
31,Sys_RAEv2_ref,4.12,3.85,49
32,User_DiT_1,5.0,5.0,49
32,User_DiT_2,5.0,5.0,49
32,User_DiT_3,5.0,4.0,49
32,Sys_RAEv2_ref,2.15,3.0,49
33,User_DiT_1,5.0,3.0,49
33,User_DiT_2,5.0,3.0,49
33,User_DiT_3,5.0,3.0,49
33,Sys_RAEv2_ref,4.12,2.65,49
34,User_DiT_1,5.0,4.0,49
34,User_DiT_2,4.38,4.0,49
34,User_DiT_3,4.38,4.0,49
34,Sys_RAEv2_ref,3.85,4.12,49
35,User_DiT_1,5.0,5.0,51
35,User_DiT_2,5.0,5.0,51
35,User_DiT_3,5.0,5.0,51
35,Sys_RAEv2_ref,2.15,1.8,51
36,User_DiT_1,0.0,1.0,51
36,User_DiT_2,0.0,1.0,51
36,User_DiT_3,0.0,1.0,51
36,Sys_RAEv2_ref,5.0,5.0,51
37,User_DiT_1,5.0,4.0,51
37,User_DiT_2,5.0,4.0,51
37,User_DiT_3,5.0,5.0,51
37,Sys_RAEv2_ref,2.85,1.65,51
38,User_DiT_1,5.0,5.0,51
38,User_DiT_2,5.0,5.0,51
38,User_DiT_3,5.0,5.0,51
38,Sys_RAEv2_ref,2.85,3.6,51
39,User_DiT_1,5.0,5.0,51
39,User_DiT_2,5.0,4.0,51
39,User_DiT_3,5.0,5.0,51
39,Sys_RAEv2_ref,4.65,3.85,51
40,User_DiT_1,5.0,5.0,52
40,User_DiT_2,5.0,4.0,52
40,User_DiT_3,5.0,4.0,52
40,Sys_RAEv2_ref,4.92,4.95,52
41,User_DiT_1,5.0,4.0,52
41,User_DiT_2,4.17,5.0,52
41,User_DiT_3,4.17,5.0,52
41,Sys_RAEv2_ref,1.25,3.8,52
42,User_DiT_1,5.0,5.0,52
42,User_DiT_2,5.0,5.0,52
42,User_DiT_3,5.0,5.0,52
42,Sys_RAEv2_ref,2.35,3.85,52
43,User_DiT_1,5.0,3.0,52
43,User_DiT_2,5.0,3.0,52
43,User_DiT_3,5.0,3.0,52
