score_type,source_1,source_2,n_common_images,pearson_r,pearson_p,spearman_r,spearman_p,icc_2_1_absolute_agreement,icc_3_1_consistency
alignment_score,Sys_RAEv2_ref,User_DiT_1,500,0.1119,0.012285,0.1488,0.000843,0.1102,0.11
alignment_score,Sys_RAEv2_ref,User_DiT_2,500,0.1499,0.000773,0.2097,2e-06,0.1482,0.148
alignment_score,Sys_RAEv2_ref,User_DiT_3,500,0.1377,0.002025,0.1917,1.6e-05,0.1352,0.135
alignment_score,User_DiT_1,User_DiT_2,500,0.7946,0.0,0.7987,0.0,0.7942,0.7943
alignment_score,User_DiT_1,User_DiT_3,500,0.8342,0.0,0.8129,0.0,0.8343,0.8341
alignment_score,User_DiT_2,User_DiT_3,500,0.8074,0.0,0.8114,0.0,0.8069,0.8068
artifact_score,Sys_RAEv2_ref,User_DiT_1,500,0.2417,0.0,0.2569,0.0,0.2416,0.2415
artifact_score,Sys_RAEv2_ref,User_DiT_2,500,0.1984,8e-06,0.2136,1e-06,0.1987,0.1984
artifact_score,Sys_RAEv2_ref,User_DiT_3,500,0.2166,1e-06,0.2284,0.0,0.2167,0.2166
artifact_score,User_DiT_1,User_DiT_2,500,0.7576,0.0,0.7471,0.0,0.7561,0.7572
artifact_score,User_DiT_1,User_DiT_3,500,0.7706,0.0,0.7599,0.0,0.7705,0.7701
artifact_score,User_DiT_2,User_DiT_3,500,0.7429,0.0,0.7323,0.0,0.7418,0.7429
