source,class_id,alignment_norm,artifact_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
Sys_RAEv2_ref,4,0.95,0.71,0.67,0.8,0.97,0.87,0.65,0.58,0.78,0.7
Sys_RAEv2_ref,7,0.84,0.63,0.56,0.7,0.67,0.99,0.38,0.56,0.47,0.69
Sys_RAEv2_ref,10,0.74,0.39,0.29,0.5,1.06,1.14,0.31,0.33,0.53,0.57
Sys_RAEv2_ref,25,0.88,0.66,0.6,0.72,1.36,1.02,0.82,0.61,0.98,0.74
Sys_RAEv2_ref,35,0.36,0.8,0.29,0.44,1.26,1.04,0.36,0.3,0.55,0.46
Sys_RAEv2_ref,39,0.68,0.44,0.31,0.51,0.9,1.05,0.28,0.33,0.46,0.54
Sys_RAEv2_ref,49,0.76,0.74,0.58,0.74,1.11,1.11,0.65,0.65,0.83,0.82
Sys_RAEv2_ref,51,0.7,0.64,0.49,0.66,0.98,1.06,0.48,0.53,0.64,0.7
Sys_RAEv2_ref,52,0.67,0.8,0.55,0.7,2.12,0.9,1.16,0.49,1.48,0.63
Sys_RAEv2_ref,64,0.72,0.67,0.55,0.69,1.32,1.05,0.73,0.58,0.91,0.73
Sys_RAEv2_ref,80,0.91,0.51,0.47,0.63,0.55,0.89,0.25,0.41,0.34,0.56
Sys_RAEv2_ref,97,0.97,0.69,0.67,0.78,1.36,0.81,0.92,0.54,1.07,0.63
Sys_RAEv2_ref,106,0.71,0.38,0.27,0.42,3.48,1.05,0.93,0.28,1.47,0.45
Sys_RAEv2_ref,116,0.83,0.68,0.62,0.75,0.85,1.42,0.53,0.88,0.63,1.06
Sys_RAEv2_ref,118,0.79,0.67,0.56,0.72,1.31,0.95,0.73,0.53,0.94,0.69
Sys_RAEv2_ref,129,0.75,0.42,0.33,0.52,0.59,0.91,0.2,0.3,0.31,0.47
Sys_RAEv2_ref,144,0.92,0.53,0.5,0.64,1.0,0.89,0.5,0.44,0.65,0.58
Sys_RAEv2_ref,147,0.66,0.62,0.48,0.61,1.1,0.98,0.53,0.47,0.67,0.6
Sys_RAEv2_ref,150,0.75,0.37,0.28,0.48,1.37,0.94,0.39,0.26,0.66,0.45
Sys_RAEv2_ref,156,0.82,0.36,0.3,0.5,0.6,1.02,0.18,0.3,0.3,0.51
Sys_RAEv2_ref,159,0.8,0.75,0.63,0.74,1.0,0.92,0.63,0.58,0.74,0.69
Sys_RAEv2_ref,281,0.87,0.45,0.41,0.57,1.67,0.96,0.69,0.4,0.95,0.55
Sys_RAEv2_ref,300,0.96,0.95,0.92,0.96,0.52,0.88,0.48,0.81,0.5,0.84
Sys_RAEv2_ref,322,0.84,0.7,0.62,0.76,0.97,1.08,0.6,0.67,0.74,0.82
Sys_RAEv2_ref,330,0.81,0.6,0.48,0.67,0.33,0.88,0.16,0.42,0.22,0.59
