image_id,source,alignment_score,artifact_score,class_id,alignment_norm,artifact_norm,composite_product_perimage,composite_harmonic_perimage
0,User_DiT_1,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
0,User_DiT_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
0,User_DiT_3,5.0,5.0,4,1.0,1.0,1.0,1.0
0,Sys_RAEv2_ref,4.65,2.85,4,0.93,0.5700000000000001,0.5301000000000001,0.7068000000000002
1,User_DiT_1,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
1,User_DiT_2,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
1,User_DiT_3,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
1,Sys_RAEv2_ref,4.62,2.85,4,0.924,0.5700000000000001,0.52668,0.7050602409638553
2,User_DiT_1,5.0,5.0,4,1.0,1.0,1.0,1.0
2,User_DiT_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
2,User_DiT_3,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
2,Sys_RAEv2_ref,4.85,3.2,4,0.97,0.64,0.6208,0.7711801242236026
3,User_DiT_1,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
3,User_DiT_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
3,User_DiT_3,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
3,Sys_RAEv2_ref,4.62,3.85,4,0.924,0.77,0.71148,0.8400000000000001
4,User_DiT_1,5.0,3.0,4,1.0,0.6,0.6,0.7499999999999999
4,User_DiT_2,5.0,4.0,4,1.0,0.8,0.8,0.888888888888889
4,User_DiT_3,4.38,3.0,4,0.876,0.6,0.5256,0.7121951219512195
4,Sys_RAEv2_ref,4.92,4.95,4,0.984,0.99,0.97416,0.9869908814589666
5,User_DiT_1,4.44,4.0,7,0.8880000000000001,0.8,0.7104000000000001,0.8417061611374408
5,User_DiT_2,4.38,2.0,7,0.876,0.4,0.35040000000000004,0.5492163009404389
5,User_DiT_3,4.38,4.0,7,0.876,0.8,0.7008000000000001,0.8362768496420048
5,Sys_RAEv2_ref,4.65,1.5,7,0.93,0.3,0.279,0.4536585365853659
6,User_DiT_1,5.0,2.0,7,1.0,0.4,0.4,0.5714285714285715
6,User_DiT_2,5.0,5.0,7,1.0,1.0,1.0,1.0
6,User_DiT_3,5.0,5.0,7,1.0,1.0,1.0,1.0
6,Sys_RAEv2_ref,4.82,3.65,7,0.9640000000000001,0.73,0.70372,0.8308382526564345
7,User_DiT_1,4.44,4.0,7,0.8880000000000001,0.8,0.7104000000000001,0.8417061611374408
7,User_DiT_2,4.44,4.0,7,0.8880000000000001,0.8,0.7104000000000001,0.8417061611374408
7,User_DiT_3,4.44,4.0,7,0.8880000000000001,0.8,0.7104000000000001,0.8417061611374408
7,Sys_RAEv2_ref,4.82,3.65,7,0.9640000000000001,0.73,0.70372,0.8308382526564345
8,User_DiT_1,4.17,4.0,7,0.834,0.8,0.6672,0.8166462668298654
