image_id,source,alignment_score,authenticity_score,class_id
0,User_JiTfdloss_1,5.0,4.0,4
0,User_JiTfdloss_2,5.0,4.0,4
0,User_JiTfdloss_3,5.0,3.0,4
0,Sys_RAEv2_ref,4.65,2.85,4
1,User_JiTfdloss_1,4.44,2.0,4
1,User_JiTfdloss_2,5.0,2.0,4
1,User_JiTfdloss_3,5.0,3.0,4
1,Sys_RAEv2_ref,4.62,2.85,4
2,Sys_RAEv2_ref,4.85,3.2,4
3,Sys_RAEv2_ref,4.62,3.85,4
4,User_JiTfdloss_1,5.0,4.0,4
4,User_JiTfdloss_2,5.0,4.0,4
4,User_JiTfdloss_3,5.0,4.0,4
4,Sys_RAEv2_ref,4.92,4.95,4
5,Sys_RAEv2_ref,4.65,1.5,7
6,User_JiTfdloss_1,5.0,4.0,4
6,User_JiTfdloss_2,5.0,4.0,4
6,User_JiTfdloss_3,5.0,4.0,4
6,Sys_RAEv2_ref,4.82,3.65,7
7,Sys_RAEv2_ref,4.82,3.65,7
8,Sys_RAEv2_ref,4.98,4.95,7
9,User_JiTfdloss_1,5.0,4.0,4
9,User_JiTfdloss_2,5.0,4.0,4
9,User_JiTfdloss_3,5.0,4.0,4
9,Sys_RAEv2_ref,1.85,2.0,7
10,Sys_RAEv2_ref,3.85,2.75,10
11,User_JiTfdloss_1,4.5,3.0,7
11,User_JiTfdloss_2,4.09,3.0,7
11,User_JiTfdloss_3,4.5,2.0,7
11,Sys_RAEv2_ref,3.85,2.15,10
12,User_JiTfdloss_1,4.17,4.0,7
12,User_JiTfdloss_2,4.17,4.0,7
12,User_JiTfdloss_3,4.17,4.0,7
12,Sys_RAEv2_ref,4.12,1.5,10
13,User_JiTfdloss_1,5.0,4.0,7
13,User_JiTfdloss_2,5.0,4.0,7
13,User_JiTfdloss_3,5.0,4.0,7
13,Sys_RAEv2_ref,4.65,1.5,10
14,User_JiTfdloss_1,4.09,2.0,7
14,User_JiTfdloss_2,4.09,3.0,7
14,User_JiTfdloss_3,4.09,2.0,7
14,Sys_RAEv2_ref,2.15,1.85,10
15,Sys_RAEv2_ref,3.85,1.5,25
16,Sys_RAEv2_ref,4.85,4.92,25
17,Sys_RAEv2_ref,4.15,3.85,25
18,User_JiTfdloss_1,5.0,3.0,7
18,User_JiTfdloss_2,4.29,2.0,7
18,User_JiTfdloss_3,5.0,2.0,7
18,Sys_RAEv2_ref,4.85,4.72,25
19,Sys_RAEv2_ref,4.35,1.5,25
20,User_JiTfdloss_1,5.0,5.0,10
20,User_JiTfdloss_2,4.0,4.0,10
20,User_JiTfdloss_3,4.0,4.0,10
20,Sys_RAEv2_ref,4.65,3.82,35
21,User_JiTfdloss_1,5.0,5.0,10
21,User_JiTfdloss_2,5.0,5.0,10
21,User_JiTfdloss_3,5.0,5.0,10
21,Sys_RAEv2_ref,1.25,3.85,35
22,Sys_RAEv2_ref,1.45,4.92,35
23,Sys_RAEv2_ref,0.42,3.65,35
24,Sys_RAEv2_ref,1.25,3.85,35
25,Sys_RAEv2_ref,3.65,1.85,39
26,User_JiTfdloss_1,3.89,5.0,10
26,User_JiTfdloss_2,4.44,4.0,10
26,User_JiTfdloss_3,4.44,3.0,10
26,Sys_RAEv2_ref,3.85,1.2,39
27,User_JiTfdloss_1,3.89,4.0,10
27,User_JiTfdloss_2,3.5,3.0,10
27,User_JiTfdloss_3,3.89,2.0,10
27,Sys_RAEv2_ref,4.12,3.85,39
28,Sys_RAEv2_ref,1.85,1.2,39
29,User_JiTfdloss_1,5.0,4.0,10
29,User_JiTfdloss_2,3.75,4.0,10
29,User_JiTfdloss_3,5.0,4.0,10
29,Sys_RAEv2_ref,3.45,2.85,39
30,User_JiTfdloss_1,5.0,4.0,25
30,User_JiTfdloss_2,5.0,4.0,25
30,User_JiTfdloss_3,5.0,4.0,25
30,Sys_RAEv2_ref,4.85,4.92,49
31,Sys_RAEv2_ref,4.12,3.85,49
32,Sys_RAEv2_ref,2.15,3.0,49
33,User_JiTfdloss_1,5.0,4.0,25
33,User_JiTfdloss_2,5.0,5.0,25
33,User_JiTfdloss_3,5.0,5.0,25
33,Sys_RAEv2_ref,4.12,2.65,49
